fit_id,panel,bin,low_MeV,high_MeV,observed,gp_mean,profiled_background,signal,total,null_background
2015_m051,2015,0,45.25000000000001,46.5,460936.0,459162.77129676734,459979.82922534144,330.0653180333205,460309.8945433748,460852.5914142101
2015_m051,2015,1,46.5,47.75000000000001,412149.0,410676.6852077665,411626.5115201094,736.7949507652445,412363.3064708746,412844.60982544185
2015_m051,2015,2,47.75000000000001,49.0,368612.0,365722.0491112636,366726.23021985113,1315.8140581236275,368042.0442779748,368178.85350049485
2015_m051,2015,3,49.0,50.24999999999999,326987.0,324488.5622054074,325471.9180771451,1880.041247625133,327351.95932477026,327025.93804813985
2015_m051,2015,4,50.24999999999999,51.50000000000001,290156.0,286994.1371571907,287895.32151667046,2149.2163153658857,290044.5378320364,289421.3207936012
2015_m051,2015,5,51.50000000000001,52.75,256374.0,253130.83517387562,253907.9242315407,1965.7958799779806,255873.7201115187,255299.32875232078
2015_m051,2015,6,52.75,54.00000000000001,224147.0,222709.3768196436,223340.92817985086,1438.5948009306371,224779.5229807815,224524.51936330285
2015_m051,2015,7,54.00000000000001,55.25,196778.0,195496.1497444785,195978.93164007552,842.3008503151179,196821.23249039066,196917.35521391284
2015_m051,2015,8,55.25,56.5,171977.0,171240.32109372807,171585.09957292132,394.55048598235476,171979.65005890367,172273.29861672682
2015_m021,2015,0,19.000000000000004,19.5,152187.0,152468.10277053143,152218.05067005474,407.274972554907,152625.32564260962,152845.4726954913
2015_m021,2015,1,19.5,20.0,177903.0,177217.68400506087,176967.87574319827,819.6902890391681,177787.56603223743,177853.4806208482
2015_m021,2015,2,20.0,20.5,203264.0,201745.5380946765,201525.81039263553,1306.5899884529313,202832.40038108846,202615.37045328325
2015_m021,2015,3,20.5,21.0,227263.0,225642.60596438922,225476.43879481748,1649.5993731113679,227126.03816792887,226682.94138720943
2015_m021,2015,4,21.0,21.5,249751.0,248576.8774105655,248477.77307219873,1649.5993731113679,250127.3724453101,249699.6340080261
2015_m021,2015,5,21.5,22.000000000000004,271104.0,270290.7558520185,270261.22176455334,1306.5899884529315,271567.8117530063,271400.7692079715
2015_m021,2015,6,22.000000000000004,22.5,291792.0,290595.43389482435,290628.1987961186,819.6902890391647,291447.8890851578,291606.47612982796
2015_m021,2015,7,22.5,23.000000000000004,310499.0,309363.1550459696,309443.86734402156,407.2749725549123,309851.14231657656,310209.6399418799
2015_m019,2015,0,17.0,17.5,61855.0,62059.64244039504,62229.02169215478,-316.84799329389324,61912.17369886089,61704.534258006075
2015_m019,2015,1,17.5,18.000000000000004,81981.0,82514.1245442228,82800.27523395568,-753.8325200198011,82046.44271393586,81931.41478937393
2015_m019,2015,2,18.000000000000004,18.500000000000004,104221.0,105047.47474613554,105445.1757671042,-1343.322669507268,104101.85309759693,104277.82143261968
2015_m019,2015,3,18.500000000000004,19.000000000000004,127738.0,128997.51287168168,129478.72217054783,-1793.1628290072604,127685.55934154056,128127.11665900651
2015_m019,2015,4,19.000000000000004,19.5,152187.0,153716.95638582992,154238.19219212013,-1793.1628290072451,152445.02936311287,152852.3995286974
2015_m019,2015,5,19.5,20.0,177903.0,178618.591217153,179131.3456933385,-1343.3226695072635,177788.0230238312,177859.59376342746
2015_m019,2015,6,20.0,20.5,203264.0,203199.65708432882,203660.3273605535,-753.8325200197972,202906.4948405337,202618.28159861272
