fit_id,dataset,mass_MeV,common_low_MeV,common_high_MeV,common_display_bins,native_fit_bins,retained_native_bins,native_bin_fraction,observed_fraction,fitted_signal_fraction,fitted_signal_window,displayed_signal_sum
combined_m066,2015,66,61.0,71.0,8,62,40,0.6451612903225806,0.6009433489272588,0.8767943675644914,708.4405246053395,621.1566617283952
combined_m066,2016,66,61.0,71.0,8,48,40,0.8333333333333334,0.8355339411222986,0.9610894624450222,11926.30571093332,11462.246744675904
combined_m066,2021,66,61.0,71.0,8,16,16,1.0,1.0,1.0000000000000002,14583.285053433432,14583.285053433434
combined_m092,2016,92,87.25,97.25,8,68,40,0.5882352941176471,0.5783584578574786,0.8328406479617958,5285.884970724656,4402.299864069841
combined_m092,2021,92,87.25,97.25,8,17,16,0.9411764705882353,0.9378115120127232,0.9875042421331507,13616.765978823205,13446.614168222279
combined_m072,2015,72,67.25,76.0,7,68,35,0.5147058823529411,0.48032882884896494,0.7734145620067994,-429.63749484596326,-332.2878948979892
combined_m072,2016,72,67.25,76.0,7,52,35,0.6730769230769231,0.6802738555894494,0.8843138872087903,-12662.697785166833,-11197.799500951021
combined_m072,2021,72,67.25,76.0,7,15,14,0.9333333333333333,0.9309915622644894,0.9828023276374045,-18834.531437352303,-18510.621336589713
combined_m076,2015,76,71.0,81.0,8,72,40,0.5555555555555556,0.49788025192514296,0.8126588646741016,13.691990366569744,11.126917346425305
combined_m076,2016,76,71.0,81.0,8,56,40,0.7142857142857143,0.7157360209607936,0.9153018730344953,567.0378869160307,519.0108399757653
combined_m076,2021,76,71.0,81.0,8,16,16,1.0,1.0,1.0,949.4781170382876,949.4781170382876
combined_m083,2015,83,78.5,88.5,8,78,40,0.5128205128205128,0.4304759719597389,0.7677576519996904,-28.454400641117303,-21.846083825282705
combined_m083,2016,83,78.5,88.5,8,62,40,0.6451612903225806,0.6346063448921333,0.8748207280873507,-1973.7761438852783,-1726.7002832751625
combined_m083,2021,83,78.5,88.5,8,17,16,0.9411764705882353,0.9398909326356556,0.9869765444472478,-3985.502547281332,-3933.597532001433
