fit_id,group,mass_MeV,reason,rank,dataset,dataset_set,sigma_MeV,fit_low_MeV,fit_high_MeV,n_fit_bins,display_native_bins_per_bin,display_bin_width_MeV,display_bins,display_observed_fraction,signed_r,raw_reference_one_sided_p,eps2_hat,sigma_eps2,signal_window,signal_full,signal_yield_per_eps2_window,signal_yield_per_eps2_full,prediction_state_sha256,profile_score,min_lambda,scope_key,at_search_endpoint
2015_m051,2015,51,individual positive local maximum,1,2015,2015,2.6219449739355,45.0,56.99999999999999,48,5,1.249999999999993,9,0.9438874577438501,3.1392368271805537,0.000846942447149935,1.8741363904795392e-05,5.97079777141969e-06,11167.417716940403,11419.976717004529,595870064.4024618,609346084.6829017,5e4e7c7adb06bfc7338c95d0aa45d5126135af791bd4dae29c187ce40022c89b,1.8141044222375058e-13,30823.99870101614,individual_2015_full,False
2015_m021,2015,21,individual positive local maximum,2,2015,2015,1.0253724579645,18.75,23.25,18,2,0.49999999999999645,8,0.8920371406896827,2.5157388880992775,0.005939157409582324,1.7403853796290574e-05,6.918642180348563e-06,8568.246501515076,8816.992215646595,492318919.8096628,506611484.95316774,daba85327ad8ecd4fb10b5a9b2fa978bec87f352e44fcac200067b4afd003b35,2.653433028854124e-14,66999.7147908976,individual_2015_full,False
2015_m019,2015,19,individual deepest deficit,0,2015,2015,0.9189342902331,17.0,21.0,16,2,0.5,8,1.0,-3.2106186896115254,0.0006622477930227589,-3.1657008050245256e-05,9.858725004174186e-06,-8414.332023656421,-8670.303526270682,265796818.52123833,273882595.36433065,d4e1fc681d08da8ed6aaaf806551fa37bb58caa912585d8eea6bbbfd27eb619c,6.417089082333405e-14,28580.11889643861,individual_2015_full,True
2016_m090,2016,90,individual positive local maximum,1,2016,2016,3.6982828999999993,81.74999999999999,98.24999999999999,66,7,1.75,9,0.9400435003613504,3.424751369698562,0.0003076811440637299,9.556201801867488e-06,2.7907482227955084e-06,18016.532849516116,18491.708749810114,1885323606.9162226,1935047954.5331948,61cfba60b517d495a3d43bdabc3baf49be33930500cdc9dfca53f4acc290cb52,1.963625158030169e-07,125281.11040313225,individual_2016_full,False
2016_m117,2016,117,individual positive local maximum,2,2016,2016,4.988710679689999,105.75,128.25,90,10,2.499999999999986,8,0.8563189072857983,3.2786144965272666,0.0005215901799674634,1.5421995421693664e-05,4.7049069137618185e-06,10536.128167903116,10796.624526344665,683188386.444614,700079609.098922,1dffd452c8273ad0882e0d491cb32dd3b407f8989907c717f7e00524670dedfd,5.612177389480166e-14,26251.117525986898,individual_2016_full,False
2016_m102,2016,102,individual deepest deficit,0,2016,2016,4.253953790240001,92.49999999999999,111.49999999999999,76,9,2.25,8,0.944747174000126,-4.499121459355815,3.4117432835187953e-06,-1.5008816223469897e-05,3.335110007188538e-06,-18961.267145697562,-19458.123870228734,1263341949.383527,1296446274.0106893,8b6e8422fa019f01a77daa268c1a86a59e15b42a7456808bc83e1b0210acdabd,2.9976021664879227e-15,65239.5067440929,individual_2016_full,False
2021_m078,2021,78,individual positive local maximum,1,2021,2021,2.2634635,72.875,82.875,16,2,1.25,7,0.8762642497846914,2.8086449518656287,0.0024875240153304193,4.344912926901088e-06,1.547125590147288e-06,18755.73147463622,19284.29013053502,4316710550.978365,4438360550.596605,a28501a289191e8b9c3838d825c52d0e6d0290853019bced277ca6e5fe79ff5f,1.1456395232478656e-07,1139503.0419502838,individual_2021_10pct,False
2021_m065,2021,65,individual positive local maximum,2,2021,2021,2.121696875,60.375,69.74999999999999,15,2,1.25,7,0.9447260137716339,2.396196475406168,0.008283103822833994,5.486757601831654e-06,2.289926603457342e-06,16633.922493520044,17099.3543909321,3031648871.8158636,3116477094.8189497,d036c467b3e640640fdc777a9b2a2b88b7053bfbdb6cba88304dc4ec6f7e054a,3.8316086581335895e-08,804387.9502267137,individual_2021_10pct,False
2021_m071,2021,71,individual deepest deficit,0,2021,2021,2.183520875,66.0,76.0,16,2,1.25,8,1.0,-4.018800157046639,2.9247628661404875e-05,-7.223763880733498e-06,1.7972708810758858e-06,-27494.837557741157,-28114.144210808154,3806165042.447282,3891896894.0542736,c481e5887f427051f0b6c5dd6f9e469f5472b50375be49c8845c21074deda92f,1.6925350010410511e-13,1021582.2703420619,individual_2021_10pct,False
combined_m066,combined,66,full-union positive local maximum,1,2015,2015+2016+2021,3.420231231921,58.25,73.75000000000001,62,7,1.75,8,0.83494350576641,2.7601586408223695,0.0028886649746267417,4.549873724469688e-06,1.6484988119562987e-06,708.4405246053395,725.4566552926326,155705535.4734954,159445448.20904636,e36f976359b3783446b6580d3a16d8b11ff017688b48ec12a8f7aa341edbbe78,1.1601830607332886e-13,4746.135815536811,all_2015_2016_2021,False
