fit_id,group,mass_MeV,reason,rank,dataset,dataset_set,sigma_MeV,fit_low_MeV,fit_high_MeV,n_fit_bins,display_native_bins_per_bin,display_bin_width_MeV,display_bins,display_observed_fraction,signed_r,raw_reference_one_sided_p,eps2_hat,sigma_eps2,signal_window,signal_full,signal_yield_per_eps2_window,signal_yield_per_eps2_full,prediction_state_sha256,profile_score,min_lambda,scope_key,at_search_endpoint
combined_m066,combined,66,full-union positive local maximum,1,2016,2015+2016+2021,2.70243172304,60.0,72.0,48,5,1.249999999999993,9,0.9424789670825816,2.7601586408223695,0.0028886649746267417,4.549873724469688e-06,1.6484988119562987e-06,11926.30571093332,12249.743788102016,2621238837.199465,2692326101.7600627,0be2e8ab8af4af39a9a00f42ea88094c73c594b5b1116b4cfb9f3b64a5b29b10,1.1601830607332886e-13,4746.135815536811,all_2015_2016_2021,False
combined_m066,combined,66,full-union positive local maximum,1,2021,2015+2016+2021,2.1315715,61.0,71.0,16,2,1.25,8,1.0,2.7601586408223695,0.0028886649746267417,4.549873724469688e-06,1.6484988119562987e-06,14583.285053433432,14865.613351683955,3205206547.8219824,3267258445.3795195,b5f4f6d88ff222d35cdfa3a7f8e24565973f15311d05ae4ac0960b313877dd5e,1.1601830607332886e-13,4746.135815536811,all_2015_2016_2021,False
combined_m021,combined,21,full-union positive local maximum,2,2015,2015,1.0253724579645,18.75,23.25,18,2,0.49999999999999645,8,0.8920371406896827,2.5157388880992775,0.005939157409582324,1.7403853796290574e-05,6.918642180348563e-06,8568.246501515076,8816.992215646595,492318919.8096628,506611484.95316774,daba85327ad8ecd4fb10b5a9b2fa978bec87f352e44fcac200067b4afd003b35,2.653433028854124e-14,66999.7147908976,individual_2015_full,False
combined_m092,combined,92,multi-dataset positive local maximum,2,2016,2016+2021,3.78842854144,83.49999999999999,100.49999999999999,68,8,2.0,8,0.940015979273541,2.4158559091818677,0.007849136100718843,2.9703759637581937e-06,1.2296286687061331e-06,5285.884970724656,5420.6052276203745,1779533983.3132849,1824888597.8602147,448ee63af7ec0e78468a241adbb86e59fb34c456673f383aa862c9140f4001ae,2.9760298891901016e-08,112829.36832072228,pair_2016_2021,False
combined_m092,combined,92,multi-dataset positive local maximum,2,2021,2016+2021,2.4485959999999998,86.62500000000001,97.25,17,2,1.2499999999999858,8,0.9378115120127232,2.4158559091818677,0.007849136100718843,2.9703759637581937e-06,1.2296286687061331e-06,13616.765978823205,14039.20487654218,4584189390.488783,4726406706.705042,9a777887f15a8f4d7e9f8ceaf6b62d9127f7a247e86384ecc4eebaf2c265497b,2.9760298891901016e-08,112829.36832072228,pair_2016_2021,False
combined_m072,combined,72,combined deepest deficit,0,2015,2015+2016+2021,3.7395457351151995,63.5,80.5,68,7,1.75,9,0.847617153100316,-3.49033909388161,0.00024120400815993902,-4.878237768785263e-06,1.3975204976290205e-06,-429.63749484596326,-439.7634789475132,88072274.29444216,90148020.61544849,10c4e07e18091f72a7657bdd921f1518a7e54d2a2fc8ca420da1bbcd61ca3cda,1.1307470981769541e-07,2350.220483653699,all_2015_2016_2021,False
combined_m072,combined,72,combined deepest deficit,0,2016,2015+2016+2021,2.93638697984,65.5,78.5,52,6,1.4999999999999858,8,0.9238932082461202,-3.49033909388161,0.00024120400815993902,-4.878237768785263e-06,1.3975204976290205e-06,-12662.697785166833,-13012.151931694892,2595752479.756637,2667387804.4560885,b179c728cbe37eef351893b451c2b36139a09db3b79744abdb0d59b7f0ccd75c,1.1307470981769541e-07,2350.220483653699,all_2015_2016_2021,False
combined_m072,combined,72,combined deepest deficit,0,2021,2015+2016+2021,2.194426,67.25,76.625,15,2,1.25,7,0.9309915622644894,-3.49033909388161,0.00024120400815993902,-4.878237768785263e-06,1.3975204976290205e-06,-18834.531437352303,-19472.09397907932,3860929362.211534,3991624619.791358,b7dc58d37d098bf7b051bcea6108a3c3854741d5f72166a7823925674492fa9e,1.1307470981769541e-07,2350.220483653699,all_2015_2016_2021,False
combined_m076,combined,76,stress-centering diagnostic,0,2015,2015+2016+2021,3.9524220705779998,67.0,85.00000000000001,72,8,2.0,8,0.8600451612488179,0.16556864654922737,0.43424821155712423,2.2573285247046552e-07,1.3633847095287991e-06,13.691990366569744,14.011181409380125,60655727.408402726,62069748.625594154,32bc1476c250db282b402b8116d1cf3bbd5d48196c36d831ef85c82f76b4a21e,5.024869409453459e-13,1488.6849291770957,all_2015_2016_2021,False
combined_m076,combined,76,stress-centering diagnostic,0,2016,2015+2016+2021,3.09785246464,68.99999999999999,82.99999999999999,56,6,1.5000000000000142,9,0.9704841456744948,0.16556864654922737,0.43424821155712423,2.2573285247046552e-07,1.3633847095287991e-06,567.0378869160307,580.8887322553298,2511986539.4436593,2573345996.818661,f2a497502e75ab3bbcfc17c3cd7990fe37b15fb379d7cdb1b21e31d17910c383,5.024869409453459e-13,1488.6849291770957,all_2015_2016_2021,False
combined_m076,combined,76,stress-centering diagnostic,0,2021,2015+2016+2021,2.239764,71.0,81.0,16,2,1.2500000000000142,8,1.0,0.16556864654922737,0.43424821155712423,2.2573285247046552e-07,1.3633847095287991e-06,949.4781170382876,974.4133418018405,4206202626.8972774,4316666055.196069,3cb3e75c37105758c0181be694471016c1695e1498a36d43f88b81c065868f2f,5.024869409453459e-13,1488.6849291770957,all_2015_2016_2021,False
combined_m083,combined,83,stress-centering diagnostic,0,2015,2015+2016+2021,4.3249556576379,73.25000000000001,92.75000000000001,78,9,2.25,8,0.8331652769307869,-0.6760956729013468,0.24948995189243584,-8.788245135108068e-07,1.2998290432485212e-06,-28.454400641117303,-29.159286496749683,32377795.798441168,33179873.852473184,0adb81852d3fe136cf0e8f08c72dc2e9e9d7ddfd5e3c1fb282ffb2d69b11bbbd,3.2023870222275264e-09,683.1950308115174,all_2015_2016_2021,False
combined_m083,combined,83,stress-centering diagnostic,0,2016,2015+2016+2021,3.39124468369,75.25,90.75000000000001,62,7,1.75,8,0.9177828800677768,-0.6760956729013468,0.24948995189243584,-8.788245135108068e-07,1.2998290432485212e-06,-1973.7761438852783,-2018.785865498511,2245927501.4988623,2297143325.5015664,d5b3f83109ca8977a03c530be9d9aad9eaa35b60831296d9f61e58598c462871,3.2023870222275264e-09,683.1950308115174,all_2015_2016_2021,False
combined_m083,combined,83,stress-centering diagnostic,0,2021,2015+2016+2021,2.325717875,77.875,88.5,17,2,1.25,8,0.9398909326356556,-0.6760956729013468,0.24948995189243584,-8.788245135108068e-07,1.2998290432485212e-06,-3985.502547281332,-4078.466835836603,4535037980.858876,4640820520.064443,97190635e8217dfea6729d420b76f423de647d57b2f1abb2568a3a61172609b9,3.2023870222275264e-09,683.1950308115174,all_2015_2016_2021,False
