fit_id,dataset,mass_MeV,individual_eps2_hat,individual_sigma_eps2,individual_r,common_eps2_hat,common_sigma_eps2,individual_nll,individual_score
2015_m051,2015,51,1.8741363904795392e-05,5.97079777141969e-06,3.1392368271805537,1.8741363904795392e-05,5.97079777141969e-06,25.464961845085675,1.8141044222375058e-13
2015_m021,2015,21,1.7403853796290574e-05,6.918642180348563e-06,2.5157388880992775,1.7403853796290574e-05,6.918642180348563e-06,6.640755512100123,2.653433028854124e-14
2015_m019,2015,19,-3.1657008050245256e-05,9.858725004174186e-06,-3.2106186896115254,-3.1657008050245256e-05,9.858725004174186e-06,6.2317883933792855,6.417089082333405e-14
2016_m090,2016,90,9.556201801867488e-06,2.7907482227955084e-06,3.424751369698562,9.556201801867488e-06,2.7907482227955084e-06,30.833494712519894,1.963625158030169e-07
2016_m117,2016,117,1.5421995421693664e-05,4.7049069137618185e-06,3.2786144965272666,1.5421995421693664e-05,4.7049069137618185e-06,44.990858740926285,5.612177389480166e-14
2016_m102,2016,102,-1.5008816223469897e-05,3.335110007188538e-06,-4.499121459355815,-1.5008816223469897e-05,3.335110007188538e-06,44.96426190483488,2.9976021664879227e-15
2021_m078,2021,78,4.344912926901088e-06,1.547125590147288e-06,2.8086449518656287,4.344912926901088e-06,1.547125590147288e-06,14.669641347771206,1.1456395232478656e-07
2021_m065,2021,65,5.486757601831654e-06,2.289926603457342e-06,2.396196475406168,5.486757601831654e-06,2.289926603457342e-06,6.2082985965810265,3.8316086581335895e-08
2021_m071,2021,71,-7.223763880733498e-06,1.7972708810758858e-06,-4.018800157046639,-7.223763880733498e-06,1.7972708810758858e-06,7.337045840952285,1.6925350010410511e-13
combined_m066,2015,66,1.972249258075662e-05,1.02012894321285e-05,1.9337587291105187,4.549873724469688e-06,1.6484988119562987e-06,35.6137723154732,4.807265696626928e-14
combined_m066,2016,66,2.6947935237716664e-06,2.540354101813189e-06,1.0608301641405826,4.549873724469688e-06,1.6484988119562987e-06,26.885874407257912,2.0830038582886345e-08
combined_m066,2021,66,5.245806504841201e-06,2.2172210937445173e-06,2.366078062551826,4.549873724469688e-06,1.6484988119562987e-06,6.266001162617442,4.1736924638602346e-08
combined_m021,2015,21,1.7403853796290574e-05,6.918642180348563e-06,2.5157388880992775,1.7403853796290574e-05,6.918642180348563e-06,6.640755512100123,2.653433028854124e-14
combined_m092,2016,92,9.132455163022002e-06,2.9317577064552486e-06,3.11542493052735,2.9703759637581937e-06,1.2296286687061331e-06,34.861589566085044,1.2362927592768358e-07
combined_m092,2021,92,1.6546577524560742e-06,1.354449927297256e-06,1.221703142245884,2.9703759637581937e-06,1.2296286687061331e-06,7.921170553726511,4.461231384311759e-11
combined_m072,2015,72,-1.1022927357655452e-05,1.3237591896543855e-05,-0.8325871752032346,-4.878237768785263e-06,1.3975204976290205e-06,39.77235243575887,8.60680215986065e-09
combined_m072,2016,72,-3.4393579331594406e-06,2.40154358586517e-06,-1.4320706133173657,-4.878237768785263e-06,1.3975204976290205e-06,30.85380313014163,6.245599593057705e-09
combined_m072,2021,72,-5.5223775067345955e-06,1.7331104826823425e-06,-3.1860636092062236,-4.878237768785263e-06,1.3975204976290205e-06,10.273953839744602,1.476500719466145e-07
combined_m076,2015,76,-5.284253615945459e-06,1.5821858132230273e-05,-0.33396281976630343,2.2573285247046552e-07,1.3633847095287991e-06,40.86330065744251,2.020161815607935e-12
combined_m076,2016,76,-6.238374943076253e-06,2.5358268842194743e-06,-2.45989066785129,2.2573285247046552e-07,1.3633847095287991e-06,28.046351268955082,1.2775130397990608e-08
combined_m076,2021,76,2.9390968652316084e-06,1.625573747587175e-06,1.8081415680634723,2.2573285247046552e-07,1.3633847095287991e-06,12.215671067560514,5.808266534401696e-09
combined_m083,2015,83,-3.390086766225688e-05,2.15934405298056e-05,-1.5692934388720792,-8.788245135108068e-07,1.2998290432485212e-06,43.627986226598374,3.175237850427948e-14
combined_m083,2016,83,3.294204173515711e-07,2.7444864427404274e-06,0.12003038139033716,-8.788245135108068e-07,1.2998290432485212e-06,30.605055585101855,1.4057982555826243e-10
combined_m083,2021,83,-1.0750875371085357e-06,1.4793005303155282e-06,-0.7267362152726843,-8.788245135108068e-07,1.2998290432485212e-06,9.440119208434348,3.0673160678063027e-09
