support_lower_MeV,block,nlpd_per_bin,mahalanobis_per_bin,poisson_deviance_per_bin,max_abs_marginal_standardized_residual,anchors
29.0,L1,5.191993936915162,0.2228653925739143,0.25992472432641367,0.714620493362024,5
29.0,L2,5.321570491316441,0.15883422232848995,0.21389145019116756,0.5804766253982308,5
29.0,L3,6.400260535363546,1.998287505632263,2.1194277067621785,2.2781166556182555,5
29.0,L4,5.936150214724925,0.34009934950720466,1.3188109817709943,0.9553455353057134,5
30.0,L1,5.191477167205197,0.22093663503058503,0.2581127798224689,0.7143368998224373,5
30.0,L2,5.317798020020927,0.14924871570048537,0.20059392519489233,0.5674030693737966,5
30.0,L3,6.416437959037632,2.024432437009082,2.174038222195679,2.318460543354445,5
30.0,L4,5.964986775313955,0.3893600143814461,1.9757225274596244,1.047714391286659,5
31.0,L1,5.243369479761165,0.32631831084954654,0.4039463084637383,0.882963624055617,5
31.0,L2,5.29565654931233,0.10615477171093601,0.12832547346037315,0.5099832230807949,5
31.0,L3,6.598535297521212,2.3877332685772013,2.8052267370305635,2.7084118425645825,5
31.0,L4,6.179033401945473,0.8530548165264437,6.788495585088816,1.702985040945624,5
32.0,L1,5.248035999811167,0.3273706167895704,0.41318518305028606,0.8865523785465586,5
32.0,L2,5.295179137342922,0.10283675064311926,0.1245646685135666,0.5021757558834935,5
32.0,L3,6.614253258421965,2.414391795066673,2.8709293145699624,2.728431231274976,5
32.0,L4,6.206319920344631,0.893763889800848,7.527104727746055,1.7494766761773006,5
33.0,L1,5.396138269906322,0.6199877338604226,0.8268890797687499,1.1598428689888938,5
33.0,L2,5.358155696393034,0.2260660220522762,0.2967924385870056,0.7308307664416809,5
33.0,L3,6.661287837169807,2.4988644288637407,3.0303738356319783,2.7451295180316166,5
33.0,L4,6.271399691691981,0.9596244352290217,10.37233604515942,1.828993674287541,5
34.0,L1,5.3667880840788325,0.5551289567396652,0.7471614432862907,1.113411917586266,5
34.0,L2,5.334355500475935,0.15997029614013902,0.20714834849347388,0.6288022972097966,5
34.0,L3,6.699770705893388,2.564087182989711,3.2125410006625366,2.816775322896345,5
34.0,L4,6.356328926388215,1.132842373200825,12.729981069607188,2.0025853023565388,5
