stage,region,support_lower_MeV,anchor_GeV,block,seed,success,lml,const_opt,length_opt,warning_text,error_text
development,low,29.0,0.14,L4,9049,True,50.99064014955681,139.6868193089531,0.47565244121159034,,
development,low,29.0,0.18,L1,1961,True,54.51669057707034,134.1258366711966,0.4549584608648535,,
development,low,29.0,0.18,L1,5813,True,54.51669057651183,134.1270835007685,0.4549598031605461,,
development,low,29.0,0.18,L1,9049,True,54.51669057723732,134.12337276491218,0.4549567778756862,,
development,low,29.0,0.18,L2,1961,True,54.01151445129425,129.72911303431286,0.447586298025142,,
development,low,29.0,0.18,L2,5813,True,54.01151445051172,129.7346371634686,0.4475902552255855,,
development,low,29.0,0.18,L2,9049,True,54.01151445228955,129.72912688890597,0.44758630591637194,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,29.0,0.18,L3,1961,True,53.9531277790317,144.56897561851267,0.4753762145712219,,
development,low,29.0,0.18,L3,5813,True,53.953127779464324,144.57133040883056,0.47537873239512085,,
development,low,29.0,0.18,L3,9049,True,53.95312777959941,144.56853809606542,0.47537765996450143,,
development,low,29.0,0.18,L4,1961,True,50.990640150897306,139.68684574890722,0.4756524702376427,,
development,low,29.0,0.18,L4,5813,True,50.990640149830924,139.6867480922211,0.475652334463761,,
development,low,29.0,0.18,L4,9049,True,50.99064015054138,139.6857890196436,0.4756507496819836,,
development,low,30.0,0.039,L1,1961,True,52.35407679151906,119.30550446819072,0.44442112096206215,,
development,low,30.0,0.039,L1,5813,True,52.35407679161014,119.30557602235996,0.4444212068492785,,
development,low,30.0,0.039,L1,9049,True,52.35407679160075,119.30553482662903,0.4444212184571588,,
development,low,30.0,0.039,L2,1961,True,51.838130251394816,115.96142242687495,0.43627887581129304,,
development,low,30.0,0.039,L2,5813,True,51.83813025118884,115.96075872894734,0.43627795955466003,,
development,low,30.0,0.039,L2,9049,True,51.83813025098715,115.9626873019651,0.43627947192587657,,
development,low,30.0,0.039,L3,1961,True,51.848804856054805,128.02496111154363,0.46925163995799407,,
development,low,30.0,0.039,L3,5813,True,51.848804855796025,128.02494210427344,0.46925174923788576,,
