stage,region,support_lower_MeV,support_upper_MeV,anchor_GeV,block,block_low_GeV,block_high_GeV,selected_seed,selected_lml,selected_const,selected_length,length_lower,length_upper,sigma_x,all_repeats_success,n_reproduced_branches,reproduction_pass,const_at_bound,length_at_bound,covariance_ok,min_eigenvalue,max_diagonal,median_diagonal,jitter_relative_median_diag,nlpd_per_bin,mahalanobis_per_bin,poisson_deviance_per_bin,max_abs_marginal_standardized_residual,cell_mahalanobis_guard_pass,cell_marginal_residual_guard_pass,technical_pass,n_train,n_score,train_center_min_GeV,train_center_max_GeV,score_center_min_GeV,score_center_max_GeV,train_centers_sha256,score_centers_sha256,train_counts_sha256,score_counts_sha256,n_forbidden_search_train_centers,n_forbidden_search_score_centers,training_mask_definition
development,low,29.0,210,0.1,L3,0.03675,0.03775,9049,53.953127779701205,144.56952520880068,0.4753762660219947,0.036673552630478015,0.48898070173970687,0.04074839181164224,True,3,True,False,False,True,6232.818383626559,8973.209071579831,8089.0256243560625,0.0,6.400260363898457,1.9982871023830897,2.1194270350331266,2.278114205178059,True,True,True,35,4,0.029124999999999998,0.038625,0.036875,0.037625,dfc5d6b352a1a8fe80e2674d36ab4656bf5cc0427bbec1d2591747681f7461ba,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,9ef55ead87fc38c9c75e2cf52533a6c4db691026293e9948fdbe6349cb7da6b1,a96e0c18c533ddeada71d94f8e977bf1860885abb48b39d40d10050503467f49,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.1,L4,0.03775,0.03875,1961,50.9906401510962,139.68641849185278,0.4756517628067377,0.036673552630478015,0.48898070173970687,0.04074839181164224,True,3,True,False,False,True,8337.503583620273,51914.5174972152,27645.49833432759,0.0,5.936150152335651,0.3400991379653169,1.3188086639449352,0.9553392497519543,True,True,True,35,4,0.029124999999999998,0.037625,0.037875,0.038625,64a5b10c6ba3232a19241a5db70a4a8d8f4a55ede52d5920207834fb666a5a87,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,fc1b740f77906a3a9168794080564f9c05a6d201d1dea9f7d5791747d73e27e9,852ae2ad2615b28da41206c9dce91f924c1e4d35e45e0c09a5f5650aefae0964,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.14,L1,0.03525,0.036,1961,54.516690576828246,134.12285928575946,0.45495699235081916,0.03860908557236316,0.5147878076315088,0.0428989839692924,True,3,True,False,False,True,3481.5715425425337,4644.829807919083,4160.7465705249015,0.0,5.191993843270481,0.22286521615435748,0.259924495729698,0.7146201141498291,True,True,True,36,3,0.029124999999999998,0.038625,0.035375,0.035875,b3f10b70c04fffbe4e2a9ab1e7c6dc84f8903279881a71100c3ceb1dcf3ca1c1,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,08d9141bc1589f2af3bc2e822da2cae1976863dcea10f961d342bd33fc0c0dc4,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.14,L2,0.036,0.03675,9049,54.01151445195875,129.7291017645252,0.44758628040453463,0.03860908557236316,0.5147878076315088,0.0428989839692924,True,3,True,False,False,True,4745.453110668975,6374.160933449475,5788.1369435638135,0.0,5.32157049613525,0.15883423433571411,0.21389146502005,0.5804766253982308,True,True,True,36,3,0.029124999999999998,0.038625,0.036125,0.036625,b616f8a19112619372e8dc281313a57b6caf093416aa2e4eac55216b3b773a15,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,0ee745caf197c4e985c910f9626a0390c14483c0eb842979af1d40a394dcbe9c,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.14,L3,0.03675,0.03775,5813,53.95312777961587,144.56855191375513,0.47537605750116385,0.03860908557236316,0.5147878076315088,0.0428989839692924,True,3,True,False,False,True,6232.818414284341,8973.208795031636,8089.025326523086,0.0,6.400260444671826,1.998287286015832,2.1194273632270537,2.278114618504481,True,True,True,35,4,0.029124999999999998,0.038625,0.036875,0.037625,dfc5d6b352a1a8fe80e2674d36ab4656bf5cc0427bbec1d2591747681f7461ba,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,9ef55ead87fc38c9c75e2cf52533a6c4db691026293e9948fdbe6349cb7da6b1,a96e0c18c533ddeada71d94f8e977bf1860885abb48b39d40d10050503467f49,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.14,L4,0.03775,0.03875,1961,50.990640150047724,139.68644207261568,0.47565202464303463,0.03860908557236316,0.5147878076315088,0.0428989839692924,True,3,True,False,False,True,8337.503468120962,51914.494040444726,27645.49000713036,0.0,5.936150235779332,0.3400994338849151,1.3188119413248849,0.9553398948197934,True,True,True,35,4,0.029124999999999998,0.037625,0.037875,0.038625,64a5b10c6ba3232a19241a5db70a4a8d8f4a55ede52d5920207834fb666a5a87,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,fc1b740f77906a3a9168794080564f9c05a6d201d1dea9f7d5791747d73e27e9,852ae2ad2615b28da41206c9dce91f924c1e4d35e45e0c09a5f5650aefae0964,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.18,L1,0.03525,0.036,9049,54.51669057723732,134.12337276491218,0.4549567778756862,0.037712931490504406,0.5028390865400587,0.04190325721167156,True,3,True,False,False,True,3481.5715523320237,4644.829859531409,4160.746640333107,0.0,5.191993923288787,0.22286536239365148,0.2599246857189179,0.7146203043484822,True,True,True,36,3,0.029124999999999998,0.038625,0.035375,0.035875,b3f10b70c04fffbe4e2a9ab1e7c6dc84f8903279881a71100c3ceb1dcf3ca1c1,cddd9db6814ab8151eced7dc3a00dc5532c37e6b9bc749b26ea36e7040fa2ab6,08d9141bc1589f2af3bc2e822da2cae1976863dcea10f961d342bd33fc0c0dc4,3316d8f7feb9815535d88e90877477b51e0db0463892d01e29a909e559cf28f8,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.18,L2,0.036,0.03675,9049,54.01151445228955,129.72912688890597,0.44758630591637194,0.037712931490504406,0.5028390865400587,0.04190325721167156,True,3,True,False,False,True,4745.453111051131,6374.16093092691,5788.13693997526,0.0,5.321570493697654,0.15883422978972564,0.21389145819590283,0.5804766189868756,True,True,True,36,3,0.029124999999999998,0.038625,0.036125,0.036625,b616f8a19112619372e8dc281313a57b6caf093416aa2e4eac55216b3b773a15,7043b750efcd4b114a1133f3254ef9007aa0e61b911453e719c20842701e75c1,0ee745caf197c4e985c910f9626a0390c14483c0eb842979af1d40a394dcbe9c,026f08b3f517f523a1be18ee8ed8857cd9a935160a0272cab4dbcbcb3b2e9f98,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.18,L3,0.03675,0.03775,9049,53.95312777959941,144.56853809606542,0.47537765996450143,0.037712931490504406,0.5028390865400587,0.04190325721167156,True,3,True,False,False,True,6232.818538420626,8973.206905744839,8089.023386600955,0.0,6.400260868866049,1.9982882815470602,2.119429027582502,2.2781166556182555,True,True,True,35,4,0.029124999999999998,0.038625,0.036875,0.037625,dfc5d6b352a1a8fe80e2674d36ab4656bf5cc0427bbec1d2591747681f7461ba,dd89f434f3f35a01bfaa5c19c145addb6faff04ccf895f87e00772141c57346d,9ef55ead87fc38c9c75e2cf52533a6c4db691026293e9948fdbe6349cb7da6b1,a96e0c18c533ddeada71d94f8e977bf1860885abb48b39d40d10050503467f49,0,0,"[edge,38.75) minus held-out low block; low only"
development,low,29.0,210,0.18,L4,0.03775,0.03875,1961,50.990640150897306,139.68684574890722,0.4756524702376427,0.037712931490504406,0.5028390865400587,0.04190325721167156,True,3,True,False,False,True,8337.503375616365,51914.47344805184,27645.4827413136,0.0,5.936150291279112,0.3400996581740525,1.318814487936855,0.9553403855531468,True,True,True,35,4,0.029124999999999998,0.037625,0.037875,0.038625,64a5b10c6ba3232a19241a5db70a4a8d8f4a55ede52d5920207834fb666a5a87,4b2619be737f92a26a5ec8b9d57d1f3dd2f4cc9f1e1ca47cb017c349d65376cb,fc1b740f77906a3a9168794080564f9c05a6d201d1dea9f7d5791747d73e27e9,852ae2ad2615b28da41206c9dce91f924c1e4d35e45e0c09a5f5650aefae0964,0,0,"[edge,38.75) minus held-out low block; low only"
