lower_support,higher_support,mass_GeV,mass_MeV,inj_nsigma,n_pairs,mean_pull_difference_higher_minus_lower,pull_difference_sd,pull_difference_ci90_low,pull_difference_ci90_high,median_limit_excess_difference_higher_minus_lower,median_abs_paired_limit_excess_difference,used_for_support_ranking
028_210,029_210,0.044,44.0,0.0,25,-0.05128103696334699,0.45055084553574404,-0.205448910506376,0.10288683657968203,0.009911191882565618,0.041709914876651766,False
028_210,029_210,0.044,44.0,2.0,25,0.03627972942933353,0.12600390120502494,-0.006835833884737498,0.07939529274340457,0.019183848643307688,0.06023973630864621,False
028_210,029_210,0.044,44.0,5.0,25,0.03430815359857538,0.15401518194091382,-0.018392209364764545,0.0870085165619153,0.03124285677963151,0.07370421304491503,False
028_210,029_210,0.049,49.0,0.0,25,-0.07793607727748014,0.1382464066195018,-0.1252407372169157,-0.0306314173380446,-0.04975642417862103,0.07717159212491254,False
028_210,029_210,0.049,49.0,2.0,25,-0.08117115787987758,0.13257045666859021,-0.12653364160781763,-0.035808674151937524,-0.048064825680803835,0.08565590496348241,False
028_210,029_210,0.049,49.0,5.0,25,-0.5148580000054934,1.5158263172155344,-1.0335380164813257,0.0038220164703388626,-0.07498820528708405,0.13095697817636065,False
028_210,029_210,0.054,54.0,0.0,25,0.06677551310234854,0.0934280784216809,0.03480662807594323,0.09874439812875385,0.012166298693046307,0.012166298693046307,False
028_210,029_210,0.054,54.0,2.0,25,0.23128698153486169,0.8064697061546477,-0.04466793211510009,0.5072418951848234,0.02217319623748626,0.02754404699280044,False
028_210,029_210,0.054,54.0,5.0,25,0.4541774294849866,1.394175623809788,-0.022876588719556223,0.9312314476895294,0.06046100893826534,0.078404570328797,False
028_210,029_210,0.059,59.0,0.0,25,-0.33499739810294854,1.4314560621941426,-0.8248079031000832,0.1548131068941862,-0.032690843958388616,0.061231498082349844,False
028_210,029_210,0.059,59.0,2.0,25,-0.040662567817881905,0.11903971851457587,-0.08139515205869198,7.001642292817079e-05,-0.02235971336914211,0.06564509870112634,False
028_210,029_210,0.059,59.0,5.0,25,-0.5998874802160644,1.925072332900058,-1.2586018315936935,0.05882687116156471,-0.062577884211934,0.06856541132832761,False
029_210,030_210,0.044,44.0,0.0,25,-0.05595874632444616,0.14935480474200905,-0.10706443812074115,-0.004853054528151178,-0.01764431712217651,0.03653128670206396,False
029_210,030_210,0.044,44.0,2.0,25,-0.07041931633910611,0.1623079620319636,-0.12595727307252738,-0.014881359605684846,-0.025561819514510607,0.10889448212523078,False
029_210,030_210,0.044,44.0,5.0,24,-0.06058648417480583,0.18883369709481443,-0.12664854830133038,0.005475579951718712,-0.038606103090902566,0.13091956432941576,False
029_210,030_210,0.049,49.0,0.0,25,-0.28992922059060033,1.1515164204474149,-0.6839509822835868,0.10409254110238614,-0.02681401994777799,0.04353128711646148,False
029_210,030_210,0.049,49.0,2.0,25,-0.046355508625706594,0.0971754993159026,-0.07960667270287232,-0.01310434454854087,-0.013990870623164509,0.043459313126523624,False
029_210,030_210,0.049,49.0,5.0,25,0.36223177112774907,1.521138194007607,-0.15826584431093194,0.8827293865664301,-0.05839680371817435,0.09573569372672042,False
029_210,030_210,0.054,54.0,0.0,25,0.046403837266135374,0.11554169144746164,0.006868195390158073,0.08593947914211267,0.006494116969406938,0.009847721667028964,False
029_210,030_210,0.054,54.0,2.0,25,0.04629289827964546,0.11630771884757869,0.006495139893352181,0.08609065666593874,0.020886042347948997,0.030589432322026155,False
029_210,030_210,0.054,54.0,5.0,25,-0.344840860781392,1.3702233467656406,-0.8136989746723632,0.12401725310957923,0.014804726016798497,0.0710875887639264,False
029_210,030_210,0.059,59.0,0.0,25,0.0985973001746578,0.5854844660653156,-0.10174167603663976,0.2989362763859554,-0.0026998976323895363,0.04365761209750296,False
029_210,030_210,0.059,59.0,2.0,25,0.10543778993611562,0.6150103010347423,-0.10500423066389304,0.3158798105361243,0.000255180922147602,0.033672545594289005,False
029_210,030_210,0.059,59.0,5.0,25,-0.0009986328160713365,0.10932766338455373,-0.03840798084067195,0.03641071520852928,-0.0005849690294841281,0.041357448276887254,False
030_210,031_210,0.044,44.0,0.0,25,0.31528443629341024,0.817334655805501,0.03561179311209589,0.5949570794747245,0.036429173778742774,0.04451818502275273,False
030_210,031_210,0.044,44.0,2.0,25,0.01652159743389279,1.1982602488434084,-0.393494799928907,0.42653799479669263,0.05939533520228624,0.14912287799349744,False
030_210,031_210,0.044,44.0,5.0,24,0.0021881002107372685,1.2111985641102836,-0.4215407068995338,0.4259169073210084,0.07011808847819029,0.13796921605457818,False
030_210,031_210,0.049,49.0,0.0,25,0.2203030472101375,1.1595066137079757,-0.17645277017575028,0.6170588645960253,-0.007341477903537452,0.02599131201381155,False
030_210,031_210,0.049,49.0,2.0,25,-0.019571921588553698,0.06279545663216313,-0.041059045878893204,0.0019152027017858078,-0.023166708079052967,0.04921155326162996,False
030_210,031_210,0.049,49.0,5.0,25,-0.013954846733394661,0.048335056989038755,-0.03049396330018413,0.002584269833394808,-0.02237256316935632,0.040903341041569785,False
030_210,031_210,0.054,54.0,0.0,25,0.028691314029578755,0.1278473388462741,-0.015055030169661015,0.07243765822881852,0.0034577696351334453,0.006631523137912154,False
030_210,031_210,0.054,54.0,2.0,25,0.03470400279783308,0.1056761959800515,-0.0014558991972202784,0.07086390479288644,0.010851474732451405,0.013271586560396398,False
030_210,031_210,0.054,54.0,5.0,25,0.3025093162257169,1.1551156688783561,-0.09274402339559745,0.6977626558470313,0.027794377150430982,0.03811021341973439,False
030_210,031_210,0.059,59.0,0.0,25,0.12778193932015566,1.5719470287965074,-0.410101261106807,0.6656651397471184,-0.022665887757097103,0.03369399588421729,False
030_210,031_210,0.059,59.0,2.0,25,-0.17608959261486626,0.6398536527678217,-0.3950324222718774,0.04285323704214486,-0.029061781630363548,0.04404519384513517,False
