support,support_low_MeV,cohort,mass_GeV,mass_MeV,inj_nsigma,n,mean_pull,pull_width,mean_pull_ci90_low,mean_pull_ci90_high,all_finite,any_kernel_bound,all_covariance_valid,median_A_up_wald90,median_A_up_wald90_over_sigmaA_ref,median_A_up_minus_injected_over_sigmaA_ref
028_210,28,initial_0_24,0.044,44.0,0.0,25,0.17788936714066036,1.6266196301462976,-0.37870150806857994,0.7344802423499007,True,False,True,32846.034671999114,1.7256328214601877,1.7256328214601877
028_210,28,initial_0_24,0.044,44.0,2.0,25,0.004591285156693328,1.639511751809246,-0.5564109700375771,0.5655935403509639,True,False,True,47081.503699941255,3.0160994050468175,1.0160994050468175
028_210,28,initial_0_24,0.044,44.0,5.0,25,-0.11588807030471521,1.6354791133359896,-0.675510451719256,0.4437343111098257,True,False,True,89881.989120817,5.928690825833384,0.9286908258333836
028_210,28,initial_0_24,0.049,49.0,0.0,25,1.3551149219648297,1.9221317387751702,0.6974067725457122,2.0128230713839472,True,False,True,51217.65496649509,3.033168570037929,3.033168570037929
028_210,28,initial_0_24,0.049,49.0,2.0,25,1.3152248756552996,1.9296614201237041,0.654940246858855,1.9755095044517441,True,False,True,81513.71142608506,4.983814254540061,2.983814254540061
028_210,28,initial_0_24,0.049,49.0,5.0,25,1.2799100363346048,1.9079124672135812,0.6270673862963048,1.9327526863729048,True,False,True,131039.0520539661,8.045546797757115,3.045546797757115
028_210,28,initial_0_24,0.054,54.0,0.0,25,-1.810952369234862,2.167551848085076,-2.5526374920675257,-1.0692672464021982,True,False,True,16098.646700366662,0.9895866704755464,0.9895866704755464
028_210,28,initial_0_24,0.054,54.0,2.0,25,-2.0687994518536694,1.994368365407952,-2.751225271276614,-1.386373632430725,True,False,True,23337.505929192423,1.3649407243745362,-0.6350592756254639
028_210,28,initial_0_24,0.054,54.0,5.0,25,-2.4317669324041735,1.7395962143584716,-3.027015730289011,-1.8365181345193358,True,False,True,61932.69339676383,3.592447639581873,-1.407552360418127
028_210,28,initial_0_24,0.059,59.0,0.0,25,2.6958624791266566,2.151742410525695,1.9595869729767512,3.4321379852765617,True,False,True,76419.48267257208,4.695525792827023,4.695525792827023
028_210,28,initial_0_24,0.059,59.0,2.0,25,2.325036711640325,2.5094436357379006,1.466364282254978,3.1837091410256724,True,False,True,106456.49254378185,6.61405912344359,4.614059123443591
028_210,28,initial_0_24,0.059,59.0,5.0,25,2.484943168313645,2.1880830424379876,1.7362327549814744,3.233653581645816,True,False,True,157528.2845935227,9.484976571415412,4.484976571415413
029_210,29,initial_0_24,0.044,44.0,0.0,25,0.12660833017731338,1.6076962908002639,-0.4235074245960922,0.676724084950719,True,False,True,26150.627152832763,1.5430033748270946,1.5430033748270946
029_210,29,initial_0_24,0.044,44.0,2.0,25,0.04087101458602685,1.6011946270849609,-0.5070200241993569,0.5887620533714105,True,False,True,46139.90690058969,3.0735213023822983,1.073521302382298
029_210,29,initial_0_24,0.044,44.0,5.0,25,-0.08157991670613987,1.5903656983718182,-0.625765551475537,0.46260571806325734,True,False,True,86429.4883219217,5.839467965244703,0.8394679652447027
029_210,29,initial_0_24,0.049,49.0,0.0,25,1.2771788446873495,1.872849798228552,0.6363338130571061,1.918023876317593,True,False,True,50634.84861940845,3.0871522180511155,3.0871522180511155
029_210,29,initial_0_24,0.049,49.0,2.0,25,1.234053717775422,1.8786819715768956,0.5912130539714573,1.8768943815793868,True,False,True,81334.5316796324,5.025456009341035,3.0254560093410348
029_210,29,initial_0_24,0.049,49.0,5.0,25,0.7650520363291113,2.3156426877702407,-0.027306279266770095,1.5574103519249927,True,False,True,128346.89453227172,7.989751806066911,2.9897518060669115
029_210,29,initial_0_24,0.054,54.0,0.0,25,-1.7441768561325137,2.1780063657016955,-2.489439268334052,-0.9989144439309756,True,False,True,16180.450979567497,0.991312671394553,0.991312671394553
029_210,29,initial_0_24,0.054,54.0,2.0,25,-1.8375124703188075,2.1546039934728816,-2.574767142665616,-1.100257797971999,True,False,True,22822.795230715034,1.371586103725123,-0.628413896274877
029_210,29,initial_0_24,0.054,54.0,5.0,25,-1.977589502919187,2.1383387954752453,-2.7092786081099285,-1.2459003977284455,True,False,True,61111.035548840155,3.6020622497213757,-1.397937750278624
029_210,29,initial_0_24,0.059,59.0,0.0,25,2.3608650810237077,2.520504771520444,1.498407791839601,3.223322370207814,True,False,True,75352.90417578278,4.6067580090880185,4.6067580090880185
029_210,29,initial_0_24,0.059,59.0,2.0,25,2.2843741438224434,2.5243941666714615,1.420585995345224,3.148162292299663,True,False,True,105766.085833154,6.520679016302067,4.520679016302067
029_210,29,initial_0_24,0.059,59.0,5.0,25,1.885055688097581,2.8165846435999753,0.921286849440925,2.848824526754237,True,False,True,158709.95948037773,9.358172912342496,4.358172912342496
030_210,30,initial_0_24,0.044,44.0,0.0,25,0.07064958385286724,1.6296656330075538,-0.4869835616985084,0.6282827294042429,True,False,True,25374.651436437147,1.5532545809401197,1.5532545809401197
030_210,30,initial_0_24,0.044,44.0,2.0,25,-0.029548301753079292,1.6266650803723175,-0.5861547289577648,0.5270581254516061,True,False,True,46600.06285011185,3.057020279918549,1.0570202799185489
030_210,30,initial_0_24,0.044,44.0,5.0,24,-0.29304596655595455,1.4720977210210282,-0.8080484027883614,0.22195646967645227,True,False,True,84694.4882686447,5.909256443034128,0.9092564430341286
030_210,30,initial_0_24,0.049,49.0,0.0,25,0.9872496240967493,1.9887567438169413,0.30674396923766334,1.6677552789558354,True,False,True,49377.74003480315,2.993794999331594,2.993794999331594
030_210,30,initial_0_24,0.049,49.0,2.0,25,1.1876982091497155,1.856329820466895,0.5525059243020563,1.8228904939973747,True,False,True,81817.1078117071,4.999275932204508,2.999275932204508
030_210,30,initial_0_24,0.049,49.0,5.0,25,1.1272838074568603,1.8483112367408518,0.4948352928498292,1.7597323220638914,True,False,True,128953.34035883364,7.97524525121114,2.97524525121114
030_210,30,initial_0_24,0.054,54.0,0.0,25,-1.6977730188663784,2.1561150331310177,-2.4355447333478146,-0.9600013043849424,True,False,True,16407.761107682873,0.9889799330267124,0.9889799330267124
030_210,30,initial_0_24,0.054,54.0,2.0,25,-1.7912195720391617,2.128980965161112,-2.5197066483916464,-1.062732495686677,True,False,True,23523.861496638405,1.366206942037193,-0.6337930579628072
030_210,30,initial_0_24,0.054,54.0,5.0,25,-2.3224303637005788,1.7601354175158568,-2.9247071925089343,-1.7201535348922232,True,False,True,61532.605474837896,3.668081042796629,-1.3319189572033716
030_210,30,initial_0_24,0.059,59.0,0.0,25,2.4594623811983656,2.498969588544694,1.604373923742415,3.3145508386543163,True,False,True,76289.39753926275,4.688501504078375,4.688501504078375
030_210,30,initial_0_24,0.059,59.0,2.0,25,2.3898119337585593,2.498096872977336,1.5350220989876189,3.2446017685295,True,False,True,107893.44349668486,6.61411074551223,4.61411074551223
030_210,30,initial_0_24,0.059,59.0,5.0,25,1.8840570552815092,2.8082323941114624,0.923146159420219,2.8449679511427997,True,False,True,152031.25925464788,9.262572969469964,4.2625729694699634
031_210,31,initial_0_24,0.044,44.0,0.0,25,0.3859340201462775,1.6981857304371786,-0.19514508676629666,0.9670131270588516,True,False,True,39253.658978438936,1.840336762858316,1.840336762858316
