support,support_low_MeV,cohort,mass_GeV,mass_MeV,inj_nsigma,n,mean_pull,pull_width,mean_pull_ci90_low,mean_pull_ci90_high,all_finite,any_kernel_bound,all_covariance_valid,median_A_up_wald90,median_A_up_wald90_over_sigmaA_ref,median_A_up_minus_injected_over_sigmaA_ref
031_210,31,initial_0_24,0.044,44.0,2.0,25,-0.013026704319186497,1.577298406680136,-0.5527410200509341,0.526687611412561,True,False,True,51462.90451116765,3.1108381857758225,1.1108381857758225
031_210,31,initial_0_24,0.044,44.0,5.0,25,-0.131008447009445,1.594745361578507,-0.6766926992381147,0.41467580521922465,True,False,True,99980.67974215857,5.960066673307933,0.9600666733079336
031_210,31,initial_0_24,0.049,49.0,0.0,25,1.2075526713068867,1.8694146252777375,0.5678830748452308,1.8472222677685426,True,False,True,49485.35534180426,3.0714427170001444,3.0714427170001444
031_210,31,initial_0_24,0.049,49.0,2.0,25,1.1681262875611618,1.8698953730797487,0.5282921905396226,1.8079603845827008,True,False,True,81233.63506711485,4.992419538262721,2.99241953826272
031_210,31,initial_0_24,0.049,49.0,5.0,25,1.1133289607234655,1.8479999043271798,0.48098697672592383,1.7456709447210073,True,False,True,129129.89193798944,7.9272086670582835,2.9272086670582835
031_210,31,initial_0_24,0.054,54.0,0.0,25,-1.6690817048367999,2.1340476068800314,-2.3993024664937286,-0.9388609431798709,True,False,True,16432.48826187769,0.9938561570015734,0.9938561570015734
031_210,31,initial_0_24,0.054,54.0,2.0,25,-1.7565155692413286,2.1111937407727925,-2.4789162769023525,-1.0341148615803044,True,False,True,23633.652841914503,1.377098187562306,-0.6229018124376938
031_210,31,initial_0_24,0.054,54.0,5.0,25,-2.0199210474748623,1.9960258658525496,-2.7029140244594276,-1.336928070490297,True,False,True,61599.01931745153,3.661753088602514,-1.3382469113974866
031_210,31,initial_0_24,0.059,59.0,0.0,25,2.5872443205185216,2.195551362468779,1.8359784242048092,3.3385102168322343,True,False,True,73714.4499797095,4.61326097778639,4.61326097778639
031_210,31,initial_0_24,0.059,59.0,2.0,25,2.213722341143693,2.485667707703255,1.3631854735998843,3.064259208687502,True,False,True,104878.01445371695,6.394875045574499,4.3948750455745
031_210,31,initial_0_24,0.059,59.0,5.0,25,1.869946049162477,2.810042634809775,0.9084157316269739,2.8314763666979803,True,False,True,158365.80504387076,9.224721276554554,4.224721276554554
032_210,32,initial_0_24,0.044,44.0,0.0,25,0.3144996135885579,1.677995905160373,-0.25967101127149855,0.8886702384486143,True,False,True,36994.71451780862,1.9072944451824672,1.9072944451824672
032_210,32,initial_0_24,0.044,44.0,2.0,25,0.2275610522486183,1.6659030030670077,-0.3424716667143105,0.7975937712115472,True,False,True,54142.80182017923,3.7120004105178785,1.7120004105178783
032_210,32,initial_0_24,0.044,44.0,5.0,25,-0.05937244929803393,1.5982712741994052,-0.6062631856703878,0.48751828707431993,True,False,True,99789.4968452379,6.049197360388854,1.0491973603888551
032_210,32,initial_0_24,0.049,49.0,0.0,25,1.1923631216439536,1.8360645325210256,0.5641051403944529,1.8206211028934542,True,False,True,49104.421787670835,3.0776046715134706,3.0776046715134706
032_210,32,initial_0_24,0.049,49.0,2.0,25,1.1546897952477302,1.82809462008533,0.5291589300711652,1.7802206604242952,True,False,True,83397.82664206487,5.016767054709563,3.0167670547095633
032_210,32,initial_0_24,0.049,49.0,5.0,25,1.1178845577280923,1.826789293853722,0.49280034440314613,1.7429687710530384,True,False,True,131610.6784750952,7.936621568139119,2.936621568139119
032_210,32,initial_0_24,0.054,54.0,0.0,25,-1.748605248136097,2.0732115781101537,-2.458009355505978,-1.0392011407662156,True,False,True,16621.466056697085,0.9914805009611882,0.9914805009611882
032_210,32,initial_0_24,0.054,54.0,2.0,24,-1.8043223088644817,2.0839667382053664,-2.5333825688441487,-1.0752620488848148,True,False,True,23815.52224419194,1.3962983466900694,-0.6037016533099306
032_210,32,initial_0_24,0.054,54.0,5.0,25,-2.1032097050162406,1.917992834542532,-2.759501619018942,-1.4469177910135393,True,False,True,61664.25176351842,3.6224655921369657,-1.377534407863034
032_210,32,initial_0_24,0.059,59.0,0.0,25,2.3279369363501097,2.4766678075557835,1.4804796223829575,3.175394250317262,True,False,True,78264.96527811716,4.486787452107169,4.486787452107169
032_210,32,initial_0_24,0.059,59.0,2.0,25,2.2608533346111717,2.4864261580168376,1.4100569432573606,3.1116497259649827,True,False,True,109350.634813522,6.436193603576649,4.436193603576649
032_210,32,initial_0_24,0.059,59.0,5.0,25,1.8641740526419084,2.772684313814517,0.9154268714916634,2.8129212337921534,True,False,True,161244.12564489865,9.275551051333316,4.275551051333316
033_210,33,initial_0_24,0.044,44.0,0.0,25,0.25404345524475547,1.5760646941126069,-0.28524871314228306,0.793335623631794,True,False,True,36759.77698995423,1.6994016052170826,1.6994016052170826
033_210,33,initial_0_24,0.044,44.0,2.0,25,0.16066663643744147,1.5785519099162226,-0.3794765985390518,0.7008098714139348,True,False,True,55374.108864282265,3.259376601288917,1.259376601288917
033_210,33,initial_0_24,0.044,44.0,5.0,25,-0.0513767722755994,1.531031155484581,-0.5752595258159183,0.4725059812647195,True,False,True,94614.3727703041,6.112474869666563,1.1124748696665627
033_210,33,initial_0_24,0.049,49.0,0.0,25,1.1413861356003812,1.8385810169469579,0.5122670727291407,1.7705051984716216,True,False,True,49649.81349202141,2.915755473181089,2.915755473181089
033_210,33,initial_0_24,0.049,49.0,2.0,25,0.9590496409786792,1.929334444092761,0.29887689566861475,1.6192223862887436,True,False,True,79732.21254860343,4.760347775066259,2.760347775066258
033_210,33,initial_0_24,0.049,49.0,5.0,25,0.765607090228981,1.882491826884392,0.12146278379048758,1.4097513966674744,True,False,True,132670.33433601767,7.685592607222893,2.685592607222893
033_210,33,initial_0_24,0.054,54.0,0.0,25,-1.524434019225701,2.0004601800831545,-2.208944313961032,-0.8399237244903699,True,False,True,17307.99421663558,1.0250194297987034,1.0250194297987034
033_210,33,initial_0_24,0.054,54.0,2.0,25,-1.6155224085246076,1.9711357358457253,-2.2899985700301144,-0.9410462470191007,True,False,True,25555.49259891031,1.4647789109873948,-0.5352210890126051
033_210,33,initial_0_24,0.054,54.0,5.0,25,-1.9655284309403194,1.9748267421931227,-2.641267567769145,-1.2897892941114937,True,False,True,64484.97724093958,3.734875611112801,-1.2651243888871992
033_210,33,initial_0_24,0.059,59.0,0.0,25,2.28132791864934,2.5206347989911824,1.4188261371313167,3.143829700167363,True,False,True,76457.11830849873,4.619559058000868,4.619559058000868
033_210,33,initial_0_24,0.059,59.0,2.0,25,2.220963268004916,2.5305736948410837,1.3550606307261561,3.0868659052836755,True,False,True,108889.01322733688,6.539774827136035,4.539774827136034
033_210,33,initial_0_24,0.059,59.0,5.0,25,1.8797413295868564,2.845734162415164,0.9059982130544225,2.8534844461192903,True,False,True,159432.7577200038,9.334835318506514,4.334835318506514
034_210,34,initial_0_24,0.044,44.0,0.0,25,0.5374214051211507,1.5864242154811712,-0.005415547159070999,1.0802583574013722,True,False,True,50927.28025671975,2.245185825816531,2.245185825816531
034_210,34,initial_0_24,0.044,44.0,2.0,25,0.15646603569665687,1.5639680618396206,-0.37868695041376044,0.6916190218070741,True,False,True,65919.47021603391,3.700159872558272,1.7001598725582718
034_210,34,initial_0_24,0.044,44.0,5.0,25,-0.06643825720503266,1.5029920486826762,-0.5807266896725425,0.4478501752624771,True,False,True,131494.4802314349,5.694755723959505,0.6947557239595047
034_210,34,initial_0_24,0.049,49.0,0.0,25,1.0665628315434987,1.8263863063485786,0.4416165110387481,1.6915091520482495,True,False,True,48564.50020976768,2.9643349596698094,2.9643349596698094
034_210,34,initial_0_24,0.049,49.0,2.0,25,1.0191191814998946,1.8245165764123155,0.3948126384835884,1.6434257245162007,True,False,True,81928.99939933431,4.956947156965456,2.956947156965456
034_210,34,initial_0_24,0.049,49.0,5.0,25,0.8750571064221191,1.889021398089705,0.22867853471069322,1.521435678133545,True,False,True,133966.840647802,7.8535672535270225,2.853567253527022
034_210,34,initial_0_24,0.054,54.0,0.0,25,-1.5005774604349238,2.0000137788223413,-2.1849350071867404,-0.8162199136831074,True,False,True,17790.777305656673,1.0466135691967788,1.0466135691967788
034_210,34,initial_0_24,0.054,54.0,2.0,25,-1.7412774200654753,1.9860436211586927,-2.4208547083372425,-1.061700131793708,True,False,True,24996.8866239902,1.5573793952689563,-0.4426206047310436
034_210,34,initial_0_24,0.054,54.0,5.0,25,-2.0025360586331242,1.856903375917742,-2.6379246006293213,-1.3671475166369274,True,False,True,67176.16846951563,4.011801282052237,-0.9881987179477628
034_210,34,initial_0_24,0.059,59.0,0.0,25,2.5325242042854543,2.152017489196593,1.796154572701828,3.268893835869081,True,False,True,80455.57029569484,4.547645722523307,4.547645722523307
034_210,34,initial_0_24,0.059,59.0,2.0,25,2.2082788850651416,2.4585615043234728,1.3670171210447026,3.0495406490855803,True,False,True,112321.27203492454,6.224440146271292,4.2244401462712915
034_210,34,initial_0_24,0.059,59.0,5.0,25,1.8780612091963185,2.8521011048920046,0.9021394751063965,2.8539829432862405,True,False,True,164656.65928166427,9.34272283718712,4.34272283718712
