scenario,background_toy_index,mass_GeV,inj_nsigma,strength,role,attempt,optimizer_seed,optimizer_restarts,fit_ok,refit_fallback_used,error,gp_lml,gp_ls,gp_const,gp_const_lo,gp_const_hi,gp_ls_lo,gp_ls_hi,gp_ls_init,gp_const_init,sigma_A,sigmaA_reference,A_hat,Zhat,pull,amplitude_nll,n_blind,integral_density,A_per_eps2_unit,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,n_zero_train,min_y_train,max_y_train,training_counts_sha256,ls_at_lower,ls_at_upper,const_at_lower,const_at_upper,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,study_id,mass_MeV,top_branch_replicates,n_attempts,analytic_mean,analytic_lane,truth_model,truth_function_tag,support,support_low_MeV
2016_full,-1,0.054,0.0,0.0,reference_bonly,2,2041432098,12,True,False,,2561.436174791073,0.1912008037461049,32.407587358086715,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17011.432014838694,17033.62072839129,-45741.24813919884,-2.6888534780199436,-2.6888534780199436,-157477951.64580655,40,1351533588.816075,2190964067.4154196,0,,680,76,604,0.03,0.21,0.00025,0,701.2426974319171,354215.1438503383,27dc7f31f8c266a39acb0aa4b2c843978c85dbff06cb4788465e167de7a1561e,False,False,False,False,True,-0.0310907860529987,-3.0283330473220724e-08,v4p9p7_2016_support_combined_100toy_20260902,54.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,030_210,30
2016_full,-1,0.059,0.0,0.0,reference_bonly,2,2292443080,12,True,False,,2542.171753384014,0.1905325391294939,32.44722589949456,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,17029.180178845625,16999.657693263733,60489.11746645992,3.552086291364871,3.552086291364871,-181287749.19761315,44,1407877699.152787,2493627582.898163,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",676,94,582,0.03,0.21,0.00025,0,701.2426974319171,346725.8830613137,c356e7c6b0c83b9d6f95d941eeb4f2f6f6f28115fc83d1263bde7a38f5cf6f97,False,False,False,False,True,-0.0231839061450786,-2.416929392620595e-08,v4p9p7_2016_support_combined_100toy_20260902,59.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,030_210,30
2016_full,-1,0.044,0.0,0.0,reference_bonly,1,654100986,12,True,False,,2590.1600626837617,0.1951257136068743,32.54948972874284,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,15194.014719402408,15205.040685943928,-14320.42669150735,-0.9425044634990708,-0.9425044634990708,-81925741.79195218,34,860162701.5271664,1136182079.2973485,0,,682,35,647,0.031,0.21,0.00025,0,701.2426974319171,354215.1438503383,fdb4341723fd2c12f88ba966d0190f43882c8bce4cf11ff162d55b4edbdb94cc,False,False,False,False,True,-0.0096863256647773,-8.397142843183169e-09,v4p9p7_2016_support_combined_100toy_20260902,44.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,031_210,31
2016_full,-1,0.049,0.0,0.0,reference_bonly,1,2047718015,12,True,False,,2564.3348267433885,0.1928569953857825,32.70406867228868,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,16328.110980092362,16306.563530129652,33476.78222464687,2.0502544516914782,2.0502544516914782,-128902135.15759164,38,1181907664.7197711,1738578404.9151945,0,,678,53,625,0.031,0.21,0.00025,0,701.2426974319171,354215.1438503383,6fa2f38e079602dcb47d531711884ca2c295992b13b01d8795ec7f0db8725e5b,False,False,False,False,True,-0.0181816000832975,-1.4327095354734985e-08,v4p9p7_2016_support_combined_100toy_20260902,49.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,031_210,31
2016_full,-1,0.054,0.0,0.0,reference_bonly,0,2441084178,12,True,False,,2552.031183364302,0.1909913126626096,32.683213655133216,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17104.151203021094,17126.42852216864,-45783.75396988922,-2.6767627008467083,-2.6767627008467083,-157477951.6402799,40,1351533588.816075,2190964067.4154196,0,,676,72,604,0.031,0.21,0.00025,0,701.2426974319171,354215.1438503383,ec2d7f6ca300026b47627e74853c662eec683781e527cb380f15103fe7d821a7,False,False,False,False,True,-0.0304849433932426,-2.9411895176303372e-08,v4p9p7_2016_support_combined_100toy_20260902,54.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,031_210,31
2016_full,-1,0.059,0.0,0.0,reference_bonly,2,2292443080,12,True,False,,2532.7686656272144,0.1903231341110838,32.72052599874443,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,17108.839389065935,17079.161855452396,60583.11779450549,3.541041938427657,3.541041938427657,-181287749.1924851,44,1407877699.152787,2493627582.898163,0,,672,90,582,0.031,0.21,0.00025,0,701.2426974319171,346725.8830613137,f1f280a808dc2ff9242276bae7b146b31bdbead72ead6e5e6ec539e2ada27968,False,False,False,False,True,-0.026963236580979,-2.7853935945855363e-08,v4p9p7_2016_support_combined_100toy_20260902,59.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,031_210,31
2016_full,-1,0.044,0.0,0.0,reference_bonly,0,1489094502,12,True,False,,2579.1131649045647,0.1947861448559924,32.881269023462615,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,15958.740570218426,15970.06370122653,-13785.09694415998,-0.8637960422694749,-0.8637960422694749,-81925741.77001527,34,860162701.5271664,1136182079.2973485,0,,678,31,647,0.032,0.21,0.00025,0,701.2426974319171,354215.1438503383,e87d4d37569bf314b0b2bc647b0419f342fd06b4cb8d55c2ea8c1f99cb421630,False,False,False,False,True,-0.0118309244288078,-9.258928343826498e-09,v4p9p7_2016_support_combined_100toy_20260902,44.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,032_210,32
2016_full,-1,0.049,0.0,0.0,reference_bonly,1,2047718015,12,True,False,,2553.2708969248847,0.192696024026583,32.99984731929333,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,16518.090600494594,16496.10676372251,33387.72977469922,2.0212826398772448,2.0212826398772448,-128902135.144243,38,1181907664.7197711,1738578404.9151945,0,,674,49,625,0.032,0.21,0.00025,0,701.2426974319171,354215.1438503383,7d46af14797820eef15249c7aed098b4fc2b72db9aca340ad4d26e6ebe0728a9,False,False,False,False,True,-0.0180026727460885,-1.3613844697754146e-08,v4p9p7_2016_support_combined_100toy_20260902,49.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,032_210,32
2016_full,-1,0.054,0.0,0.0,reference_bonly,0,2441084178,12,True,False,,2540.9696037563017,0.1906331626376574,33.017171046819186,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17210.49351576346,17232.939935031027,-45883.78913993575,-2.66603564261012,-2.66603564261012,-157477951.63696983,40,1351533588.816075,2190964067.4154196,0,,672,68,604,0.032,0.21,0.00025,0,701.2426974319171,354215.1438503383,b25d533bbcd113d8e1691329f1d48bf23ece4d7cb5fc4d7fb28d2d51943c39a2,False,False,False,False,True,-0.0406086067376174,-3.8471109893780774e-08,v4p9p7_2016_support_combined_100toy_20260902,54.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,032_210,32
2016_full,-1,0.059,0.0,0.0,reference_bonly,2,2292443080,12,True,False,,2521.708357516188,0.1899411540747271,33.056995796419635,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,17207.109107790475,17177.137233833444,60823.01355489956,3.5347607302241197,3.5347607302241197,-181287749.1930424,44,1407877699.152787,2493627582.898163,0,,668,86,582,0.032,0.21,0.00025,0,701.2426974319171,346725.8830613137,ab1f1d01c6c4efe3fc493fedca410029d8f890a2d4f5a74c195263db1491c5a0,False,False,False,False,True,-0.0315665957351681,-3.2099085236661766e-08,v4p9p7_2016_support_combined_100toy_20260902,59.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,032_210,32
2016_full,-1,0.044,0.0,0.0,reference_bonly,1,654100986,12,True,False,,2566.5872431200028,0.1940482962397899,33.220086067219945,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,16527.040092724685,16537.58333516586,-11719.841088898684,-0.7091312795966314,-0.7091312795966314,-81925741.76796071,34,860162701.5271664,1136182079.2973485,0,,674,27,647,0.033,0.21,0.00025,0,701.2426974319171,354215.1438503383,2f0de3f38fbdd5de0f09b78f424e1d563598f0bea309a5c01790e049a2a86a79,False,False,False,False,True,-0.013129707437651,-9.75019391686652e-09,v4p9p7_2016_support_combined_100toy_20260902,44.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,033_210,33
2016_full,-1,0.049,0.0,0.0,reference_bonly,1,2047718015,12,True,False,,2540.741889136655,0.1925260327425196,33.336251405569584,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,16976.807763516492,16954.108212300656,33113.23361947696,1.9504982374034991,1.9504982374034991,-128902135.13017464,38,1181907664.7197711,1738578404.9151945,0,,670,45,625,0.033,0.21,0.00025,0,701.2426974319171,354215.1438503383,f839c605ecb551ce5a83373d0982d56a7ac7c4c162eee3b300614d5d6a61416f,False,False,False,False,True,-0.0238636216283075,-1.6879548386973012e-08,v4p9p7_2016_support_combined_100toy_20260902,49.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,033_210,33
2016_full,-1,0.054,0.0,0.0,reference_bonly,0,2441084178,12,True,False,,2528.4413039414335,0.1901859020054073,33.36680959226804,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17461.794085930687,17484.661593971843,-45646.78846302293,-2.6140949915221743,-2.6140949915221743,-157477951.67520732,40,1351533588.816075,2190964067.4154196,0,,668,64,604,0.033,0.21,0.00025,0,701.2426974319171,354215.1438503383,3854db3b887d4f1af4731f3b16727215ee2294d2eeadb4344f037ac30ae19f42,False,False,False,False,True,-0.03464052834177,-3.1470430734309725e-08,v4p9p7_2016_support_combined_100toy_20260902,54.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,033_210,33
2016_full,-1,0.059,0.0,0.0,reference_bonly,0,3060819675,12,True,False,,2509.1792601374427,0.1894540708585105,33.414929406355306,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,17388.92005349934,17358.50953415382,60797.28000606479,3.4963229354677474,3.4963229354677474,-181287749.13165507,44,1407877699.152787,2493627582.898163,0,,664,82,582,0.033,0.21,0.00025,0,701.2426974319171,346725.8830613137,279e8d5f63b886cd90fce934dda4371129dfd152752e339aef31c50264aa610b,False,False,False,False,True,-0.0367920477214346,-3.6277099888684035e-08,v4p9p7_2016_support_combined_100toy_20260902,59.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,033_210,33
2016_full,-1,0.044,0.0,0.0,reference_bonly,1,654100986,12,True,False,,2552.8298336431176,0.1935221798450188,33.52820678579775,1e-08,1e+18,0.0383798503556107,0.5117313380748101,0.1401433986229378,1.0,16766.640776651464,16776.363607632065,-10904.68905259722,-0.6503800730187196,-0.6503800730187196,-81925741.77583838,34,860162701.5271664,1136182079.2973485,0,,670,23,647,0.0339999999999999,0.21,0.00025,0,701.2426974319171,354215.1438503383,25a666f771528c088ee84c9f71b8bb6004f8df1cb73b2ad6ba6948abab7f1c7e,False,False,False,False,True,-0.0141671001603278,-9.940159973614018e-09,v4p9p7_2016_support_combined_100toy_20260902,44.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,034_210,34
2016_full,-1,0.049,0.0,0.0,reference_bonly,1,2047718015,12,True,False,,2526.952962601785,0.192495791351677,33.720486166002594,1e-08,1e+18,0.0375436860050397,0.5005824800671963,0.1370901581123418,1.0,17334.51784245884,17311.38854572975,33329.32316114756,1.922714174345902,1.922714174345902,-128902135.1026168,38,1181907664.7197711,1738578404.9151945,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",666,41,625,0.0339999999999999,0.21,0.00025,0,701.2426974319171,354215.1438503383,337ad109b43bd196b3a545060ce4206aa48ddc11af9915001ad1591dd93378b5,False,False,False,False,True,-0.0221969849944286,-1.524344226454638e-08,v4p9p7_2016_support_combined_100toy_20260902,49.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,034_210,34
2016_full,-1,0.054,0.0,0.0,reference_bonly,0,2441084178,12,True,False,,2514.6490073701952,0.1901603225625981,33.7029896496713,1e-08,1e+18,0.0369279419260544,0.4923725590140595,0.134841778634272,1.0,17762.338462706102,17785.722071388318,-45807.82714601703,-2.578929978290605,-2.578929978290605,-157477951.66167995,40,1351533588.816075,2190964067.4154196,0,,664,60,604,0.0339999999999999,0.21,0.00025,0,701.2426974319171,354215.1438503383,660ac08c3b4f9ff7373b20fd616b5cf4a7ab378fc6703a32bfebcfabefe86d2f,False,False,False,False,True,-0.0381074808540018,-3.337077802357747e-08,v4p9p7_2016_support_combined_100toy_20260902,54.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,034_210,34
2016_full,-1,0.059,0.0,0.0,reference_bonly,0,3060819675,12,True,False,,2495.383010137446,0.1894031974041248,33.74476726186881,1e-08,1e+18,0.0364900130963024,0.4865335079506998,0.1332426886433587,1.0,17566.084731608542,17535.220883134425,60870.70793501671,3.4652404827289436,3.4652404827289436,-181287749.1160492,44,1407877699.152787,2493627582.898163,0,,660,78,582,0.0339999999999999,0.21,0.00025,0,701.2426974319171,346725.8830613137,e9800a9be295eaf6390b3e405996328cfc163fe6d5ca2e5acd3a61f8a3e54c42,False,False,False,False,True,-0.031840763750076,-3.064261616980126e-08,v4p9p7_2016_support_combined_100toy_20260902,59.0,3,3,True,threshold_qualified,2016_10pct_logistic_exp_Chebyshev5_blended_fShiftSigPowTail_full_normalization,logistic_exp_Chebyshev5_blended_fShiftSigPowTail,034_210,34
