support,toy_index,mass_GeV,mass_MeV,inj_nsigma,reason,source_ledger,source_ledger_sha256
030_210,18,0.044,44,5.0,irreproducible_injected_refit_top_branch,runs/2016_threshold_qualified_030_210/2016_full/toy_0018/exclusions.csv,8d2277cd94451e9e786469f189ca98baa43bf4c095d0eae8f9dfa367b4971a67
032_210,3,0.054,54,2.0,irreproducible_injected_refit_top_branch,runs/2016_threshold_qualified_032_210/2016_full/toy_0003/exclusions.csv,4287b888365d66dfab4372a546b4def5db7503b726cfa4cb51e930ed770d90a9
