dataset,mass_GeV,toy,strength,inj_nsigma,sigmaA_ref,sigmaA_ref_prefit,sigmaA_ref_matched,sigmaA_ref_mode,sigmaA_ref_matched_ok,sigmaA_ref_error,integral_density,A_per_eps2_unit,sigma_val,sigma_x,kernel_ls_policy,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,f_win,f_full,f_train,f_train_frac,n_train,n_train_low,n_train_high,n_blind,blind_nsigma,train_exclude_nsigma,signal_model,inj_shape_mode,inj_background_mode,extract_background_mode,A_hat,sigma_A,Zhat,pull_param,Nsig_win,Nsig_train,success,nll,toy_mode,refit_gp_on_toy,refit_ok,refit_restarts,refit_optimize,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,refit_fallback_used,refit_error,nuisance_beta0,nuisance_beta1,nuisance_beta2,nuisance_pull_norm,profiled_background_shift_blind_counts,profiled_background_abs_shift_blind_counts,profile_shift_abs_fraction_observed,profiled_total_blind_counts,gpr_background_blind_counts,source_model,source_label,source_root,container,function_tag,toy_hist,toy_index,injection_toy
2016,0.06,0,0.0,0.0,18939.73733675157,39719.03145875335,18939.73733675157,matched_refit_bonly,1.0,,144793058.82352927,280434019.2976748,0.0024778544,0.040467602130689784,resolution_scaled_local,0.9,8.0,0.03642084191762081,0.32374081704551827,0.10858597110076523,0.08611224570360775,13.294546049767785,0.10858597110076525,1.0,0.10858597110076525,1.0,0.973558300293543,1.0,0.026441699706457045,0.026441699706457045,1156,218,938,44,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,3758.538480422968,7555.671476086848,0.49744599038198917,0.49744599038198917,0,0,True,3.299341830032552,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,0.0013989716257592634,-0.020393807758778106,-0.0002111338147478448,0.20586537680370007,2208.740863143379,2457.3886612525384,0.0015494068237849221,1585872.3321893371,1580004.434991605,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.06,0,18939.73733675157,1.0,18939.73733675157,39719.03145875335,18939.73733675157,matched_refit_bonly,1.0,,144793058.82352927,280434019.2976748,0.0024778544,0.040467602130689784,resolution_scaled_local,0.9,8.0,0.03642084191762081,0.32374081704551827,0.10858597110076523,0.08611224570360775,13.294546049767785,0.10858597110076525,1.0,0.10858597110076525,1.0,0.973558300293543,1.0,0.026441699706457045,0.026441699706457045,1156,218,938,44,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,16048.475557640626,7615.086740675268,2.107458011202841,-0.37967548861492806,18436,546,True,3.20549855908368,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.00011834381446197679,-0.021041017591221768,0.00017984296083370133,0.21043549582040377,-191.23173518074327,1833.3984123732225,0.0011426923237941996,1604273.0859558722,1588840.191104854,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.06,0,37879.47467350314,2.0,18939.73733675157,39719.03145875335,18939.73733675157,matched_refit_bonly,1.0,,144793058.82352927,280434019.2976748,0.0024778544,0.040467602130689784,resolution_scaled_local,0.9,8.0,0.03642084191762081,0.32374081704551827,0.10858597110076523,0.08611224570360775,13.294546049767785,0.10858597110076525,1.0,0.10858597110076525,1.0,0.973558300293543,1.0,0.026441699706457045,0.026441699706457045,1156,218,938,44,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,29184.30628384612,7668.35995514785,3.805808080807995,-1.1339019608514673,37023,994,True,3.06885905705974,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.0013936833628065107,-0.018169493879929013,0.0005500518746897552,0.18394908712186103,-2226.3242117000045,2370.42436531611,0.0014604824553622827,1622785.8410295008,1596599.5416202531,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.06,0,56819.212010254705,3.0,18939.73733675157,39719.03145875335,18939.73733675157,matched_refit_bonly,1.0,,144793058.82352927,280434019.2976748,0.0024778544,0.040467602130689784,resolution_scaled_local,0.9,8.0,0.03642084191762081,0.32374081704551827,0.10858597110076523,0.08611224570360775,13.294546049767785,0.10858597110076525,1.0,0.10858597110076525,1.0,0.973558300293543,1.0,0.026441699706457045,0.026441699706457045,1156,218,938,44,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,45255.756674425036,7701.397274263618,5.876304657813181,-1.501474982270062,55561,1439,True,3.2353474024826743,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.002764707215391865,-0.014552721217089244,0.000709347765246306,0.15593021789843123,-4423.876512856041,4423.876512856041,0.002694889382702056,1641328.5443673662,1601693.3033337707,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.06,0,94698.68668375784,5.0,18939.73733675157,39719.03145875335,18939.73733675157,matched_refit_bonly,1.0,,144793058.82352927,280434019.2976748,0.0024778544,0.040467602130689784,resolution_scaled_local,0.9,8.0,0.03642084191762081,0.32374081704551827,0.10858597110076523,0.08611224570360775,13.294546049767785,0.10858597110076525,1.0,0.10858597110076525,1.0,0.973558300293543,1.0,0.026441699706457045,0.026441699706457045,1156,218,938,44,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,70637.29747031242,7806.797067044939,9.048179024467757,-3.0821076821653874,92229,2464,True,2.8918482371264624,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.0050644866705876375,-0.01423916607497648,0.0014463935602608998,0.1756754924141226,-8171.701829697762,8171.701829697762,0.004869186097464596,1677893.7947155528,1617295.9692827242,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.105,0,0.0,0.0,10545.011588445646,28752.54019837133,10545.011588445646,matched_refit_bonly,1.0,,37629448.27586207,127540716.67500739,0.0043979338062500005,0.04103165305465417,resolution_scaled_local,0.9,8.0,0.036928487749188756,0.32825322443723337,0.11009947855127235,0.08700418119935713,13.36400292182998,0.11009947855127233,1.0,0.11009947855127233,1.0,0.9770216863571828,1.0,0.022978313642817216,0.022978313642817216,1120,380,740,80,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,-278.8196249425135,4101.898831713644,-0.06797330611540985,-0.06797330611540985,0,0,True,8.087302427756688,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.004394267476723932,0.013074691809635053,-0.010341521177146925,0.20378682346929755,-3691.7364139644696,3691.7364139644696,0.0048332228114613554,763624.8321237883,767588.9813579035,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.105,0,10545.011588445646,1.0,10545.011588445646,28752.54019837133,10545.011588445646,matched_refit_bonly,1.0,,37629448.27586207,127540716.67500739,0.0043979338062500005,0.04103165305465417,resolution_scaled_local,0.9,8.0,0.036928487749188756,0.32825322443723337,0.11009947855127235,0.08700418119935713,13.36400292182998,0.11009947855127233,1.0,0.11009947855127233,1.0,0.9770216863571828,1.0,0.022978313642817216,0.022978313642817216,1120,380,740,80,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,7086.29619524059,4140.677408807857,1.711385721613316,-0.8353018242492971,10360,250,True,7.845497067523485,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.00653979036531994,0.009599659823460694,-0.0081811190554222,0.19178324578190264,-5273.9152450575575,5273.9152450575575,0.006812215743081509,774004.3292134551,772354.7793998122,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.105,0,21090.023176891293,2.0,10545.011588445646,28752.54019837133,10545.011588445646,matched_refit_bonly,1.0,,37629448.27586207,127540716.67500739,0.0043979338062500005,0.04103165305465417,resolution_scaled_local,0.9,8.0,0.036928487749188756,0.32825322443723337,0.11009947855127235,0.08700418119935713,13.36400292182998,0.11009947855127233,1.0,0.11009947855127233,1.0,0.9770216863571828,1.0,0.022978313642817216,0.022978313642817216,1120,380,740,80,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,15167.299178740832,4167.720612959555,3.6392312698643985,-1.4210942978600127,20594,478,True,7.568293632879956,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.00775172790228434,0.006132158288866217,-0.008050255413436883,0.19473593370514028,-6142.531723918947,6142.531723918947,0.007830676875393058,784285.7699148431,775609.521417665,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.105,0,31635.03476533694,3.0,10545.011588445646,28752.54019837133,10545.011588445646,matched_refit_bonly,1.0,,37629448.27586207,127540716.67500739,0.0043979338062500005,0.04103165305465417,resolution_scaled_local,0.9,8.0,0.036928487749188756,0.32825322443723337,0.11009947855127235,0.08700418119935713,13.36400292182998,0.11009947855127233,1.0,0.11009947855127233,1.0,0.9770216863571828,1.0,0.022978313642817216,0.022978313642817216,1120,380,740,80,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,22101.783516021107,4211.264212160684,5.248253826534738,-2.263750448567696,30797,725,True,7.96800962068306,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.010132457379354122,0.0041157183969465355,-0.00562593281690577,0.21841721159170407,-7975.733971103428,7975.733971103428,0.01003714215199608,794557.6420821501,780939.4542509292,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
2016,0.105,0,52725.05794222823,5.0,10545.011588445646,28752.54019837133,10545.011588445646,matched_refit_bonly,1.0,,37629448.27586207,127540716.67500739,0.0043979338062500005,0.04103165305465417,resolution_scaled_local,0.9,8.0,0.036928487749188756,0.32825322443723337,0.11009947855127235,0.08700418119935713,13.36400292182998,0.11009947855127233,1.0,0.11009947855127233,1.0,0.9770216863571828,1.0,0.022978313642817216,0.022978313642817216,1120,380,740,80,2.25,2.25,default,full,fixed_hist,majd_phi_beta_profiled,36322.25337080343,4289.940508626973,8.466843141008647,-3.8235505920045125,51499,1177,True,8.50969930335358,full_refit,True,1.0,0,True,none,,,0.0,0.0,0,1.0,1.0,False,,-0.013676220295602892,-0.003073044760996412,-0.0026529121752854982,0.27723571132725805,-10660.684172813832,10660.684172813832,0.013075396005531337,815234.8103025116,790407.86523469,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,fShiftSigPowTail_toy_0,0,0
