mass_MeV,truth
12.124999999999998,3.505886631870243
12.374999999999998,8.688298002250729
12.625,20.19800169608423
12.875,44.05359001941659
13.125,90.28706760742378
13.375,174.31929517976627
13.624999999999998,318.07978348721184
13.874999999999998,550.5185448192582
14.124999999999998,907.2379676141725
14.374999999999998,1429.1566139497793
14.625,2160.341737331301
14.875,3145.3330162669467
15.125,4426.367543662801
15.374999999999998,6040.890660489079
15.625,8019.625950920895
15.875,10385.329732116885
16.125,13152.218224900813
16.374999999999996,16325.959755315516
16.624999999999996,19904.079225159425
16.874999999999996,23876.620743533065
17.124999999999996,28226.941502633308
17.374999999999996,32932.549428880346
17.625,37965.93613222128
17.875,43295.38735386279
18.125,48885.77263041003
18.375,54699.324281303525
18.625,60696.41596235734
18.875,66836.34509048781
19.125,73078.1155679882
19.375,79381.20859519298
19.625,85706.32309070429
19.874999999999996,92016.06295172246
20.124999999999996,98275.54783369905
20.374999999999996,104452.92588893624
20.624999999999996,110519.77140662947
20.874999999999996,116451.35618421927
21.124999999999996,122226.79026197843
21.375,127829.03445749711
21.625,133244.79334402966
21.875,138464.3021542033
22.125,143481.02530710417
22.375,148291.28578625692
22.625,152893.84617724424
22.875,157289.4611720014
23.125,161480.42020989413
23.374999999999996,165470.09680174154
23.624999999999996,169262.51845890662
23.874999999999996,172861.96851781043
24.124999999999996,176272.62815232645
24.374999999999996,179498.2647886328
24.624999999999996,182541.97038062572
24.874999999999996,185405.95138829589
25.124999999999996,188091.37075615054
25.375,190598.24058937698
25.625,192925.36383371975
25.875,195070.32228049947
26.125,197029.50768307678
26.375,198798.1928492898
26.625,200370.6391171318
26.874999999999996,201740.23646271185
27.124999999999996,202899.67263545966
27.374999999999996,203841.127225371
27.624999999999996,204556.48698805942
27.874999999999996,205037.57789926117
