mass_MeV,truth
12.124999999999998,3.7349230664604196
12.374999999999998,8.98736706995283
12.625,20.437118383664828
12.875,43.88160943560751
13.125,89.01327160599004
13.375,170.84832231283318
13.624999999999998,310.9860887520607
13.874999999999998,538.3343698702384
14.124999999999998,888.9703943436691
14.374999999999998,1404.9588948101782
14.625,2132.177755705668
14.875,3117.43142635466
15.125,4405.28668273049
15.374999999999998,6035.10117360235
15.625,8038.635559669273
15.875,10438.485083845635
16.125,13247.390846466462
16.374999999999996,16468.34234186201
16.624999999999996,20095.28795272813
16.874999999999996,24114.234372545077
17.124999999999996,28504.5285523434
17.374999999999996,33240.15835007039
17.625,38290.96274263713
17.875,43623.69481896252
18.125,49202.922855394434
18.375,54991.783099179636
18.625,60952.61308983988
18.875,67047.49857814902
19.125,73238.76409856557
19.375,79489.4293537491
19.625,85763.64442083411
19.874999999999996,92027.1074564329
20.124999999999996,98247.46096781445
20.374999999999996,104394.65717635187
20.624999999999996,110441.2799433602
20.874999999999996,116362.81016217309
21.124999999999996,122137.82265429824
21.375,127748.1053923425
21.625,133178.69582875512
21.875,138417.83302217597
22.125,143456.82866906316
22.375,148289.86364161258
22.625,152913.71967524764
22.875,157327.4585205385
23.125,161532.06107058495
23.374999999999996,165530.04080575053
23.624999999999996,169325.04442037852
23.874999999999996,172921.45227956667
24.124999999999996,176323.98977201432
24.374999999999996,179537.35914659192
24.624999999999996,182565.89969629858
24.874999999999996,185413.28260814355
25.124999999999996,188082.24521771158
25.375,190574.36813218798
25.625,192889.89745576988
25.875,195027.61387744852
26.125,196984.7488724443
26.375,198756.94881357814
26.625,200338.28641491543
26.874999999999996,201721.31930789573
27.124999999999996,202897.19458896175
27.374999999999996,203855.79844142258
27.624999999999996,204585.94902580653
27.874999999999996,205075.63026731773
