mass_MeV,truth
12.124999999999998,3.866607709890137
12.374999999999998,9.329232959157002
12.625,21.20827846887841
12.875,45.43070348725747
13.125,91.81994732134946
13.375,175.469152128259
13.624999999999998,317.9296063440451
13.874999999999998,547.8776520958713
14.124999999999998,900.9655054782231
14.374999999999998,1418.7049666271103
14.625,2146.4369875127445
14.875,3130.638035551645
15.125,4415.9443066401345
15.374999999999998,6042.304916867183
15.625,8042.610609030634
15.875,10441.018778179081
16.125,13252.05233035758
16.374999999999996,16480.426030033435
16.624999999999996,20121.470772557495
16.874999999999996,24161.988299494107
17.124999999999996,28581.368857776393
17.374999999999996,33352.82916176297
17.625,38444.66424537899
17.875,43821.44398574302
18.125,49445.11649136431
18.375,55276.003538262754
18.625,61273.68740951102
18.875,67397.79550944816
19.125,73608.69094331845
19.375,79868.0758713898
19.625,86139.51199226826
19.874999999999996,92388.85977256074
20.124999999999996,98584.63610574683
20.374999999999996,104698.28925822
20.624999999999996,110704.39014451671
20.874999999999996,116580.74021151236
21.124999999999996,122308.39795955316
21.375,127871.628290928
21.625,133257.78113874694
21.875,138457.1076152906
22.125,143462.52362794653
22.375,148269.3317714848
22.625,152874.9129308963
22.875,157278.39888235385
23.125,161480.3366084292
23.374999999999996,165482.3543013095
23.624999999999996,169286.8377299028
23.874999999999996,172896.62431494717
24.124999999999996,176314.7209740807
24.374999999999996,179544.05024797466
24.624999999999996,182587.2281561855
24.874999999999996,185446.3758357197
25.124999999999996,188122.966182884
25.375,190617.70579573908
25.625,192930.45190898326
25.875,195060.1634428521
26.125,197004.8849576363
26.375,198761.76190802836
26.625,200327.0856602368
26.874999999999996,201696.36614362185
27.124999999999996,202864.43044141916
27.374999999999996,203825.54489629294
27.624999999999996,204573.55864930112
27.874999999999996,205102.06610639073
