mass_MeV,truth
12.124999999999998,3.945480817876384
12.374999999999998,9.26183978710234
12.625,20.702220557796128
12.875,43.94768459427483
13.125,88.52337623463838
13.375,169.25654585533206
13.624999999999998,307.59601526950564
13.874999999999998,532.4154106175408
14.124999999999998,879.9410049513681
14.374999999999998,1392.5925285646242
14.625,2116.7661884854047
14.875,3099.8431440158565
15.125,4386.886258017801
15.374999999999998,6017.537972478939
15.625,8023.549921849127
15.875,10427.203115888906
16.125,13240.679185903611
16.374999999999996,16466.27473137927
16.624999999999996,20097.245147675076
16.874999999999996,24119.02790696055
17.124999999999996,28510.615072795892
17.374999999999996,33245.89853670365
17.625,38294.877326504524
17.875,43624.677546287654
18.125,49200.38287886522
18.375,54985.703851837796
18.625,60943.52833256724
18.875,67036.39737302641
19.125,73226.94395084525
19.375,79478.32062535986
19.625,85754.62952642808
19.874999999999996,92021.35606584475
20.124999999999996,98245.79824117367
20.374999999999996,104397.47644136769
20.624999999999996,110448.50563684976
20.874999999999996,116373.91098066975
21.124999999999996,122151.87000070585
21.375,127763.86854902186
21.625,133194.76248778627
21.875,138432.7429259731
22.125,143469.20769523035
22.375,148298.5470333287
22.625,152917.85489970818
22.875,157326.58022498575
23.125,161526.13381146497
23.374999999999996,165519.46715914554
23.624999999999996,169310.63895203418
23.874999999999996,172904.38364952485
24.124999999999996,176305.69517613997
24.374999999999996,179519.4362281286
24.624999999999996,182549.9823395795
24.874999999999996,185400.90703639892
25.124999999999996,188074.7133466332
25.375,190572.6145974303
25.625,192894.36692467844
25.875,195038.15413899207
26.125,197000.5252921734
26.375,198776.38460664987
26.625,200359.03257545157
26.874999999999996,201740.25736388186
27.124999999999996,202910.47449643246
27.374999999999996,203858.91290885644
27.624999999999996,204573.84460059815
27.874999999999996,205042.85480337084
