method,mass_MeV,sigma_MeV,r,p0,Ahat_window,sigma_A_window,Ahat_total,sigma_A_total,signal_fraction_in_fit,fit_low_MeV,fit_high_MeV,support_low_MeV,support_high_MeV,nfit,nleft,nright,left_events,right_events,count_min_fit,nll_fit,nll_null,max_score,min_lambda,kernel_constant,kernel_ls_logmass,kernel_ls_sigma,kernel_upper_factor,kernel_at_boundary,log_marginal_likelihood,covariance_load_relative,warning_count,poisson_deviance,gof_nominal_dof
gp_12_28,15.0,0.7060579547703,0.996324945711359,0.15954614350785506,423.04497070935884,424.7808199149873,437.7674113960499,439.5636701059636,0.9663692629843302,13.499999999999998,16.499999999999996,11.999999999999998,27.999999999999996,12,6.0,46.0,331.0,6077417.0,305.0,2.0758106271695143,2.5721423258928855,8.108722027166948e-12,315.46356213004407,70.20755875284658,0.3679703505610088,8.0,8.0,True,161.3094325320788,1e-09,1.0,,
gp_12_28,15.25,0.7193627257367249,0.698224538062987,0.24251839155518584,378.58851394153874,542.3254451691269,393.1561530844666,563.1934881559554,0.9629469384400092,13.749999999999998,16.749999999999996,11.999999999999998,27.999999999999996,12,7.0,45.0,636.0,6057302.0,548.0,2.338069505833269,2.581828258609905,5.4634630153316266e-12,544.5361895680677,69.72166643700594,0.3687404313197972,8.0,8.0,True,159.23849726566522,1e-09,1.0,,
gp_12_28,15.5,0.7326674967031499,-0.07873275059867937,0.5,-61.87175919386172,785.8358407903661,-62.93637967136894,799.3576306823129,0.983084179880281,13.749999999999998,17.249999999999996,11.999999999999998,27.999999999999996,14,7.0,43.0,636.0,6004781.0,548.0,2.914521105875996,2.917620528884413,3.5083047578154947e-14,544.9683159215975,75.58475756179183,0.3694856001906592,8.0,8.0,True,151.75011833510007,1e-09,1.0,,
gp_12_28,15.75,0.7459722676695749,-0.6678815006803455,0.5,-613.4117675529143,918.3738419817554,-625.2793089611642,936.14141700147,0.9810204156155964,13.999999999999998,17.499999999999996,11.999999999999998,27.999999999999996,14,8.0,42.0,1184.0,5971436.0,921.0,2.6570022356039886,2.880035085079504,2.375877272697835e-14,898.2992423571462,76.58229087493152,0.37020704677358174,8.0,8.0,True,149.61233036747385,1e-09,1.0,,
gp_12_28,16.0,0.7592770386359999,-0.9467381603275281,0.5,-970.2315708372163,1024.7148662065267,-991.2221146452258,1046.884132736646,0.9788235719342053,14.249999999999998,17.75,11.999999999999998,27.999999999999996,14,9.0,41.0,2105.0,5932797.0,1445.0,4.000336032435353,4.448492604545529,1.0827812702007833e-07,1417.4770761207883,78.96326353864613,0.3709058861135694,8.0,8.0,True,149.24880586054365,1e-08,1.0,,
gp_12_28,16.25,0.772581809602425,-0.9504048593594767,0.5,-1092.3083494779864,1149.2033918539448,-1118.6005669143856,1176.8650914754035,0.9764954370540638,14.499999999999998,18.0,11.999999999999998,27.999999999999996,14,10.0,40.0,3550.0,5889455.0,2180.0,4.452976821500815,4.904611519847869,6.661338147750939e-14,2148.0875295509536,82.13069575391927,0.371583164451224,8.0,8.0,True,147.9436188437625,1e-08,1.0,,
gp_12_28,16.5,0.78588658056885,-0.5525865703172325,0.5,-705.782639257265,1277.1691708666112,-724.5943286741568,1311.2104017481975,0.9740383154097922,14.75,18.25,11.999999999999998,27.999999999999996,14,11.0,39.0,5730.0,5839953.0,3107.0,6.348936073316853,6.501612032164334,8.965050923848139e-14,3136.9635303715404,89.4799654420667,0.3722398644491452,8.0,8.0,True,147.89929407694768,1e-08,1.0,,
gp_12_28,16.75,0.799191351535275,0.13774909751196532,0.44521935751288827,196.33835049407097,1425.3497097169102,202.107515528201,1467.2318875289038,0.9714549702961193,15.0,18.5,11.999999999999998,27.999999999999996,14,12.0,38.0,8837.0,5785234.0,4456.0,6.273383659056538,6.282871065989219,8.123363093304192e-14,4426.193830769932,85.88480699100442,0.3728769099490601,8.0,8.0,True,146.24979273594656,1e-08,2.0,,
gp_12_28,17.0,0.8124961225016999,0.7019198855524937,0.2413645634296933,1118.0247536377813,1592.8939327363703,1154.0917748483084,1644.280039413518,0.9687485674912918,15.249999999999998,18.75,11.999999999999998,27.999999999999996,14,13.0,37.0,13293.0,5724154.0,5946.0,6.816390473679078,7.062736236546091,9.009459844833145e-14,6051.461674620331,95.18950292305884,0.37349517030811535,8.0,8.0,True,145.63099852256693,1e-08,2.0,,
gp_12_28,17.25,0.8258008934681249,1.429953934392735,0.07636512037874099,2491.105774426468,1742.2612299631107,2578.991030036937,1803.727537458934,0.9659226206733994,15.499999999999998,19.0,11.999999999999998,27.999999999999996,14,14.0,36.0,19239.0,5657496.0,8044.0,5.790336644021284,6.8127207712639155,6.221967385755534e-13,8043.722231262823,94.42379250980287,0.37409546435713575,8.0,8.0,True,144.16650232063182,1e-08,1.0,,
