mass_MeV,truth
12.124999999999998,3.640349685891201
12.374999999999998,9.035415514740626
12.625,20.913272530761702
12.875,45.280286265601546
13.125,92.0377688905098
13.375,176.30872451663146
13.624999999999998,319.573981674075
13.874999999999998,550.308202703653
14.124999999999998,903.8483301984706
14.374999999999998,1421.35429685166
14.625,2147.89949497327
14.875,3129.9030496323007
15.125,4412.237652154491
15.374999999999998,6035.387796867787
15.625,8032.99401591572
15.875,10430.02175889098
16.125,13241.671651565428
16.374999999999996,16473.031709124796
16.624999999999996,20119.382604238817
16.874999999999996,24167.013227051022
17.124999999999996,28594.384240287505
17.374999999999996,33373.48461256613
17.625,38471.25032662526
17.875,43850.94624491295
18.125,49473.44453321378
18.375,55298.36119210258
18.625,61285.03453867599
18.875,67393.34485927098
19.125,73584.38431610998
19.375,79820.99117621992
19.625,86068.16408504045
19.874999999999996,92293.37181537447
20.124999999999996,98466.77249061267
20.374999999999996,104561.35431044023
20.624999999999996,110553.00782515337
20.874999999999996,116420.5385635067
21.124999999999996,122145.62734390351
21.375,127712.74482974535
21.625,133109.02666495726
21.875,138324.11478139283
22.125,143349.9710137429
22.375,148180.66830239721
22.625,152812.16545433886
22.875,157242.07072943752
23.125,161469.3994799467
23.374999999999996,165494.33080123732
23.624999999999996,169317.96775985011
23.874999999999996,172942.10524702436
24.124999999999996,176369.00867858494
24.374999999999996,179601.20717692573
24.624999999999996,182641.30312146596
24.874999999999996,185491.80045208725
25.124999999999996,188154.95288072756
25.375,190632.6335894375
25.625,192926.2266821323
25.875,195036.54117019297
26.125,196963.74744673612
26.375,198707.33632973934
26.625,200266.10028337422
26.874999999999996,201638.13681765567
27.124999999999996,202820.87279875722
27.374999999999996,203811.11001334857
27.624999999999996,204605.09012634406
27.874999999999996,205198.57866203148
