mass_MeV,toy_id,r,Ahat_total,sigma_A_total,kernel_ls_sigma,max_score
15.0,0,0.1556816209717029,66.12375408512054,424.76691086087914,8.0,7.811956637127082e-11
15.0,1,1.1169110802812299,478.87671357634883,428.9621033188792,8.0,3.93320098712735e-11
15.0,2,-0.12672171423191547,-53.53704654095469,422.4528733819099,8.0,3.159972283839352e-13
15.0,3,0.6724678086797907,287.16784781451315,427.1651043554649,8.0,1.1463545668277675e-09
15.0,4,0.3290210632153878,145.12126079072476,441.1297775851983,8.0,1.7376725058859677e-14
15.0,5,0.3512196911519042,153.03854234598165,435.80006492803415,8.0,5.458253848900085e-10
15.0,6,0.5196636918293139,225.5918105943828,434.21044667524546,7.769631328228788,2.1376234116132764e-09
15.0,7,-0.4833727839231562,-211.14060224594564,436.71878615798806,8.0,1.351815326344763e-10
15.0,8,-0.029593457105059198,-12.994305767073714,439.0884966562499,8.0,3.02396996332277e-14
15.0,9,0.1121352248052945,49.18186514354546,438.6146477191361,8.0,2.4765151575290023e-08
17.0,0,0.41067235348374975,665.5362108221981,1620.6529363098916,8.0,8.07256381185617e-09
17.0,1,-0.9815973740585672,-1577.45880054299,1606.9080045696414,8.0,7.298328608129623e-13
17.0,2,-0.04430417010760257,-73.98900370465671,1670.018176533139,8.0,5.773159728050814e-15
17.0,3,-1.7895175162801094,-2909.0295196170337,1625.3730307252008,8.0,7.081291109045651e-11
17.0,4,-0.5633966600136329,-896.8756518465053,1591.83531888208,8.0,8.168248522011368e-08
17.0,5,-0.15875391867751218,-255.88632844148358,1611.8225440248707,8.0,1.2990381964561593e-07
17.0,6,-0.5753014628923042,-918.3044296259186,1596.1403576625878,8.0,3.2585045772748344e-14
17.0,7,0.7708987689389076,1259.884098804862,1634.4019690171092,8.0,5.631051180898794e-13
17.0,8,-0.43430627308492903,-695.3047583350904,1600.8993252151254,8.0,7.93061916137816e-09
17.0,9,-0.35219606928568586,-564.5097497629248,1602.7835405676014,8.0,2.3162027851242328e-14
17.25,0,-0.6133473043725113,-1080.4208431869133,1761.4373332351643,8.0,6.572520305780927e-14
17.25,1,0.1679047054818157,302.5699618288816,1802.0547411893383,8.0,5.586533288921836e-10
17.25,2,-0.8817881549073906,-1547.9554583340578,1755.3597765830716,8.0,9.451555982309401e-09
17.25,3,-0.15102087514677956,-265.4141671136852,1757.4473168211912,8.0,3.06266419169976e-09
17.25,4,3.430215404816446,7030.666027024089,2049.9866185203828,6.998713638023016,3.335354215039388e-11
17.25,5,-0.5962663260152404,-1063.48442378898,1783.4971049110097,8.0,1.39866201953609e-09
17.25,6,-0.6996856790512527,-1245.9623930689156,1780.6574081465274,8.0,3.453903829608862e-13
17.25,7,0.5821562851727571,1032.857657060903,1774.2663448020448,8.0,1.071365218763276e-14
17.25,8,0.068210803844706,121.80481592464423,1785.7202486983472,8.0,5.262407537509617e-08
17.25,9,-2.3491758832789493,-4160.532537576419,1770.7633507644232,8.0,2.4442226020937596e-11
20.0,0,-0.2676250697535238,-993.2345994197858,3711.273465052616,8.0,1.1069401240071386e-07
20.0,1,0.5448792510985114,2004.5145553559375,3678.8603579028936,8.0,3.0242475190789264e-13
20.0,2,0.6763949300529352,2519.629095975437,3725.1301725530484,8.0,8.348877145181177e-14
20.0,3,1.589564586365592,5807.341445829162,3653.5265188257295,8.0,1.0572943687225944e-08
20.0,4,-0.07309554593937669,-270.03202531392964,3694.228777220008,8.0,1.2256862191861728e-13
20.0,5,0.6340792225631111,2321.119831255992,3660.6584934490097,8.0,6.336513158622381e-08
20.0,6,-0.7171766436665327,-2665.226794359131,3716.229256106317,8.0,2.30954592256305e-08
20.0,7,1.7027767208138147,6269.988355739549,3682.330569312209,8.0,9.850453785986701e-14
20.0,8,0.16230295855918492,602.4071037608917,3711.6318863908846,8.0,5.972999872483342e-14
20.0,9,0.4506318347661407,1676.4295368840458,3720.2053761251886,8.0,9.14823772291129e-14
