mass_MeV,truth
12.124999999999998,3.489264159101707
12.374999999999998,8.758656466905288
12.625,20.477038456673508
12.875,44.70705848939468
13.125,91.46363575719315
13.375,176.02522004555874
13.624999999999998,320.00564573664997
13.874999999999998,551.8728665132006
14.124999999999998,906.6688044874695
14.374999999999998,1424.8365954169606
14.625,2150.24939229767
14.875,3127.6976446781114
15.125,4400.182665428375
15.374999999999998,6006.367101341746
15.625,7978.461990510462
15.875,10340.718175603133
16.125,13108.572614802195
16.374999999999996,16288.404363859469
16.624999999999996,19877.79387611955
16.874999999999996,23866.15359156738
17.124999999999996,28235.60008858954
17.374999999999996,32961.95804266778
17.625,38015.81349254121
17.875,43363.56131148233
18.125,48968.41430566344
18.375,54791.35755975868
18.625,60792.04131074034
18.875,66929.61016704272
19.125,73163.46732438086
19.375,79453.97103723114
19.625,85763.05923573383
19.874999999999996,92054.79595370438
20.124999999999996,98295.83334359717
20.374999999999996,104455.78274511301
20.624999999999996,110507.4904628994
20.874999999999996,116427.2155718795
21.124999999999996,122194.71072007269
21.375,127793.20944199638
21.625,133209.32670067583
21.875,138432.88191488016
22.125,143456.65590350522
22.375,148276.09436359245
22.625,152888.97093879472
22.875,157295.02368141216
23.125,161495.57707774514
23.374999999999996,165493.16162879148
23.624999999999996,169291.14121653445
23.874999999999996,172893.3571849988
24.124999999999996,176303.79588558935
24.374999999999996,179526.28610676606
24.624999999999996,182564.22979753543
24.874999999999996,185420.36956727295
25.124999999999996,188096.59444061804
25.375,190593.7851699475
25.625,192911.69888755225
25.875,195048.89333105623
26.125,197002.689512245
26.375,198769.17240675728
26.625,200343.2278709587
26.874999999999996,201718.61500195143
27.124999999999996,202888.07203622427
27.374999999999996,203843.4542126607
27.624999999999996,204575.9014972279
27.874999999999996,205076.0337068239
