method,mass_MeV,sigma_MeV,r,p0,Ahat_window,sigma_A_window,Ahat_total,sigma_A_total,signal_fraction_in_fit,fit_low_MeV,fit_high_MeV,support_low_MeV,support_high_MeV,nfit,nleft,nright,left_events,right_events,count_min_fit,nll_fit,nll_null,max_score,min_lambda,kernel_constant,kernel_ls_logmass,kernel_ls_sigma,kernel_upper_factor,kernel_at_boundary,log_marginal_likelihood,covariance_load_relative,warning_count
gp_ceiling16,15.0,0.7060579547703,0.7178413073211616,0.23642757023851657,292.38207825907193,407.4376692435944,302.5573033605612,421.6169582891639,0.9663692629843302,13.499999999999998,16.499999999999996,11.999999999999998,27.999999999999996,12,6,46,331.0,6077417.0,305.0,2.1044116239508575,2.3620596951991346,1.64923630308067e-13,315.86160724111215,98.53068929915672,0.394996466005435,8.58757158892225,16.0,False,161.4946740083259,1e-09,0
gp_ceiling16,15.25,0.7193627257367249,0.5164597628618319,0.3027666674154985,267.990629701178,518.9838311254306,278.3025928046747,538.9537163555382,0.9629469384400092,13.749999999999998,16.749999999999996,11.999999999999998,27.999999999999996,12,7,45,636.0,6057302.0,548.0,2.2365639067659875,2.3699292500936373,9.624523400475482e-13,545.6081755055292,94.0453985251411,0.39287249371663197,8.523556634361167,16.0,False,159.39915812094688,1e-09,0
gp_ceiling16,15.5,0.7326674967031499,-0.11894916147239147,0.5,-90.15433185863526,757.9081529674016,-91.70560741768234,770.9493942418023,0.983084179880281,13.749999999999998,17.249999999999996,11.999999999999998,27.999999999999996,14,7,43,636.0,6004781.0,548.0,2.7119877960278105,2.719062247535303,3.524958103184872e-14,545.6050929141805,92.23684841156629,0.3861315044728371,8.360412514557286,16.0,False,151.82225221439094,1e-09,0
gp_ceiling16,15.75,0.7459722676695749,-0.5965120736738033,0.5,-528.0216977186338,885.1135324018861,-538.2372163858557,902.2376275895052,0.9810204156155964,13.999999999999998,17.499999999999996,11.999999999999998,27.999999999999996,14,8,42,1184.0,5971436.0,921.0,2.492589613250714,2.6705029402700244,1.7448902378536246e-07,899.6820920656309,99.66031616868916,0.3929605140946123,8.491691717255648,16.0,False,149.73501086709211,1e-09,0
gp_ceiling16,16.0,0.7592770386359999,-0.5627940108295696,0.5,-545.1657073467034,968.610305662714,-556.9601335503477,989.5657740941921,0.9788235719342053,14.249999999999998,17.75,11.999999999999998,27.999999999999996,14,9,41,2105.0,5932797.0,1445.0,4.419282818989269,4.577651368302086,1.1524114995609125e-13,1421.9371077485846,142.25049114340496,0.4237879953410218,9.140604368004237,16.0,False,149.71443202974,1e-08,0
gp_ceiling16,16.25,0.772581809602425,-0.6215575864557866,0.5,-687.037155303678,1105.2756192243683,-703.574363210916,1131.8799630634367,0.9764954370540638,14.499999999999998,18.0,11.999999999999998,27.999999999999996,14,10,40,3550.0,5889455.0,2180.0,4.556014735039609,4.74918165167998,3.7136960173711486e-14,2151.071213406825,122.42410588450318,0.4055811792740244,8.73196028400287,16.0,False,148.1551021043786,1e-08,1
gp_ceiling16,16.5,0.78588658056885,-0.08291937157481113,0.5,-99.37528570588599,1198.4463246191822,-102.02400063089648,1230.389303643541,0.9740383154097922,14.75,18.25,11.999999999999998,27.999999999999996,14,11,39,5730.0,5839953.0,3107.0,6.447592559611837,6.451030370703018,5.44286837822483e-14,3140.354146206631,149.7223491635499,0.41653239314575013,8.951913707837837,16.0,False,148.1960114664771,1e-08,0
gp_ceiling16,16.75,0.799191351535275,0.6230389218245177,0.26662947250126035,810.2594873364172,1300.5793970369625,834.0679826769878,1338.7953500721906,0.9714549702961193,15.0,18.5,11.999999999999998,27.999999999999996,14,12,38,8837.0,5785234.0,4456.0,6.212408721513674,6.406497470567802,9.376570700436737e-14,4422.85550912531,155.37667640030475,0.4231267970022187,9.07810134041335,16.0,False,146.65847610611118,1e-08,0
gp_ceiling16,17.0,0.8124961225016999,0.9411030987925207,0.1733260138482301,1378.604372640807,1465.006754027284,1423.0775857670617,1512.2672726331057,0.9687485674912918,15.249999999999998,18.75,11.999999999999998,27.999999999999996,14,13,37,13293.0,5724154.0,5946.0,6.499833397451466,6.942670918729909,1.6067702723887578e-13,6047.567960296606,145.8388367223721,0.4114330598684609,8.812602519685568,16.0,False,145.84911474970576,1e-08,0
gp_ceiling16,17.25,0.8258008934681249,1.5773641386652293,0.05735588102263096,2455.255187630069,1556.7744543822698,2541.875648298175,1611.6968596272795,0.9659226206733994,15.499999999999998,19.0,11.999999999999998,27.999999999999996,14,14,36,19239.0,5657496.0,8044.0,5.7347851392296825,6.978823952203233,2.473576898864849e-13,8037.287384918203,171.2949320425112,0.4284518859359935,9.162407497717547,16.0,False,144.59878599096567,1e-08,2
gp_ceiling16,17.5,0.8391056644345499,1.455363667563185,0.07278430461287877,2613.862055675259,1796.1536683011527,2659.47023673925,1827.4939991899869,0.9828506518200741,15.499999999999998,19.5,11.999999999999998,27.999999999999996,16,14,34,19239.0,5505309.0,8044.0,7.702166084304125,8.761207786735607,1.276748897716118e-07,8031.518247247798,197.16019669991937,0.453920461929218,9.691944093316367,16.0,False,137.06307284580367,1e-08,0
gp_ceiling16,17.75,0.8524104354009749,0.8885276197620466,0.18712850283285498,1735.463666053136,1953.2736006468142,1769.0066359944858,1991.0263919931945,0.9810385279179618,15.75,19.749999999999996,11.999999999999998,27.999999999999996,16,15,33,27283.0,5419476.0,10473.0,8.899524272824742,9.294264938364746,9.9253938401489e-14,10428.18922032449,212.77167680142787,0.467191731232262,9.960244324440863,16.0,False,136.08925311159015,1e-08,0
