source,degree,family,converged,support030_native_pearson,support030_native_deviance,support030_rebin5_pearson,support030_rebin5_deviance,support040_native_pearson,support040_native_deviance,support040_rebin5_pearson,support040_rebin5_deviance,blocked_cv_deviance_per_bin,max_abs_fake_gap_projection_sigma,source_gof_gate_pass,blocked_cv_gate_pass,fake_gap_projection_gate_pass,qualified
one_pct,8,fSigmoidExpCheb8,True,1.325974281182623,1.2890712869980652,2.6605003452176614,2.5580070397489254,1.2036806372399083,1.2050736082741484,2.1471317665353338,2.1542361647929473,56.59173933666131,5.098252189011478,False,False,False,False
one_pct,12,fSigmoidExpCheb12,True,1.0073115262364905,1.0076112023313901,1.125120784274602,1.1247985359078565,0.9993956128400681,0.9991922466960599,1.106931125787307,1.1079071280491457,6.5961208714368365,6.413854038528539,True,False,False,False
one_pct,16,fSigmoidExpCheb16,True,0.9627957354896187,0.9629523532873429,0.8948002899147016,0.8955468442203433,0.9573178090734008,0.9568517326116517,0.8898364733932211,0.8904629593075224,75.80131998528225,5.165449115235252,True,False,False,False
one_pct,17,fSigmoidExpCheb17,True,0.9591264640917314,0.9583602341538753,0.8721926388246589,0.8725578782047234,0.9532823705311332,0.9527695046710332,0.869657361347022,0.8699986747980694,89.4449060556988,3.4638406305274883,True,False,False,False
one_pct,18,fSigmoidExpCheb18,True,0.9557260940012421,0.9541186587921525,0.8494985901467875,0.8499182845348036,0.9482456908865194,0.947702483745996,0.8425849960183053,0.8430618313328206,18.107386059530686,2.6789506158202774,True,False,False,False
one_pct,20,fSigmoidExpCheb20,True,0.9547158461238812,0.953534074942738,0.8464969109880184,0.8471460481439909,0.9481230927767814,0.9475560787366336,0.8421768618279447,0.8426211871618362,44.80693241180106,4.416990564494583,True,False,False,False
one_pct,24,fSigmoidExpCheb24,True,0.9554760180116911,0.9539181134635027,0.8475610314170298,0.8478891046419706,0.9479492938351757,0.9474034044992725,0.8400310676130971,0.840448927387357,4.961174245363382,4.653481787315662,True,False,False,False
ten_pct,8,fSigmoidExpCheb8,True,5.152042577923305,4.7959958588041305,21.998030350266433,20.243504264193092,3.611062008519852,3.6276125662631333,14.210551405745083,14.292555317471393,391.0284242769819,16.451843366134728,False,False,False,False
ten_pct,12,fSigmoidExpCheb12,True,1.5108053240030173,1.5103678303971741,3.5198348872716645,3.519344462345648,1.5076864961985388,1.5079523684150276,3.5053483199518753,3.5067781957594235,70.77799343790946,22.002586831196513,False,False,False,False
ten_pct,16,fSigmoidExpCheb16,True,1.1522160896236415,1.1522385008914895,1.6912388055565912,1.6908875007555921,1.1472718449965358,1.1473879595620358,1.6596412439770387,1.659806233906009,682.3084046633879,14.828458585231765,False,False,False,False
ten_pct,17,fSigmoidExpCheb17,True,1.0704879302408192,1.070975232675079,1.2797035558666678,1.2805350310633388,1.059288973238193,1.0595100414185994,1.210533264944893,1.2108680720338327,902.5292597687317,10.174780509966817,False,False,False,False
ten_pct,18,fSigmoidExpCheb18,True,1.0516473121083596,1.0514088891979874,1.181980203983049,1.1802257700351073,1.0297983959392814,1.030079491401932,1.0565066944512707,1.0567888164975898,24.045197218771477,9.889036910925169,True,False,False,False
ten_pct,20,fSigmoidExpCheb20,True,1.0351240115615035,1.0351740525961959,1.0959214517524039,1.0958109980191784,1.0316595875728598,1.031854956577061,1.0667445471835237,1.0669304425145725,90.35306460683746,7.24826255929584,True,False,False,False
ten_pct,24,fSigmoidExpCheb24,True,1.022604746456346,1.02260695277237,1.0291781565781335,1.029158831540082,1.0225285519951228,1.0228073631223842,1.0185449568175515,1.018924455702245,10.278723872880166,7.338819841783863,True,False,False,False
