source,lower_edge_MeV,family,fit_ok,native_pearson_chi2ndf,native_poisson_deviance_ndf,rebin5_pearson_chi2ndf,rebin5_poisson_deviance_ndf,rebin5_max_abs_pearson_residual,minimum_normalized_free_parameter_bound_distance,aggregate_validation_pass,audit_gate_pass,root_path_at_audit,root_sha256,metadata_path_at_audit,metadata_sha256
10pct,35,fGenGammaShift,False,5723.524787271525,6136.605356267811,28879.297536985945,30964.40502731506,422.92446613164077,1.7359785e-08,False,False,/tmp/v4p8_common_family_10pct_0035.root,80cdda944f87ec963e5d9708ba2e201c15a1d6e03014a268de0bbb877650edd0,/tmp/v4p8_common_family_10pct_0035.root.metadata.json,38b6e9fc8b8550a399edb22e531c57a54f49f386cadfee6efaafe2f3b0723ceb
10pct,35,fEndpoint,False,161.6096178486444,168.21784073709551,813.9461250204889,847.5331157582549,83.27769147050532,7.410056e-09,True,False,/tmp/v4p8_common_family_10pct_0035.root,80cdda944f87ec963e5d9708ba2e201c15a1d6e03014a268de0bbb877650edd0,/tmp/v4p8_common_family_10pct_0035.root.metadata.json,38b6e9fc8b8550a399edb22e531c57a54f49f386cadfee6efaafe2f3b0723ceb
10pct,35,fLogPolyThresh,False,65871.46712998282,67121.8976883656,332479.4575538859,338792.6263966109,1297.2073534584813,0.0,False,False,/tmp/v4p8_common_family_10pct_0035.root,80cdda944f87ec963e5d9708ba2e201c15a1d6e03014a268de0bbb877650edd0,/tmp/v4p8_common_family_10pct_0035.root.metadata.json,38b6e9fc8b8550a399edb22e531c57a54f49f386cadfee6efaafe2f3b0723ceb
10pct,35,fBern5,False,366215.8629835669,9327.834023036552,1821928.9516127848,46710.38258861934,12575.098792977586,4.06064069999999e-13,False,False,/tmp/v4p8_common_family_10pct_0035.root,80cdda944f87ec963e5d9708ba2e201c15a1d6e03014a268de0bbb877650edd0,/tmp/v4p8_common_family_10pct_0035.root.metadata.json,38b6e9fc8b8550a399edb22e531c57a54f49f386cadfee6efaafe2f3b0723ceb
10pct,40,fSigPow,False,839.5321892688186,811.4963857923599,4232.662344285094,4091.8728919486684,166.82629958727208,0.0,True,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,40,fShiftSigPow,False,218.6001261848725,207.96883922538942,1101.011713790513,1047.7081907276756,60.22053583213838,0.0,True,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,40,fShiftSigPowTail,False,12.08085906863309,12.202938095383695,57.179569002880555,57.7568303829165,17.22800768376381,3.2535948e-08,True,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,40,fGenGammaThresh,False,3.9934516636900756,3.982113197535973,15.954262230148284,15.903131494333223,20.92294317073189,1.1456793e-07,True,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,40,fGenGammaShift,False,77.76342378233267,66.68760441288862,380.6968676235695,329.54172257527955,187.50452251905267,2.4344462e-05,True,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,40,fEndpoint,False,126.85326379597441,130.8254068783255,637.9874536746154,658.175164654881,108.84564977279365,7.5531874e-09,True,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,40,fLogPolyThresh,False,853936.0102314799,147211.77342385912,4309101.132200407,743151.3027291256,7827.750773850105,1.5598632999999e-14,False,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,40,fBern5,False,130592.00530536582,8966.941566660298,651865.9440627956,44893.89329408421,5877.792423849622,3.58713059999999e-13,True,False,/tmp/v4p8_common_family_10pct_0040.root,29bbeef653fd58505f300a47582186c10c814615262ed0f1ac4f240be58f08e3,/tmp/v4p8_common_family_10pct_0040.root.metadata.json,12ed3c5c2e62c55ce93285f1ab91941c79e5079a8bd5849113b9464d3a295902
10pct,50,fSigPow,False,35.708392094555684,35.53594427806587,175.83010332576202,175.056789232552,57.872289728139386,1.8692796e-09,True,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
10pct,50,fShiftSigPow,False,155.98718236343794,147.16777591637975,784.7016835770885,740.5332217236997,39.99206147063612,0.0,True,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
10pct,50,fShiftSigPowTail,False,4.197683778066244,4.215815891263172,17.151204952737857,17.221767921881902,8.819117088218162,1.1163111e-08,True,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
10pct,50,fGenGammaThresh,False,3.3238897418213154,3.3253973067955847,12.663982953627837,12.664574869213487,7.450000374173986,1.2235596e-07,True,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
10pct,50,fGenGammaShift,False,7.516273421175302,7.520635820378104,33.64034072844101,33.642676365092804,35.01145780822558,8.2655367e-08,True,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
10pct,50,fEndpoint,False,92.96764186905038,88.51445619947977,466.8663256336843,444.62774144141144,33.598624205536225,1.6842458e-08,True,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
10pct,50,fLogPolyThresh,False,1049785929.8447075,892794.8802072007,5300090265.933983,4509050.081691212,267111.5489183394,8.167244699999999e-12,False,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
10pct,50,fBern5,False,14141992538.863722,18570.597918773266,589164831.6963551,92642.7790994228,474737.4665415552,4.34485779999999e-13,True,False,/tmp/v4p8_common_family_10pct_0050.root,1e62f3421ae943e47a271e88522820ddc3c83834eb6dfde47c38d7a355495d4c,/tmp/v4p8_common_family_10pct_0050.root.metadata.json,9e7b6e112469d197c1d5226efec53a6a4c4559d88ac55c572581e9bb69aa8214
