dataset,mass_GeV,const_opt,ls_opt,lml,interpolated,gp_support_low_MeV,gp_support_high_MeV,source_state,source_ledger_path,source_ledger_sha256,combination_authorization_sha256,dataset_support_decision_sha256
2015,0.0299999999999999,55.669535581264306,0.3628488513309133,1066.7068459743082,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.031,53.65388371836952,0.3587365403918236,1063.9683133363508,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.032,53.600317580777975,0.3590113268961968,1064.3351452141974,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.033,52.4094309018401,0.3570034455670367,1056.2302993466806,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.034,54.03492341972004,0.3608408913183678,1056.5206332799353,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.035,56.12166313678857,0.3673791350160184,1049.134752700733,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.0359999999999999,53.65512935341233,0.358952611661344,1050.5993077889927,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.0369999999999999,53.21238473241704,0.3585438789488137,1041.1566392798447,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.0379999999999999,50.346387875625496,0.352562264751592,1041.044473201977,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
2015,0.039,50.77400049308937,0.3539351415440558,1033.8492585582037,False,14,135,v4p9p7_archived_reproduced_max_lml,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p9p7_2016_support_combined_100toy_20260902/inputs/archived_2015_source_ledger.csv,a962c01aa030429c04e2cc102253b6b8750eacc3c9e294a7a99f851a9870aea9,832c1c02df8ecee4b6daa19676fe14ed4117874107f0fb5397b61df1ec7f7471,5a52abb41896b161bd6dd8f66859737b6d98ea7d40d2eb8d8c677c3161ed6055
