scope_key,mass_MeV,scope_label,dataset_set,n_toys,toy_id_min,toy_id_max,eps2_observed,n_strong,n_weak,p0_local_asymptotic,Z_local_asymptotic,pvalue_method,p_strong,p_weak,p_two,empirical_p_resolution,diagnostic_definition
all_2015_2016_2021,63,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.157580846576684e-06,59,41,0.43270470160021951,0.16949233210501,fixed-mass local asymptotic one-sided profile LRT,0.58999999999999997,0.40999999999999998,0.81999999999999995,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,64,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,5.1090311085636093e-06,98,2,0.049116795886439503,1.6534781383479948,fixed-mass local asymptotic one-sided profile LRT,0.97999999999999998,0.02,0.040000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,65,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,6.4715173667918211e-06,100,0,0.0052224867521402998,2.5607391913708302,fixed-mass local asymptotic one-sided profile LRT,1,0,0,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,66,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,6.6356509848003622e-06,99,1,0.002844895053562,2.7651426896912068,fixed-mass local asymptotic one-sided profile LRT,0.98999999999999999,0.01,0.02,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,67,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,5.3866932153029558e-06,98,2,0.019797203873920002,2.0579554746369206,fixed-mass local asymptotic one-sided profile LRT,0.97999999999999998,0.02,0.040000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,68,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,3.7484556326456616e-06,86,14,0.15468434141639389,1.016547620296784,fixed-mass local asymptotic one-sided profile LRT,0.85999999999999999,0.14000000000000001,0.28000000000000003,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,69,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,2.0508788261056015e-06,28,72,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.28000000000000003,0.71999999999999997,0.56000000000000005,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,70,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,1.3440019481071201e-06,3,97,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.029999999999999999,0.96999999999999997,0.059999999999999998,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,71,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,9.5875451440762274e-07,0,100,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0,1,0,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,72,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,8.0042910099618919e-07,0,100,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0,1,0,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
all_2015_2016_2021,73,2015 full + 2016 full + 2021 10%,2015+2016+2021,100,0,99,8.9322458054873652e-07,0,100,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0,1,0,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))"
