dataset,latent_clip_fallback,latent_draw_attempts,latent_minimum_before_fallback,mass_GeV,mass_MeV,observation_max,observation_min,observation_sha256,observation_sum,seed_descriptor,toy_id
2015,False,1,28624.421118098766,0.019,19,116754,28399,e84d7d9979704d48e69636bd64a75e36f923f62c6f7490cd50d34279f4345eb2,1139743,"[491204,19,30,0]",30
2015,False,1,28569.281280758907,0.019,19,116091,28815,4c8929ca0720c022e7b104e396e1aec99da1de5721b376c94df495edd3ea848a,1141019,"[491204,19,31,0]",31
2015,False,1,28724.678066187866,0.019,19,116397,28487,fdc454ac4cba672140ecf5ca87f528bbbf7030cc5a20bf724a90eed5447bbaa8,1145231,"[491204,19,32,0]",32
2015,False,1,28389.996036778208,0.019,19,116909,28431,b345a512c8e975048abfbdf9082c7c1df2a01bc13227c435909c92f4cdb5c722,1137400,"[491204,19,33,0]",33
2015,False,1,28726.086224607257,0.019,19,116664,29011,1f2941ef31f3f15ed68a788ab7f99793a4ddf6a90f61c9c9773596438f8d9349,1145427,"[491204,19,34,0]",34
2015,False,1,28702.360337358405,0.019,19,116311,28699,c525b8ccdf40e8fed0b8de9d2688138dd02c99d8af5e396b3ffe23b1cb35ef56,1139532,"[491204,19,35,0]",35
2015,False,1,28671.49197629468,0.019,19,116978,28674,a13ea0f7419048582aedaefe6d5375530efa71bd17401729f7150d999515c8bc,1144339,"[491204,19,36,0]",36
2015,False,1,28490.050917801163,0.019,19,116708,28404,6d4922fd66c9f41faac82a58e7431abe91dafb6397d4331e3e0c696a0809749d,1133862,"[491204,19,37,0]",37
2015,False,1,28540.003234011656,0.019,19,115710,28571,355d76573a971c776ea7325f77a1221d58b1349d2df736fc674017d11bb6cd41,1134668,"[491204,19,38,0]",38
2015,False,1,28642.338858331663,0.019,19,116715,28620,5682327aabf1b84e60c3a079c07617185a47142ac5380f9348a90faac2ba755f,1142495,"[491204,19,39,0]",39
2015,False,1,28713.638408746512,0.019,19,116612,28891,6a16b7273747fd92a9d4852ac19b7fd4b509d357fa3cc746e75053578cbc0e96,1142955,"[491204,19,40,0]",40
2015,False,1,28749.740057988285,0.019,19,116280,28680,b2546756ab1752b30a9731439a916c96eeab78b446c0d298979682bb74b350e7,1143167,"[491204,19,41,0]",41
2015,False,1,28499.011185605093,0.019,19,116630,28506,5287ad9bad79356e150d3767886ba8a0927e45c66b477e31932e8444a5dd5c61,1137739,"[491204,19,42,0]",42
2015,False,1,28580.28663719121,0.019,19,116514,28731,7640759ff75418dfbf2e52d951cff187bbc48ff6de642a0a7d4c753e5d3db11b,1138156,"[491204,19,43,0]",43
2015,False,1,28789.80611526036,0.019,19,115835,28906,2eeddd10e4fbe210a375711c0b98ecd3f618297cc5a1a7990656fe29a6d6eda0,1141139,"[491204,19,44,0]",44
2015,False,1,28557.14462135851,0.019,19,116379,28564,5e6ec7feae8c26c994f55d43c2a1c337d21b1b4281a51215f2673ab425e44f02,1138864,"[491204,19,45,0]",45
2015,False,1,28738.796287902278,0.019,19,116938,28809,406919864f461d2bed04edfb4c80c14c58871061bb2727d6cd2fe8a59262d0a6,1145737,"[491204,19,46,0]",46
2015,False,1,28582.69837477438,0.019,19,116640,28702,6b3efb04def5261ba59e57e780db9142732c00a7db1d7b4e620aab85ba1a63f4,1143809,"[491204,19,47,0]",47
2015,False,1,28824.008404494998,0.019,19,116877,28602,1c170dc3be5c378b721c1d307f7ffb5a1b42a2f6bbf26536a6ff7d042f938a27,1148070,"[491204,19,48,0]",48
2015,False,1,28758.832983574055,0.019,19,117032,28763,e3a533098ef0ce0d0f4831e2f431ddd40a5274edd99406642561ad551a255113,1146855,"[491204,19,49,0]",49
2015,False,1,43890.61477649324,0.02,20,143236,43692,8698b63458a40ec4dcefb04ad10e8f4d0639f527f5d23f2ca92650fca831f4b4,1703590,"[491204,20,0,0]",0
2015,False,1,43861.597244265155,0.02,20,143138,43699,9d2750d094fb5aa349851bf5e1d7369b6010b435ad542a8b9f1418453c183a2e,1705426,"[491204,20,1,0]",1
2015,False,1,43763.82304081996,0.02,20,143433,43914,cabaa85a421c5a9c1e19d6e8dd428f5886c66756b41c260e135669c4a1c30a5d,1704135,"[491204,20,2,0]",2
2015,False,1,43838.932766117505,0.02,20,143380,43910,2ef9d01c2856242c8e3676eb5c8094b61fb581081533ce36d0037c5511bd1eab,1699875,"[491204,20,3,0]",3
2015,False,1,44205.57491602972,0.02,20,143999,44539,9842985e15c1db6b6fd1c2776edefeb37f1c881da46e9adfaa48c9c21eeddb93,1714747,"[491204,20,4,0]",4
2015,False,1,43994.58822210246,0.02,20,143456,44233,526667bf27413822c4a6fa4c464217198a830c501d8f214af61e2243c0fa316f,1706465,"[491204,20,5,0]",5
2015,False,1,44154.19970669806,0.02,20,143265,44069,64c14c93acb247e4b798906c03aed73b51b8607b4f0f50529293ae80cd9d22da,1708006,"[491204,20,6,0]",6
2015,False,1,44022.92541558222,0.02,20,144241,44074,c1ccf5ee2b2cad4196a081d65a8e08b314c21a54321679d9183d21b820d4e270,1711962,"[491204,20,7,0]",7
2015,False,1,43922.0217782092,0.02,20,142935,44032,e9fb1d037b5f62c57d58c9d7975d6f5c8ba3955838b156f455d8f54be87e2ab2,1698874,"[491204,20,8,0]",8
2015,False,1,43867.26413779399,0.02,20,144296,44029,ca0a50abca19f927fadee956ac995d48f0585a1bdfb072e071fe4e030999ee33,1707398,"[491204,20,9,0]",9
2015,False,1,43869.926057896235,0.02,20,143295,43827,aecf435918abd2b0b535e2b97a27a7a76693ad32d39d926a2b73f219cff7f669,1701106,"[491204,20,10,0]",10
2015,False,1,43700.38199020975,0.02,20,143199,43955,d93256ef1dccaac0f9a627e4fea19f56a48db1cd7e059647266fdbf906520460,1697781,"[491204,20,11,0]",11
2015,False,1,43576.33160912269,0.02,20,143912,43574,8b3756fd321199caea62646c341198ddbe2599923dcc07e1df5f68e32de8a537,1696333,"[491204,20,12,0]",12
2015,False,1,43867.351548793435,0.02,20,143944,43935,0fbffaf33cc55a0397b4d9a17521e35e3b908be2d08f45a8569c45abfbc9a70e,1704212,"[491204,20,13,0]",13
2015,False,1,44044.98775906112,0.02,20,143706,43839,f1b518e86d9ca94677be4d6741f6078f36380669d600ebbb63fb3fac0f08c734,1710006,"[491204,20,14,0]",14
2015,False,1,43800.08897772815,0.02,20,142485,43687,f22fca57f92f2923ae0f008406a99d077f03cf1760b7c0b427e7606930f47c5d,1694731,"[491204,20,15,0]",15
2015,False,1,44012.04510895185,0.02,20,143637,44069,9383b4949cf0a0f402925b27e05e1498e806812f0831a93434f1bdab0e4803ac,1703870,"[491204,20,16,0]",16
2015,False,1,43970.177690757926,0.02,20,143907,43972,c3f9a453209f844c890089d6f8e421ede1606f12363fa56eddf28b4fb4e350c8,1711202,"[491204,20,17,0]",17
2015,False,1,43951.50792810319,0.02,20,143015,44049,caa877454c09e30cd5004afdb4bcbabf9fdea8f3161a355538d2450478041b39,1704148,"[491204,20,18,0]",18
2015,False,1,43933.44814560967,0.02,20,143338,43905,1cea88cccb6c5c68b433eca76e5626067b09920d26ec2f5c32b1645ced873ba5,1707065,"[491204,20,19,0]",19
2015,False,1,44149.09305992828,0.02,20,143046,44122,cf704fa12164605ec0bd41ce0220e33829a88b1086577723559c000873c13a69,1710478,"[491204,20,20,0]",20
2015,False,1,43977.694251300265,0.02,20,143043,43962,88df50d3c263f334ad45562d7dae24e99607d5e2844612582f4ae05e844440f2,1703217,"[491204,20,21,0]",21
2015,False,1,44075.744965483216,0.02,20,143278,44032,f19dfb6a206a00b83b667fd3c3b3626592d1158f4b8b808df5384670c5d1be40,1710083,"[491204,20,22,0]",22
2015,False,1,43654.0115742803,0.02,20,142735,43648,455c956094258c860c3d60ec9afcbdf0c62656ac57e7afd2db2ef1a5ffa8d1d1,1699145,"[491204,20,23,0]",23
2015,False,1,44036.09372768624,0.02,20,144287,44032,63dcddc7e39d78b5922c847646edd874ff89c2e3e35183ceb600391b0a54bac1,1716452,"[491204,20,24,0]",24
2015,False,1,43994.4249808091,0.02,20,142756,43761,1e67aa51b1d9e839b4f13d1ee3516710f607a1bb74b0d84b405bfb724be39f6a,1701251,"[491204,20,25,0]",25
2015,False,1,43816.79260232255,0.02,20,143357,43991,d64508f2ec5f383521943a39556e771112e6cdc829048ba787136f83efb786cf,1703711,"[491204,20,26,0]",26
2015,False,1,43939.60870492384,0.02,20,143352,43976,04c324a1a00ad7964c55adbce48f949f438cbc62af54bfde2f41dab3e18acf64,1709608,"[491204,20,27,0]",27
2015,False,1,43848.81996929504,0.02,20,142690,44045,24409b8a3c8ad5db2eac7ec6ae82678bc7fe17a4c5f04ce34b13653d06aa5794,1703709,"[491204,20,28,0]",28
2015,False,1,43948.80346377441,0.02,20,143386,43872,747c7c2330a2dffb75d96ca130f8f6cd78a3c22541ec3950ca33154ce3d7ba67,1706421,"[491204,20,29,0]",29
2015,False,1,44013.098100450086,0.02,20,143219,43954,5f7ab47f5883fc683e3493330129c5256b015b6ea52c5d2ab2b2fef66b1cd2bb,1710268,"[491204,20,30,0]",30
2015,False,1,44033.57451859104,0.02,20,143632,43808,fd966932152c2d2c8d8424e0ea76a907dce2e31bd8d56889ecd19eac02cbaf39,1711003,"[491204,20,31,0]",31
2015,False,1,43982.20042206601,0.02,20,142727,44118,f3f62fe683041c0ead4be4f07b141ed9ebaa416ba975e150bfe13b3f9b86e540,1705950,"[491204,20,32,0]",32
