scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy,selected_scope_key,active_scope_short_label,n_strong,n_weak,p0_local_asymptotic,Z_local_asymptotic,pvalue_method,p_strong,p_weak,p_two,empirical_p_resolution,diagnostic_definition,construction
individual_2015_full,2015 full,2015,29,0.029000000000000001,100,0,99,8.3979586448133704e-06,3.9365273202867125e-06,4.8232848342827141e-06,6.7209445178019394e-06,9.7462737087766378e-06,1.3784336991952761e-05,7.3559752754982279e-06,2.6922785405276347e-06,0.71999999999999997,linear,True,False,individual_2015_full,2015,72,28,0.2958487306022029,0.53637781433953102,fixed-mass local asymptotic one-sided profile LRT,0.71999999999999997,0.28000000000000003,0.56000000000000005,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,30,0.029999999999999999,100,0,99,1.023124658847981e-05,3.1662829715797702e-06,4.9392042151640811e-06,7.3233235794189805e-06,9.6293442344074402e-06,1.2594048093822659e-05,7.3375658346044768e-06,2.3870453579607453e-06,0.87,linear,True,False,individual_2015_full,2015,87,13,0.12913570690946449,1.1304861912307904,fixed-mass local asymptotic one-sided profile LRT,0.87,0.13,0.26000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,31,0.031,100,0,99,8.5877736955787795e-06,3.7185221445086106e-06,4.6941924540179781e-06,6.2677132916337824e-06,8.7913822442899629e-06,1.1632938955070991e-05,6.6732238959958921e-06,2.1730042241012965e-06,0.82999999999999996,linear,True,False,individual_2015_full,2015,83,17,0.24762900261473261,0.68196986644279234,fixed-mass local asymptotic one-sided profile LRT,0.82999999999999996,0.17000000000000001,0.34000000000000002,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,32,0.032000000000000001,100,0,99,6.498708636725469e-06,3.5467785194169102e-06,4.7055531042901872e-06,6.3875846786497286e-06,9.9297241931812981e-06,1.504314771481754e-05,7.1728919617005652e-06,2.9770145165709152e-06,0.52000000000000002,linear,True,False,individual_2015_full,2015,52,48,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.52000000000000002,0.47999999999999998,0.95999999999999996,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,33,0.033000000000000002,100,0,99,4.6841999571655718e-06,3.5905826113693336e-06,4.4599467894331003e-06,6.6847413775408333e-06,9.9518198194214084e-06,1.341917431799848e-05,7.1816746635958914e-06,2.7558560724719901e-06,0.19,linear,True,False,individual_2015_full,2015,19,81,0.49995130099128288,0.0001220703125,fixed-mass local asymptotic one-sided profile LRT,0.19,0.81000000000000005,0.38,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,34,0.034000000000000002,100,0,99,3.8926641988458471e-06,3.6674456388794658e-06,4.7120089723606216e-06,6.7707999007817764e-06,9.9121079173899606e-06,1.3896452702681176e-05,7.214550606320935e-06,2.7140065976640051e-06,0.050000000000000003,linear,True,False,individual_2015_full,2015,5,95,0.49995130099128288,0.0001220703125,fixed-mass local asymptotic one-sided profile LRT,0.050000000000000003,0.94999999999999996,0.10000000000000001,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,35,0.035000000000000003,100,0,99,3.5881347811780288e-06,3.511693411700695e-06,4.4264082074116016e-06,6.2290622893038037e-06,8.4994752607181359e-06,1.2799756792867444e-05,6.6716989175441215e-06,2.3691057914621753e-06,0.040000000000000001,linear,True,False,individual_2015_full,2015,4,96,0.5,0,fixed-mass local asymptotic one-sided profile LRT,0.040000000000000001,0.95999999999999996,0.080000000000000002,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,36,0.035999999999999997,100,0,99,5.2069444002342802e-06,3.5782015302283954e-06,5.0322116309352928e-06,6.7307894522039506e-06,9.3276804296159519e-06,1.2161804610638968e-05,6.9854898574215787e-06,2.2761391069726127e-06,0.22,linear,True,False,individual_2015_full,2015,22,78,0.49995130099128288,0.0001220703125,fixed-mass local asymptotic one-sided profile LRT,0.22,0.78000000000000003,0.44,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,37,0.036999999999999998,100,0,99,7.5823118482130796e-06,3.5576676356430651e-06,4.6565457522768055e-06,6.1826440133960948e-06,9.5638403794374e-06,1.487877717480795e-05,7.0527710661104932e-06,2.8265535244006048e-06,0.64000000000000001,linear,True,False,individual_2015_full,2015,64,36,0.37559549580828538,0.3170693360638267,fixed-mass local asymptotic one-sided profile LRT,0.64000000000000001,0.35999999999999999,0.71999999999999997,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,38,0.037999999999999999,100,0,99,1.2192184480002685e-05,4.1154118906250791e-06,4.8839586840436626e-06,6.8737547550157968e-06,9.8884583364010954e-06,1.3717196182768845e-05,7.4134573824022797e-06,2.6891415381423362e-06,0.95999999999999996,linear,True,False,individual_2015_full,2015,96,4,0.054272249168699403,1.6047696914350191,fixed-mass local asymptotic one-sided profile LRT,0.95999999999999996,0.040000000000000001,0.080000000000000002,0.01,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
