scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,50,0.05,50,0,49,7.742945664604561e-06,2.555529102874231e-06,3.2430246404139566e-06,4.715190167152669e-06,6.665750014864333e-06,7.950938539025414e-06,4.8735161131886685e-06,1.5828985056424318e-06,0.96,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,51,0.051,50,0,49,6.907612505263728e-06,2.136097457462964e-06,2.781882938509363e-06,4.673612827939207e-06,5.746427832452035e-06,7.631295903517394e-06,4.426884879204816e-06,1.4907206557465787e-06,0.94,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,52,0.052,50,0,49,6.028277771146405e-06,2.619436732207385e-06,3.2551343921958347e-06,4.412939915882375e-06,6.293713851034104e-06,1.0461690432129548e-05,4.85595291498231e-06,1.825575799184569e-06,0.78,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,53,0.053,50,0,49,4.820846660911696e-06,2.3485879519288833e-06,2.7663130168119174e-06,4.087447686691872e-06,5.9862688204162275e-06,8.546473868201163e-06,4.517850140138013e-06,1.7250213710883721e-06,0.64,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,54,0.054,50,0,49,4.1450885193592825e-06,2.1222601810365053e-06,2.5117761683028365e-06,3.596569086642567e-06,5.5016317639989704e-06,6.339265172715712e-06,3.923882683505681e-06,1.3919967068766968e-06,0.6,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,55,0.055,50,0,49,3.034958647452665e-06,1.616279357784305e-06,3.1390738684821966e-06,4.043722674315567e-06,5.6765921141676346e-06,7.398830714912223e-06,4.247914927266461e-06,1.4386377266496642e-06,0.14,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,56,0.056,50,0,49,3.226051522730868e-06,2.0968765273732547e-06,2.4459644559362495e-06,3.5602806256432084e-06,4.964577672939835e-06,6.122058510890485e-06,3.7105192172317864e-06,1.166087391615164e-06,0.46,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,57,0.057,50,0,49,2.7045464283974757e-06,1.945363351114979e-06,2.647094933558043e-06,3.8500669954601934e-06,5.034875037928004e-06,8.511352184248878e-06,3.99802272640066e-06,1.49977108382889e-06,0.18,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,58,0.058,50,0,49,2.351173278744785e-06,2.15629376551772e-06,2.7023285904834514e-06,3.603256992374498e-06,4.9984092807728465e-06,6.703287332570052e-06,3.799068400726939e-06,1.2296815708803337e-06,0.1,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,59,0.059,50,0,49,2.1316282311782747e-06,1.8607364561835524e-06,2.511860494015241e-06,3.7015941701546298e-06,4.711615023192976e-06,5.491078082836001e-06,3.602294732376219e-06,1.0871513110184647e-06,0.06,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,60,0.06,50,0,49,2.011726660298597e-06,1.884985121070737e-06,2.350202941487246e-06,3.4376241538659605e-06,4.6078724019498675e-06,5.487209614066914e-06,3.543639936332449e-06,1.1303419595063451e-06,0.04,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,61,0.061,50,0,49,2.06768804084532e-06,1.6175304299333294e-06,2.2660145647193587e-06,3.261460981549785e-06,4.71413099147143e-06,6.417465368597074e-06,3.5207304611800024e-06,1.345130733960806e-06,0.14,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,62,0.062,50,0,49,2.5999139101415995e-06,1.5982595760724818e-06,2.0683609143962135e-06,3.516624284278135e-06,4.9843500133205765e-06,6.740625779530384e-06,3.6483381022667813e-06,1.4010601236177086e-06,0.26,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,63,0.063,50,0,49,3.157580846576684e-06,1.42883050509193e-06,1.8661538558933398e-06,2.6527032553407335e-06,4.009193606693863e-06,5.247416265521654e-06,2.8788513058609967e-06,1.0783556679209473e-06,0.64,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,64,0.064,50,0,49,5.109031108563609e-06,1.7721055511309914e-06,1.997590192916554e-06,3.0516308883795317e-06,4.087491950254754e-06,4.504113430919886e-06,3.087380491668619e-06,9.278363535772149e-07,0.98,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,65,0.065,50,0,49,6.471517366791821e-06,1.5524961989466027e-06,2.00418932449222e-06,2.862883290969636e-06,4.110570367397427e-06,5.039196854726856e-06,2.9688975109228595e-06,1.0074709662804124e-06,1.0,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,66,0.066,50,0,49,6.635650984800362e-06,1.3978079132262484e-06,1.8200981132253667e-06,2.5417409780347126e-06,3.485032846742243e-06,4.139535485334905e-06,2.6333282459194243e-06,9.49443978812162e-07,0.98,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,67,0.067,50,0,49,5.386693215302956e-06,1.3547476465618697e-06,1.7157523174067578e-06,2.6174156946615023e-06,3.897633698871325e-06,5.366697626813145e-06,2.7583529996010482e-06,1.1204051590536376e-06,0.96,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,68,0.068,50,0,49,3.7484556326456616e-06,1.3847093747964227e-06,1.8176722350638607e-06,2.612880817885335e-06,3.6948310167540694e-06,5.783204540015898e-06,2.8719224689811074e-06,1.1621555135760162e-06,0.84,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,69,0.069,50,0,49,2.0508788261056015e-06,1.3871077966115306e-06,1.7396065608285703e-06,2.1922453383350357e-06,3.782300058264003e-06,4.571848895489592e-06,2.62026992865063e-06,9.377803158847403e-07,0.32,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,70,0.07,50,0,49,1.34400194810712e-06,1.48267449210087e-06,2.0199686089247336e-06,2.67989930202867e-06,3.6417844252029183e-06,4.530401312388786e-06,2.8486413786008616e-06,8.724240612034158e-07,0.02,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,71,0.071,50,0,49,9.587545144076227e-07,1.416092858626016e-06,1.6089341550118069e-06,2.3790195595893184e-06,3.2469808633944837e-06,4.310705561332117e-06,2.479313937859721e-06,8.117106330983635e-07,0.0,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,72,0.072,50,0,49,8.004291009961892e-07,1.4136639933813506e-06,1.5964385462815115e-06,2.5326900747643605e-06,3.2556410471156426e-06,3.912259621775652e-06,2.4566887909768915e-06,8.078621048244763e-07,0.0,linear,True,False
