mass_MeV,geometry,support_low_MeV,support_high_requested_MeV,effective_domain_low_MeV,effective_domain_high_MeV,kernel_state,kernel_const_fixed,kernel_length_scale_log_mass_fixed,A_hat_events,sigma_A_events,A_up_events_reconstructed,eps2_up_reconstructed,p0_local_asymptotic,Z_local_asymptotic,q0_local_asymptotic,gp_log_marginal_likelihood_fixed_state,gp_sum_over_actual_fit_window_counts,observed_sum_over_actual_fit_window_counts,template_fraction_in_actual_fit_window,actual_fit_window_low_MeV,actual_fit_window_high_MeV,n_train,n_train_low,n_train_high,n_full,n_blind,coarse_bin_width_MeV,integral_density_counts_per_GeV,method,claim_status
65,support40_old_rebin_phase,40,300,40,300,old_v4p2,66.347717364884332,0.31947504048628561,28038.918875053547,6609.5299304992668,36520.134616602649,1.1718403025427742e-05,1.0570204527233525e-05,4.2524927206050007,18.083694338798523,1648.8060880772948,15411680.553895224,15451926,0.98155711287734637,60.000000000000007,70,400,32,368,416,16,0.62500000000000056,1556935082.4369991,fixed archived GP hyperparameters; no optimization; profiled Poisson+Gaussian local LRT,controlled single-mass diagnostic
65,support40_old_rebin_phase,40,300,40,300,new_v4p9p5,52.088108913158905,0.27486550341709981,20965.793241625037,7357.1813276582825,30497.698974091567,9.7859531920812368e-06,0.0021604792535488411,2.8537274438047646,8.1437603235244751,1641.8876484124032,15423211.373010678,15451926,0.98155711287734637,60.000000000000007,70,400,32,368,416,16,0.62500000000000056,1556935082.4369991,fixed archived GP hyperparameters; no optimization; profiled Poisson+Gaussian local LRT,controlled single-mass diagnostic
65,support36_shifted_rebin_phase,36,300,36,299.75,old_v4p2,66.347717364884332,0.31947504048628561,30477.850496320723,6432.4044714898846,38728.035078808985,1.2426863378265536e-05,1.0686736709225108e-06,4.7399843430562312,22.467451572418213,1667.6793086975918,14505463.320755756,14542501,0.97278073272410348,60.375,69.749999999999986,407,39,368,422,15,0.62500000000000056,1556935082.4369991,fixed archived GP hyperparameters; no optimization; profiled Poisson+Gaussian local LRT,controlled single-mass diagnostic
65,support36_shifted_rebin_phase,36,300,36,299.75,new_v4p9p5,52.088108913158905,0.27486550341709981,17100.853570312258,7136.4977695838315,26243.513041841594,8.4208907183918177e-06,0.0081333210583870268,2.4028773513795936,5.7738195657730103,1676.03939277367,14526897.143260773,14542501,0.97278073272410348,60.375,69.749999999999986,407,39,368,422,15,0.62500000000000056,1556935082.4369991,fixed archived GP hyperparameters; no optimization; profiled Poisson+Gaussian local LRT,controlled single-mass diagnostic
