mass_MeV,old_gp_mean_counts_per_0p625MeV,old_gp_pointwise_std_counts_per_0p625MeV,new_gp_mean_counts_per_0p625MeV,new_gp_pointwise_std_counts_per_0p625MeV,delta_gp_mean_new_minus_old_counts_per_0p625MeV
60.226182031250005,781482.56351020955,470.86715720755694,782466.06379730487,464.68163008369692,983.50028709531762
60.227136794843751,781527.6275476577,470.94684872267919,782511.513959356,464.77377042303277,983.88641169830225
60.228091558437512,781572.68958891358,471.02661295075694,782556.96225189674,464.86592680922973,984.27266298315953
60.229046322031259,781617.74965595838,471.10624718009831,782602.40864011843,464.95808064575994,984.65898416005075
60.230001085625005,781662.80770281889,471.18602781709114,782647.85298673122,465.05025963690878,985.0452839123318
60.230955849218752,781707.86397897592,471.26574308386665,782693.2954846808,465.14243596413638,985.43150570488069
60.231910612812506,781752.91850664269,471.34550370194205,782738.73601943266,465.23460488248963,985.81751278997399
60.232865376406259,781797.97071632906,471.42521691049569,782784.17471565888,465.32679921694876,986.203999329824
60.233820140000006,781843.02156305697,471.5049294962015,782829.61139045248,465.41899546416715,986.58982739550993
60.234774903593753,781888.07015881024,471.58464092413607,782875.0461342911,465.5111891471945,986.97597548086196
60.235729667187506,781933.11684427015,471.66436982184848,782920.47896932671,465.60339401999909,987.36212505656295
60.23668443078126,781978.16166430269,471.74407937285838,782965.90987211152,465.695572799167,987.74820780882146
60.237639194375006,782023.20441343624,471.82375103715879,783011.33880786446,465.78780029332393,988.1343944282271
60.238593957968753,782068.24547800992,471.90347729116695,783056.76581007242,465.87999234386274,988.52033206250053
60.239548721562507,782113.28431110049,471.98320225593267,783102.190912302,465.97218638533309,988.90660120151006
60.240503485156253,782158.32127623342,472.06290787864606,783147.61399998714,466.06443845274254,989.29272375372238
60.241458248750007,782203.35660046071,472.14263113112941,783193.03535733465,466.15664600185528,989.67875687393826
60.242413012343754,782248.39003278071,472.22239027413332,783238.45463045593,466.24888333313942,990.06459767522756
