state,support_low_MeV,support_high_MeV,mass_MeV,sigma_mass_MeV,A_hat_events,sigma_A_events,A_up_events,eps2_up,p0_local_asymptotic,Z_local_asymptotic,integral_density_counts_per_GeV,K_events_per_eps2,gp_const,gp_length_scale_log_mass,gp_log_marginal_likelihood,n_train,source_role
old_v4p2_support40_accepted,40,300,65,2.121696875,28038.92335432742,6609.5299891294862,36520.123384880768,1.1718399421447499e-05,1.0570174746584504e-05,4.2524933513430154,1556935082.4369991,3116477094.8189502,66.347717364884332,0.31947504048628561,1648.8060874598366,400,accepted_v4p2_fit_and_curve
new_v4p9p5_support36_accepted,36,300,65,2.121696875,17100.853570312258,7136.4977695838315,26243.502137290991,8.420887219392701e-06,0.0081333210583870007,2.4028773513795936,1556935082.4369991,3116477094.8189502,52.088108913158905,0.27486550341709981,1676.03939277367,407,accepted_v4p9p5_curve
