mass_MeV,mass_GeV,old_A_up_events,old_eps2_up,old_p0_local_asymptotic,old_Z_local_asymptotic,old_gp_const,old_gp_length_scale_log_mass,old_gp_log_marginal_likelihood,old_selected_attempt,old_v4p2_attempt_selection_applied,new_A_up_events,new_eps2_up,new_p0_local_asymptotic,new_Z_local_asymptotic,new_A_hat_events,new_sigma_A_events,new_gp_const,new_gp_length_scale_log_mass,new_gp_log_marginal_likelihood,delta_Z_new_minus_old,p0_ratio_new_over_old,relative_eps2_up_change
50,0.050000000000000003,19208.791564192245,2.8859586082457972e-05,0.0039273275697757001,2.6582545094004697,55.05555269249421,0.31497484307980272,1670.3387798572587,attempt_02,True,14076.75044286111,2.1149127981810751e-05,0.058371436119375203,1.5685927097527239,7649.1927643031368,4880.8446079672476,50.447280580811253,0.28436620750462188,1685.0040425260472,-1.0896617996477458,14.862889606814475,-0.2671714721970303
51,0.0509999999999999,21130.659727627022,2.6604239957794498e-05,0.0015291521720613001,2.9618160534700362,56.298831262643311,0.31945224777621062,1665.5414376152553,attempt_02,True,9268.0284698738596,1.1668772131417258e-05,0.40763754858564422,0.23362631427278871,1205.2493158200707,5164.5146228531439,49.77046247239857,0.27729480952250912,1686.027476145659,-2.7281897391972474,266.57749047705829,-0.56139426835989936
52,0.0519999999999999,14568.708604366837,1.5618688946529338e-05,0.058110894080893101,1.570831521456489,59.83083818768629,0.31065148188846881,1661.7975658896332,attempt_03,True,7720.0997492196184,8.2764944988396761e-06,0.5,0,-3095.8155137858062,5572.9144651664201,49.007164665064067,0.27183748080359171,1679.0304808184917,-1.570831521456489,8.6042386355986267,-0.47009031762049314
53,0.052999999999999901,12112.977263604063,1.1210930720833835e-05,0.1846744679216801,0.89769357482494971,60.587598689425235,0.30727099787616552,1658.2161555790656,attempt_03,True,7270.3353788938612,6.7289176291044107e-06,0.5,0,-4481.0997571011058,5609.1330022848188,49.079693556567605,0.2731179500478787,1682.7102838321584,-0.89769357482494971,2.7074668503284847,-0.39978956282374256
54,0.053999999999999902,9111.1912499935243,7.3698730286004078e-06,0.5,0,56.571759986774275,0.30509859698027481,1651.0271004442168,attempt_01,False,7982.6076836478132,6.456982786488673e-06,0.5,0,-3390.9280095029703,5845.2405022931061,49.190779325273461,0.2713544695961479,1681.4649462631833,0,1,-0.12386783850536698
55,0.055,7448.6687717809345,5.3251008426546467e-06,0.5,0,55.178548145264415,0.30587655304934003,1655.7446320558577,attempt_01,False,8388.3278359221767,5.9968691045517622e-06,0.5,0,-3669.5939531086615,6139.9317755596567,49.88250958030217,0.27503254868938709,1676.6819355627258,0,1,0.12615127520519009
56,0.056000000000000001,6602.1052469965998,4.2138249886575735e-06,0.5,0,56.412572841330622,0.3112686463487126,1652.4199433954825,attempt_02,True,10871.052344357502,6.9385007217958604e-06,0.43470812155741051,0.1644000259900594,1020.0088659833064,6253.6663731572844,49.801587791290537,0.271588651210314,1680.6449457803087,0.1644000259900594,0.86941624311482102,0.64660391460783129
57,0.057000000000000002,6234.1106976251494,3.5844084233075387e-06,0.5,0,61.46301371673438,0.31412414620391782,1650.5693221693521,attempt_02,True,12469.590730446451,7.1696041692741517e-06,0.3536623433085857,0.37545153136663068,2606.1408912047132,6529.0718236969324,49.683660245036613,0.27102278119911738,1675.95236524857,0.37545153136663068,0.70732468661717141,1.0002196520502391
58,0.058000000000000003,6379.0582562397685,3.3303496210281702e-06,0.5,0,64.045652565107702,0.31265629000157452,1649.1922768638271,attempt_03,True,11053.043490409247,5.7705225004781229e-06,0.47327888931729578,0.067030052405554097,257.38147384098323,6582.3146673768169,50.629131565425617,0.27236885889172541,1676.9614676108729,0.067030052405554097,0.94655777863459156,0.73270772054755162
59,0.0589999999999999,6617.1496921056005,3.1613187275602102e-06,0.49990260198329117,0.000244140625,63.980705744725967,0.3111161738481556,1647.7127923998798,attempt_03,True,9930.9742901863756,4.7444861409044493e-06,0.49993112920156918,0.00017263349150060001,-2265.1596477486291,6779.2185476378736,49.994897045350093,0.2700108043700758,1676.3065797531858,-7.1507133499399989e-05,1.0000570655526992,0.50079335548872983
60,0.059999999999999901,7209.3088340743261,3.1746318852276443e-06,0.5,0,59.392845538143185,0.30470394997466432,1651.5723611500728,attempt_01,False,8977.4032837645627,3.9532154006890626e-06,0.5,0,-5649.9572376747474,6949.0075743733223,48.894710172984688,0.26799462959907427,1675.4106595039771,0,1,0.24525158935256774
61,0.060999999999999902,8796.8258927799052,3.5938623110199643e-06,0.5,0,56.96349124321501,0.30477045615404841,1646.5398833039965,attempt_03,True,8905.8845090756968,3.6384172056574858e-06,0.5,0,-7150.2655308555677,7128.6942707951912,49.689425170645045,0.27019471047848381,1669.3097081230994,0,1,0.012397496281619125
62,0.062,13492.971442521584,5.1449466013540094e-06,0.26213779210653232,0.63676859654685236,60.45445777062158,0.3129756289989854,1653.1070560969622,attempt_03,True,11148.068617002198,4.2508218435825839e-06,0.49983130168985601,0.00042286396669160003,-355.69447889390489,6921.0070975519575,52.425856923542021,0.27880764306719019,1677.7759970072248,-0.63634573258016081,1.9067502540294743,-0.17378698498758305
