method,mass_MeV,dataset_set,observed_r,asimov_r,response_sd,z_standardized,p_raw_gaussian,p_local_deficit,gp_k,gp_n,gp_p,gp_low95,gp_high95,gp_upper95,direct_k,direct_n,direct_p,direct_low95,direct_high95,direct_upper95,raw_gp_k,raw_gp_n,raw_gp_p,raw_gp_low95,raw_gp_high95,raw_gp_upper95,raw_direct_k,raw_direct_n,raw_direct_p,raw_direct_low95,raw_direct_high95,raw_direct_upper95
profiled,19,2015,-3.2106186896115254,2.434945801467021,0.9766574822652863,-5.780495817207143,0.0006622477930227589,3.724039501039429e-09,0,200000,0.0,0.0,1.8444227173720117e-05,1.4978549188181866e-05,0,1000,0.0,0.0,0.003682083896865671,0.002991249545095295,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,20,2015,0.0379656684705785,2.8420797246653087,0.9507856960373088,-2.9492598257228058,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,21,2015,2.5157388880992775,0.20417730885967306,0.9558118731006457,2.41842735405757,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,22,2015,1.425381870113801,-1.80278238565564,0.9690223146850048,3.3313621439345327,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,23,2015,-1.2388229223996416,-1.7577564146466857,0.9485359142613653,0.5470889235133948,0.10770554149678968,0.7078411791903491,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,24,2015,-1.6021946542633738,-0.1865734731215008,0.9562347257160657,-1.480411810062431,0.054556285912718626,0.0693816900760649,198011,200000,0.990055,0.9896104468103213,0.9904852617270173,0.990417199138187,987,1000,0.987,0.9778721963632215,0.9930603824971486,0.9922937672759946,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,25,2015,-0.3835725896719329,0.9777830084629738,0.970907960189615,-1.4021469119163867,0.3506476295353832,0.08043569040624132,199031,200000,0.995155,0.9948408919062063,0.9954546213613177,0.995407566926579,993,1000,0.993,0.9856308050210814,0.9971811412403795,0.9967102125993462,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,26,2015,0.2952389032830797,1.601691425236315,0.9696130020479402,-1.3473958364768719,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,27,2015,0.1418305444011273,1.1424075152769877,0.9588260932637386,-1.0435437436522053,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,28,2015,0.0980875859786121,0.15550100106152265,0.9615085940854797,-0.05971180646338185,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,29,2015,0.5157312280073695,-0.6566619317039409,0.9687514047008587,1.2102105390735762,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,30,2015,1.130478017962521,-1.1228528248997707,0.9690933589050094,2.3251948041500956,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,31,2015,0.6815264271780445,-1.1301280954129336,0.9621349598649039,1.8829525982980158,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,32,2015,-0.0202055444115131,-0.6775103491568718,0.960477124345755,0.684352378712916,0.4919397024943671,0.7531236603718101,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,33,2015,-0.9640901255957576,0.03405670844619521,0.9647945601327514,-1.0345693013698296,0.167500371424738,0.1504350483742129,199993,200000,0.999965,0.9999278879613711,0.9999859280726715,0.9999835733100565,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,34,2015,-1.470860325624459,0.4973832173817114,0.9705889866245629,-2.0278857169512823,0.07066444701643743,0.021285956606548716,157019,200000,0.785095,0.7832881884586739,0.7868935448813377,0.7866052062248865,779,1000,0.779,0.7519815367883572,0.8043646255471616,0.8004531479965067,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,35,2015,-1.7135461529836604,0.7774650009803517,0.9715491425587424,-2.56395795626303,0.04330605507180841,0.00517430396935466,70617,200000,0.353085,0.35099006446934505,0.3551841944013788,0.3548468893509311,345,1000,0.345,0.3155299232756725,0.37538600230486446,0.3705428972235811,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,36,2015,-0.6415887743974512,0.9043164775934841,0.9670995346735752,-1.5984965317067639,0.2605701117857595,0.05496625833741512,194899,200000,0.974495,0.9737946519678338,0.9751815489736404,0.9750722621115229,977,1000,0.977,0.9656876623871457,0.9853654176748232,0.9842307306846954,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,37,2015,0.3166513617554132,0.6582346787387107,0.9634239202294831,-0.3545514179281888,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,38,2015,1.604740157854616,0.05868364975532434,0.9642783094749676,1.603330172324515,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,39,2015+2016,1.6135048868724318,2.612173526435649,0.9622264983948403,-1.0378727266700396,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,40,2015+2016,1.2432391332114332,-0.6685852317629674,0.9675191697260165,1.9760067033253657,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,41,2015+2016,0.2153358545875182,-4.2996501110924585,0.9705214856382969,4.652123659797744,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,42,2015+2016,-0.435548625093287,-5.980184194283927,0.9667370305580458,5.735412417159625,0.3315821261225578,0.9999999951362325,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,43,2015+2016,-1.100240015024094,-5.801114737096173,0.9586641061702056,4.903568092114908,0.1356137800531788,0.999999529443508,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,44,2015+2016,-1.3040193072767474,-3.977306487561402,0.9568053675370916,2.7939717637307484,0.09611349975371103,0.9973967487721499,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,45,2015+2016,-0.4029607730607632,-1.9151798514564669,0.960588511511603,1.5742631316879305,0.3434885410802624,0.942286685265433,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,46,2015+2016,-0.8932968386858194,2.153685258256189,0.973326216404128,-3.130483948330117,0.18584911524677022,0.0008725926827453098,16479,200000,0.082395,0.08119349067533708,0.08360862924671342,0.08341330209330129,70,1000,0.07,0.054971524919169915,0.08761623348928461,0.0847388500018803,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,47,2015+2016,-0.1595838838578659,4.637351666798232,0.9779723481763676,-4.904980759017349,0.43660443754303063,4.67182490364748e-07,10,200000,5e-05,2.3977195520032403e-05,9.194985144442981e-05,8.480961999544005e-05,1,1000,0.001,2.531748749129404e-05,0.005558924279826672,0.004734993575499777,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,48,2015+2016,0.3964924981959722,6.154517961605337,0.97696547814819,-5.89378600595339,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,49,2015+2016,0.6996023208623032,6.5549158162135255,0.9727486888072728,-6.019348638270243,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,50,2015+2016+2021,1.4678193101410568,6.086100421468634,0.9653022580682359,-4.784284997498802,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,51,2015+2016+2021,1.221408819224686,3.9079405444433677,0.9681853392071758,-2.774811408958764,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,52,2015+2016+2021,0.8936985675655945,1.16692340337198,0.9709899604813754,-0.281387910201391,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,53,2015+2016+2021,0.4234632353962886,-1.3426648775952743,0.9712932923849846,1.8183262736787595,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
