method,mass_MeV,dataset_set,observed_r,asimov_r,response_sd,z_standardized,p_raw_gaussian,p_local_deficit,gp_k,gp_n,gp_p,gp_low95,gp_high95,gp_upper95,direct_k,direct_n,direct_p,direct_low95,direct_high95,direct_upper95,raw_gp_k,raw_gp_n,raw_gp_p,raw_gp_low95,raw_gp_high95,raw_gp_upper95,raw_direct_k,raw_direct_n,raw_direct_p,raw_direct_low95,raw_direct_high95,raw_direct_upper95
profiled,30,2015,1.130478017962521,-1.1228528248997707,0.9690933589050094,2.3251948041500956,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,66,2015+2016+2021,2.7601586408223695,8.987000526031471,0.980225984740507,-6.35245543593452,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,72,2015+2016+2021,-3.49033909388161,-7.160215369020897,0.9779350133398793,3.7526790891817976,0.00024120400815993902,0.9999125226196279,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,76,2015+2016+2021,0.1655686465492273,-8.700091018061123,0.9793535499525367,9.052562953429856,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,83,2015+2016+2021,-0.6760956729013468,7.706822817228085,0.9825024950848191,-8.532210892152225,0.24948995189243584,7.178850715909869e-18,0,200000,0.0,0.0,1.8444227173720117e-05,1.4978549188181866e-05,0,1000,0.0,0.0,0.003682083896865671,0.002991249545095295,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,120,2016+2021,1.408527727773457,-0.126446992105931,0.9863710339936091,1.556183897315595,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
profiled,220,2021,-1.269886142929514,0.05634023572893108,0.9874921184651061,-1.3430247734228458,0.10206259492231673,0.089631976118773,199486,200000,0.99743,0.9971982348147759,0.9976471542418095,0.9976133582882433,997,1000,0.997,0.9912579767615217,0.9993809000683505,0.9991818246017782,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
