mass_MeV,sigma_MeV,n_fit_bins,eps2_current,r_current,current_Ahat_window,conversion_window_per_eps2,template_window_fraction,lml_delta,log_cov_relative_load,count_cov_relative_load,prediction_hash_exact,log_mean_median_relative,gp_relative_sd_max,log_loading_count_cov_max_relative,eps2_gaussian_control,r_gaussian_control,Ahat_gaussian_control,sigma_A_gaussian_control,cls_gaussian_control,score_gaussian_control,min_lambda_gaussian_control,eps2_log_gp,r_log_gp,Ahat_log_gp,sigma_A_log_gp,cls_log_gp,score_log_gp,min_lambda_log_gp,eps2_fixed,r_fixed,Ahat_fixed,sigma_A_fixed,cls_fixed,score_fixed,min_lambda_fixed,gaussian_control_relative_to_release
192,4.7499460000000004,34,3.0346978065075724e-06,-1.1668070690219279,-2931.007678187586,897234142.8211485,0.9745023536774623,-4.5057413444737904e-07,1e-06,1e-06,True,5.331425434462744e-07,0.0010326109485714564,1.6785819925311922e-06,3.034905738613983e-06,-1.1680308450324128,-2931.770347897589,2509.7178636467524,0.09999999999991534,2.2074388761339492e-08,72469.28237566102,3.0346658388156973e-06,-1.167768088297088,-2931.5490624126087,2510.509958176795,0.09999999999993066,2.803926424377323e-09,72469.27498555358,1.9708027969165115e-06,-1.0593288304486133,-1664.4223233106272,1570.8049173153133,0.09999999999996374,5.46003353640856e-10,72479.176914352,6.851822476838798e-05
193,4.781632875000001,34,3.0720036234424384e-06,-1.16643082272809,-2895.616167611813,877305893.5259036,0.9736683751422865,-1.741600954119349e-06,1e-06,1e-06,True,5.391855066871898e-07,0.0010384465821749174,1.6817268695221885e-06,3.0722527725005118e-06,-1.1664308437336732,-2896.3449871337443,2482.7907172951436,0.0999999999999033,4.119599106289229e-08,71235.26938067263,3.071449546094202e-06,-1.1662132922080815,-2895.6135399744435,2483.0474185731896,0.09999999999987666,5.2227313585007096e-09,71235.27276998067,1.6792614440502787e-06,-1.5882560397521317,-2468.3193988282706,1553.5077068225396,0.0999999999550916,2.8581227384805175e-09,71263.11956117429,8.110311334652565e-05
194,4.813491500000001,35,3.273296131659548e-06,-1.0289918204998232,-2550.8480435498172,860915631.3573914,0.976825047702826,3.997242856712546e-07,1e-06,1e-06,True,5.778170510950531e-07,0.0010750043887925052,1.714043683574654e-06,3.2736731074464703e-06,-1.0289915202977242,-2551.10880927754,2478.975272486038,0.09999999999999265,4.9508853461333047e-08,68826.68846003586,3.2727024750174e-06,-1.028781500019639,-2550.272818664841,2479.0422284445253,0.1000000000000181,6.273992880778678e-09,68826.6906151281,1.712360930671475e-06,-1.5628791657180476,-2411.312505517354,1542.274632256893,0.09999999996423667,2.7861380980098716e-09,68855.50616149593,0.00011516702790070887
195,4.845521875000001,35,3.512925121479368e-06,-0.8587119579079197,-2111.8097876423135,841494862.5352128,0.975995116063391,-2.2737367544323206e-13,1e-06,1e-06,True,5.90328714134003e-07,0.0010865807731853124,1.7192580353306727e-06,3.5136212849768342e-06,-0.8602468331817597,-2111.4260653524448,2454.227529956943,0.10000000000027451,7.425916814796096e-08,66494.64147565488,3.5119330747349295e-06,-0.8602328067953227,-2110.759910398725,2453.807400704418,0.10000000000033335,9.397775002639719e-09,66494.64116459207,1.598616060870072e-06,-1.826325745904685,-2786.4900273029098,1525.045493708041,0.100000000000026,5.330801911007654e-09,66528.1076445896,0.00019817202854954807
196,4.877724000000001,36,3.794548785354163e-06,-0.6871910810008643,-1683.7236673027558,825752495.0468185,0.9789119067601443,0.0,1e-06,1e-06,True,6.302803929880696e-07,0.001122747158977431,1.7501160803074684e-06,3.795039394918134e-06,-0.6871914523676325,-1682.2745114213976,2447.8729592092523,0.1000000000190395,1.30133262388199e-07,64237.05532278941,3.7920118501723363e-06,-0.6876724217461072,-1682.572176197244,2446.8451819302168,0.10000000001426342,1.6436370042782755e-08,64237.051821612295,1.440682888314225e-06,-2.2273556929026204,-3373.065879105613,1513.5377139459545,0.10000000000000912,1.2274251726118734e-08,64278.687780012726,0.00012929325506738643
197,4.910097875000001,35,4.187555717763499e-06,-0.4467505942086152,-1062.0229691345555,803696549.6418139,0.9740775718796866,-9.164291441265959e-07,1e-06,1e-06,True,6.144261814888807e-07,0.001108536305428735,1.7229929073522876e-06,4.187318569485352e-06,-0.4408983191314492,-1061.0037901937346,2406.349450370631,0.09999999999859807,7.256396505894713e-08,63136.20630419986,4.185109467229713e-06,-0.44093714942333395,-1060.7003273643106,2405.6145091307044,0.0999999999986411,9.185731730809721e-09,63136.201177915995,1.8317713028011823e-06,-1.4601055495050825,-2177.92071176038,1491.0677890073093,0.09999999998794167,2.3130144466421143e-09,63163.40943732773,-5.663167110614431e-05
198,4.9426435,36,4.67807504381858e-06,-0.1844900451186846,-443.3900501017479,788551324.1823002,0.9771170099211484,0.0,1e-06,1e-06,True,6.572386752612402e-07,0.0011465067738130625,1.7521013330692996e-06,4.678502966996381e-06,-0.18449142763770435,-443.022276684573,2401.270656446408,0.10000000000000309,3.631203848719622e-08,60986.173083276364,4.677366313630349e-06,-0.18424728320170072,-442.38474470364594,2401.0619193775324,0.09999999999998302,4.608228909575018e-09,60986.16369718587,2.537311705729843e-06,-0.5357590582406329,-793.1337713155614,1480.1900084261658,0.0999999999999859,4.3519743364583974e-11,60987.12328043726,9.147420120303451e-05
199,4.975360875000002,36,5.292319114462122e-06,0.11360208525372431,269.55290798838405,770459403.0038489,0.9762053856889004,0.0,1e-06,1e-06,True,6.702915740230964e-07,0.0011578357386462545,1.7507777355682406e-06,5.292967112883989e-06,0.11360758266329456,269.91241228015343,2375.859082473024,0.10000000000020307,2.581702163162447e-08,58901.68131268263,5.292329345293187e-06,0.11357744496465501,269.9052652421287,2376.383485035094,0.10000000000024525,3.2898754831478527e-09,58901.69366159383,3.9775863628292886e-06,0.647421736043362,947.5186720831188,1463.770838124887,0.10000000000000335,9.501865960714895e-11,58865.374108658005,0.00012244129801164405
200,5.00825,36,5.576546521686897e-06,0.22037312640661094,517.8428668641171,752852539.1289496,0.9751355754954775,-1.7351981114188675e-06,1e-06,1e-06,True,6.787005368824595e-07,0.0011650757634194756,1.748306870526123e-06,5.577443268978551e-06,0.22037313064673716,518.0171615849216,2350.6911376711955,0.10000000000004776,3.394566849834746e-08,57884.05148336418,5.57615526167135e-06,0.22056474406622176,518.4406911727764,2350.4845301143946,0.10000000000003177,4.319750335213257e-09,57884.03946907281,3.2286811480832836e-06,0.05481973072282111,79.33578665544948,1447.2329689708563,0.10000000000084797,1.532107773982716e-14,57877.39928202629,0.00016080692381326145
201,5.041310875,36,5.908629402981996e-06,0.3381526460292489,787.5635340806817,735906387.0802841,0.9743561036433249,3.904656296072062e-07,1e-06,1e-06,True,6.951587359083078e-07,0.0011791174475885432,1.7439844731594898e-06,5.909306791402149e-06,0.33813592733389647,787.7836539708752,2329.867450321717,0.1000000000000256,3.884565780154503e-08,55899.52374048993,5.908000755075423e-06,0.33842230466695344,788.3879433151374,2329.549951666181,0.10000000000004297,4.949311183111149e-09,55899.50750383729,3.408104872090481e-06,0.16872148902921064,241.45183084689884,1431.1311148289988,0.10000000000008631,4.375388940047742e-13,55899.22197131854,0.00011464391721904832
