scope_key,scope_label,mass_min_MeV,mass_max_MeV,n_mass_points,N_eff_resolution_spacing,N_eff_before_grid_cap,independence_width_sigma,mass_at_min_p0_MeV,selected_scope_key_at_min,p0_local_asymptotic_min,Z_local_asymptotic_at_min,p_sidak_resolution_spacing_analytic,Z_sidak_resolution_spacing_analytic,p_bonferroni_grid,scan_toy_calibrated,uses_limit_tail_pvalues,report_target_toys
individual_2015_full,2015 full,19,90,72,13.624473558853952,13.624473558853952,2.25,51,individual_2015_full,0.0008462825153401,3.139465223457327,0.011468761937917552,2.2744736461417463,0.0609323411044872,False,False,300
individual_2016_full,2016 full,39,180,142,16.062471297723253,16.062471297723253,2.25,90,individual_2016_full,0.0003088890981128,3.4236866105162984,0.004949996896145652,2.5793028947782304,0.0438622519320176,False,False,300
individual_2021_10pct,2021 10%,50,250,201,26.40156050119431,26.40156050119431,2.25,78,individual_2021_10pct,0.0024748462183818,2.8102897012100323,0.06332676116208466,1.527432410326538,0.49744408989474176,False,False,300
pair_2015_2016,2015 full + 2016 full,39,90,52,8.877636241931075,8.877636241931075,2.25,90,pair_2015_2016,0.0001265983596407,3.659004677587607,0.0011233339208491322,3.05552511712443,0.006583114701316399,False,False,300
pair_2015_2021,2015 full + 2021 10%,50,90,41,8.16484385540324,8.16484385540324,2.25,50,pair_2015_2021,0.0004031820052497,3.3506009872307554,0.0032871673141366504,2.7176701313811833,0.016530462215237702,False,False,300
pair_2016_2021,2016 full + 2021 10%,50,180,131,20.708159712885376,20.708159712885376,2.25,66,pair_2016_2021,0.006497159193633,2.4839249689131484,0.1262694012744446,1.1442045838865675,0.851127854365923,False,False,300
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,50,90,41,8.16484385540324,8.16484385540324,2.25,66,all_2015_2016_2021,0.002844895053562,2.765142689691207,0.02299277070516957,1.995525999380308,0.116640697196042,False,False,300
final_total_search_window,Total search window (maximal available datasets),19,250,232,35.381377775674345,35.381377775674345,2.25,66,all_2015_2016_2021,0.002844895053562,2.765142689691207,0.0958859427902758,1.3053553182516353,0.6600156524263839,False,False,300
