mass_MeV,lane,r,Ahat,sigma_A,nll,null_nll,max_score,min_lambda
60,observed,-0.8129712338215594,-5514.212517384784,6782.6614773965875,6.1818786601934965,6.512339773704171,1.2229284362952342e-07,551640.7747708873
60,background,0.22803296035348625,1546.1501518165146,6780.416035128707,0.01565791579574401,0.041657431299531325,5.483542092621363e-11,551497.5569047054
60,inject_66,-1.3606475114014298,-9236.014771759637,6787.741568769672,0.47397895081744035,1.3996597759588922,4.6178606966096325e-08,551373.2926711467
60,inject_78,-0.22727043797647153,-1541.5130258758657,6782.689868169839,0.12524337331700708,0.15106929930601568,1.4569984108092626e-11,551557.792108054
60,double_65_78,-2.014053294778001,-13676.764067618426,6790.349864611748,0.4949569476370327,2.523162284740094,8.760654107708987e-08,551419.3282213417
61,observed,-1.0028438917449203,-7031.6879657797635,7011.603667190934,5.974150302409661,6.476998238014709,8.622180347472863e-08,584448.6703415709
61,background,0.27914345910778227,1958.2968392490675,7015.417875317392,0.023586925571063948,0.062547460952393,1.8101944943005321e-10,584251.4486726457
61,inject_66,-1.4922512312340257,-10480.249642539238,7022.89980950634,0.2787823781406424,1.3921892467003754,1.7166259080880764e-08,584147.6778218994
61,inject_78,0.15517924066151917,1088.6757255232712,7015.6238290125975,0.27607105429002565,0.2881113526561685,1.3841676069215048e-10,584326.7138777687
61,double_65_78,-1.2231192879530002,-8588.952546674873,7021.995587669211,2.3696166117609425,3.1176270080422697,7.021484782487875e-10,584254.5805013974
62,observed,-0.050498715027146354,-340.6988772429181,6746.674841097463,9.920872011624423,9.92214707173412,4.099255157541393e-08,649658.6841033511
62,background,0.4071800609397746,2752.608541728488,6760.246518717095,0.0377428619839299,0.12064066299738918,2.953338407163386e-10,649489.9158612859
62,inject_66,-0.9116700588544232,-6168.465003288713,6765.955971000821,1.211063939320487,1.6266350874263007,1.3946352406257745e-10,649509.039094863
62,inject_78,0.7690533903733963,5197.363205756808,6758.265363734723,0.41666831732127074,0.7123898759436784,5.007170761350821e-09,649531.4019921514
62,double_65_78,0.41356936975634173,2796.9327457833297,6762.983287977899,4.233733955781514,4.319253767581843,7.073870125079429e-09,649657.7845624479
63,observed,0.6397667347041772,4372.296358615644,6834.319076046239,10.212698853140981,10.417349590558004,7.324842821176958e-08,713392.9456126082
63,background,0.34223246969921794,2344.9735371192205,6852.051679863255,0.030901448795568824,0.08946298045378188,1.2809603378016732e-10,713678.2394456665
63,inject_66,0.0445887445086835,305.7070159193626,6856.155690221547,2.2688189295453594,2.2698130076137897,9.035646952870735e-10,713849.9457861319
63,inject_78,1.0228181128825828,7004.665119840716,6848.581461238335,0.4485598039961256,0.9716382500164696,1.3517470087709427e-08,713667.6194401296
63,double_65_78,1.9126908948063677,13105.330805008809,6852.120606895252,3.8581065786608146,5.687299808198406,1.3861836162254448e-07,713813.3796873075
64,observed,2.0149329344663633,13695.077538599859,6797.1656717005135,8.586339513464008,10.616316878662623,1.9620021429744838e-07,744277.4623336106
64,background,0.3991436693426552,2722.8249321732346,6821.740378139885,0.061471467430126436,0.14112930181828587,2.2181756431649546e-10,745102.4450689974
64,inject_66,1.3462261687237318,9188.236031746655,6825.42983397541,1.9220626345822882,2.828225083260577,1.4659816374718027e-08,745184.8200653299
64,inject_78,1.3386789130606862,9126.391059520056,6817.709433890051,0.435560856724029,1.331591472860699,2.321606396016307e-08,745018.2745888481
64,double_65_78,3.2760187804940784,22343.84587861032,6821.034966203758,1.3796214012225634,6.745770926297517,9.338184847607067e-08,745113.3077885178
65,observed,2.396196475406168,16633.922493520047,6942.253403912583,6.2082985965810265,9.079177370955497,1.5200533631798407e-07,804387.9502267137
65,background,0.09726110890997423,677.9827634614899,6970.767119439386,0.02409469572544036,0.028824557378639294,1.086186696142022e-12,806084.6882337255
65,inject_66,1.9999912553610688,13947.067914675848,6973.94010073764,0.5887975903495206,2.5887801011098928,2.7221436271762656e-08,806240.0651208208
65,inject_78,1.1091847751117785,7726.861155770841,6966.460967585351,0.25121041683560763,0.8663558495054908,8.63713395249377e-09,805945.8194518407
65,double_65_78,3.394839001495759,23658.599872154387,6969.628407561487,0.17710634054166785,5.939572263580028,6.937618657332223e-08,806240.0805745096
66,observed,2.366078062551826,16813.893357924164,7106.6515676389445,6.266001162617442,9.065163861661944,1.4604870646195423e-07,833130.453946452
66,background,-0.002276428840305455,-16.25281424485474,7139.609646724953,0.02741768066600074,0.027420271730133228,6.34492458573277e-14,835365.9644367978
66,inject_66,2.2892544713821414,16350.592945508773,7142.729530543095,0.026133887914224295,2.6464769052857884,3.448575594533487e-08,835570.8098310422
66,inject_78,0.9140458442166254,6522.220161621953,7135.713172865446,0.33777613368715,0.7555160363519917,3.940130222090943e-09,835196.3455351269
66,double_65_78,2.836966628698745,20251.531671740584,7138.950955685146,1.7718463326795466,5.796036158854709,1.6316894568824125e-07,835669.5411759239
67,observed,1.1532311693452344,7997.812090157322,6935.361463503398,8.275714948650858,8.940686013625546,7.355965658817354e-08,887738.497950565
67,background,-0.10705766152854883,-745.6511329156422,6964.927689866838,0.020023210912779747,0.02575388235876041,4.1983083676200295e-13,890902.6061822587
67,inject_66,1.8262192792960075,12724.43087921768,6967.996243482658,0.9647287836454785,2.632267211681693,1.2664672199846905e-08,891449.2020997237
67,inject_78,0.49145994923380915,3421.8348078214813,6962.68840712316,0.44337919301475576,0.5641456338652049,1.0491629787168222e-10,890724.6396128811
67,double_65_78,1.4639136241468271,10197.195761852188,6965.997690954266,4.107246151311775,5.178767700793124,1.3339450433136335e-08,891596.68980901
68,observed,-0.5201256826897731,-3657.50906073521,7031.872074389188,8.708961151363708,8.844226514260459,3.067129372702482e-08,913353.1405526276
68,background,-0.19505339660576415,-1377.55414516523,7062.409063725737,0.03131950419684814,0.0503424179605709,4.304015477352152e-12,916945.3194106411
68,inject_66,0.8269156660887347,5842.454062794422,7065.514632310445,2.459280888497609,2.801175647909097,2.153207390165335e-09,917772.5731557783
68,inject_78,-0.1564506289568381,-1104.893539329829,7062.220651413921,1.0649151200544564,1.0771535197049515,5.691183635470054e-11,916808.4056128006
68,double_65_78,-0.32301503896096295,-2282.3150695218083,7065.600222695465,5.721577809808167,5.773747167505643,8.864753375803502e-11,917933.4407837255
69,observed,-2.3532314549773155,-16365.942289161934,6954.198849527272,7.453386771715909,10.222235912063235,1.1492661444734154e-07,960392.3639680907
69,background,-0.3174057119064703,-2216.307444261678,6982.506411856381,0.052654613336416405,0.10302780631184302,4.022555899485525e-11,965183.4814105765
69,inject_66,-0.42505309287305487,-2969.4231394441163,6985.920757202534,2.7211630583817943,2.811498124262269,1.0578316000930954e-11,966316.9234540972
69,inject_78,-0.9794541266144224,-6841.311303915381,6984.625933347656,1.944770799359138,2.4244359924301486,9.803804712493758e-09,964989.0265523042
69,double_65_78,-2.1188295094132146,-14808.314264854103,6988.491671425932,5.12499445864173,7.369713703621851,4.208567822017173e-08,966200.8516953409
70,observed,-3.3724145038689635,-22891.514315847326,6787.153801638017,4.067010803337303,9.753600596290177,1.3972544099516426e-07,1002080.6300615577
70,background,-0.40653471231486726,-2769.63447746316,6812.700844499914,0.03836061577924077,0.1209958519377067,6.095364490921185e-11,1007885.3740024811
70,inject_66,-1.5046975381476047,-10257.008407415204,6816.338394043634,1.324764596079976,2.456821936733707,2.3404324034359547e-09,1009087.6011993852
70,inject_78,-1.6913741467422336,-11528.611430451807,6815.762300490297,1.6030411876894308,3.0334144398234404,2.3936232884658182e-08,1007687.2632607449
70,double_65_78,-3.3801550670086864,-23053.859596357423,6819.638365119645,2.726160144933849,8.438884283446098,4.308572831845936e-08,1008895.4962819476
71,observed,-4.018800157046639,-27494.837557741157,6840.709599359462,7.337045840952285,15.412423192091332,1.422076691959262e-07,1020827.0574322253
71,background,-0.5979261799063721,-4102.836966687498,6861.652876232468,0.09253932009444446,0.2712971784031581,3.502945433719873e-10,1027014.8389037768
71,inject_66,-2.243465961666564,-15402.89741363918,6865.199210303574,0.6372465246314529,3.153816285209694,2.2773439821432984e-08,1028202.7482086758
71,inject_78,-2.422644076257811,-16634.52926364437,6865.761951567743,1.378068792610065,4.312670952723597,7.951969260844294e-08,1026845.5137902255
71,double_65_78,-4.176571891938079,-28693.87147025986,6869.321026289816,2.4877160037787163,11.209592388042328,1.3841005275239127e-07,1028005.0815496264
72,observed,-3.1860636092062236,-21321.509464968138,6691.417150544862,10.273953839744602,15.349454500698695,1.986340558701727e-07,1054213.602409799
72,background,-0.529958402530141,-3555.810791987683,6709.48725502701,0.058535868511323856,0.19896382271747337,1.391954607132817e-10,1060950.8252641733
72,inject_66,-2.270376659571705,-15241.581356318882,6712.740914524886,0.5535431594257115,3.1308482475896984,3.079252797189014e-08,1062078.0260162335
72,inject_78,-2.498043985619016,-16772.09770262683,6713.544150455372,0.5174990598358844,3.637610936879554,4.190422087102519e-08,1060867.1923346778
72,double_65_78,-3.9152876145678768,-26299.200714672083,6716.195990706508,2.3186019121656862,9.983340464559994,6.520042861168918e-08,1061900.1146076322
73,observed,-1.6042391243797516,-11058.719795919269,6893.0955525272975,11.9826607398547,13.269452323950055,6.503933613899449e-08,1068820.3378672272
