mass_MeV,inject_66,inject_78,double_65_78
60,-1.5886804717549161,-0.4553033983299578,-2.2420862551314875
61,-1.771394690341808,-0.1239642184462631,-1.5022627470607826
62,-1.3188501197941978,0.36187332943362166,0.00638930881656713
63,-0.29764372519053445,0.6805856431833649,1.5704584251071498
64,0.9470824993810766,0.939535243718031,2.8768751111514232
65,1.9027301464510946,1.0119236662018043,3.2975778925857844
66,2.291530900222447,0.9163222730569308,2.8392430575390506
67,1.9332769408245563,0.598517610762358,1.570971285675376
68,1.0219690626944988,0.03860276764892606,-0.1279616423551988
69,-0.10764738096658455,-0.6620484147079522,-1.8014237975067442
70,-1.0981628258327374,-1.2848394344273664,-2.973620354693819
71,-1.645539781760192,-1.824717896351439,-3.578645712031707
72,-1.740418257041564,-1.9680855830888753,-3.385329212037736
73,-1.429021293279172,-1.6741932417097567,-2.5326045764275724
74,-0.8752939390362304,-0.8903260896624199,-1.1223445264872844
75,-0.3100790058809309,0.20585153179103838,0.461269095340026
76,0.18481723418721563,1.4265171214005934,2.0364936619408334
77,0.5106906499602348,2.366076321714695,3.1566873753708884
78,0.7344175812379412,2.7071610339379557,3.564599744425227
79,0.8405170661445015,2.3720996103425063,3.190001550697543
80,0.8291469828449296,1.4891126445525438,2.18049065668657
81,0.7209052446947066,0.36692572715693067,0.8817122867390674
82,0.5234752467479209,-0.7330341888568422,-0.4779646918383488
83,0.2828921567424147,-1.520467298270296,-1.5148948169040688
84,0.10590461542087069,-1.844572846165803,-1.994761834279926
85,-0.08274063577642338,-1.8331489926513231,-2.1324015040544415
86,-0.23992583998492592,-1.5355511105077364,-1.9413259766373527
87,-0.35833574074416996,-1.0780290931226342,-1.5406943785832148
88,-0.43675864872163406,-0.5751661418675871,-1.0532452380552777
