mass_MeV,lane,new_r,old_r,delta
79,background,0.28310529242955396,0.2830524964791726,5.2795950381379075e-05
79,inject_66,1.1236223585740555,1.12287575122885,0.0007466073452053745
79,inject_78,2.65520490277206,2.6642008211354673,-0.008995918363407185
80,background,0.276685095042096,0.2765086320905831,0.00017646295151291236
80,inject_66,1.1058320778870256,1.1044124503659056,0.0014196275211200149
80,inject_78,1.7657977395946398,1.7657987964805764,-1.0568859365456262e-06
81,background,0.30232639437684367,0.3020457649986091,0.000280629378234587
81,inject_66,1.0232316390715503,1.0201989979726136,0.0030326410989367503
81,inject_78,0.6692521215337743,0.668825993721098,0.000426127812676369
82,background,0.13593386071240313,0.1313692096483107,0.004564651064092429
82,inject_66,0.659409107460324,0.645531635162243,0.013877472298081006
82,inject_78,-0.5971003281444391,-0.5971067308294737,6.402685034601063e-06
83,background,0.038759664043485284,0.0404139391316319,-0.0016542750881466187
83,inject_66,0.3216518207859,0.3252359084258812,-0.0035840876399811927
83,inject_78,-1.4817076342268107,-1.481713046358904,5.412132093374211e-06
84,background,0.022877219858957503,0.0215453237040138,0.0013318961549437028
84,inject_66,0.1287818352798282,0.1282705178458542,0.0005113174339740068
84,inject_78,-1.8216956263068456,-1.8322155662493735,0.010519939942527978
85,background,-0.023251663832354462,-0.0481823755055382,0.02493071167318374
85,inject_66,-0.10599229960877785,-0.1062673778908197,0.00027507828204186013
85,inject_78,-1.8564006564836777,-1.856167422811532,-0.00023323367214578283
86,background,-0.07297652074379926,-0.0759724672287596,0.002995946484960335
86,inject_66,-0.3129023607287252,-0.3338853120286065,0.020982951299881314
86,inject_78,-1.6085276312515357,-1.6069731891474996,-0.0015544421040361023
87,background,-0.11725396829026305,-0.1156770640508757,-0.0015769042393873473
87,inject_66,-0.47558970903443304,-0.478040124178776,0.0024504151443429656
87,inject_78,-1.1952830614128973,-1.1942315792925395,-0.0010514821203577718
88,background,-0.1543897132168586,-0.1533070941256566,-0.0010826190912019973
88,inject_66,-0.5911483619384926,-0.58985764442904,-0.0012907175094526435
88,inject_78,-0.7295558550844456,-0.7086997393459455,-0.020856115738500103
