mass_MeV,lane,new_r,old_r,delta
60,background,0.22803296035348625,0.2271271607921312,0.0009057995613550585
60,inject_66,-1.3606475114014298,-1.3824587008359082,0.02181118943447835
60,inject_78,-0.22727043797647153,-0.2272816786303727,1.1240653901178899e-05
61,background,0.27914345910778227,0.2792407426247354,-9.728351695315052e-05
61,inject_66,-1.4922512312340257,-1.4925299446258553,0.0002787133918296103
61,inject_78,0.15517924066151917,0.1551384489022283,4.079175929086465e-05
62,background,0.4071800609397746,0.4073212511223859,-0.0001411901826112727
62,inject_66,-0.9116700588544232,-0.9118476181677724,0.00017755931334917374
62,inject_78,0.7690533903733963,0.7690495178912607,3.872482135514055e-06
63,background,0.34223246969921794,0.3431530016537015,-0.00092053195448355
63,inject_66,0.0445887445086835,0.0444986056420114,9.01388666720987e-05
63,inject_78,1.0228181128825828,1.0165911847115294,0.006226928171053414
64,background,0.3991436693426552,0.3945394836170938,0.004604185725561427
64,inject_66,1.3462261687237318,1.346220517734458,5.650989273853213e-06
64,inject_78,1.3386789130606862,1.3390034746049466,-0.0003245615442604155
65,background,0.09726110890997423,0.069962371521805,0.027298737388169236
65,inject_66,1.9999912553610688,2.0000034272641383,-1.2171903069457812e-05
65,inject_78,1.1091847751117785,1.1069781240181529,0.002206651093625611
66,background,-0.002276428840305455,0.0,-0.002276428840305455
66,inject_66,2.2892544713821414,2.2968272768629157,-0.007572805480774214
66,inject_78,0.9140458442166254,0.9140729659043764,-2.7121687750986112e-05
67,background,-0.10705766152854883,-0.1014291915452448,-0.0056284699833040325
67,inject_66,1.8262192792960075,1.826234247295058,-1.4967999050430336e-05
67,inject_78,0.49145994923380915,0.4914605357837795,-5.865499703716637e-07
68,background,-0.19505339660576415,-0.186126606408457,-0.00892679019730716
68,inject_66,0.8269156660887347,0.8270272230305765,-0.0001115569418418394
68,inject_78,-0.1564506289568381,-0.1564112784599626,-3.935049687547876e-05
69,background,-0.3174057119064703,-0.317454074782156,4.836287568565911e-05
69,inject_66,-0.42505309287305487,-0.4253769100840211,0.0003238172109662485
69,inject_78,-0.9794541266144224,-0.9794110067695148,-4.311984490767973e-05
70,background,-0.40653471231486726,-0.4066172187217791,8.250640691181976e-05
70,inject_66,-1.5046975381476047,-1.504738753130195,4.1214982590354055e-05
70,inject_78,-1.6913741467422336,-1.6913688426473406,-5.304094893077149e-06
71,background,-0.5979261799063721,-0.5974528646032827,-0.0004733153030893611
71,inject_66,-2.243465961666564,-2.243468154801938,2.1931353737514314e-06
71,inject_78,-2.422644076257811,-2.428814832476828,0.006170756219016749
72,background,-0.529958402530141,-0.5292678205673017,-0.0006905819628393317
72,inject_66,-2.270376659571705,-2.270310456917586,-6.620265411916293e-05
72,inject_78,-2.498043985619016,-2.497853227615249,-0.00019075800376722185
73,background,-0.3150830723556692,-0.3122829637254264,-0.0028001086302427702
73,inject_66,-1.7441043656348412,-1.7578106180816748,0.013706252446833656
73,inject_78,-1.989276314065426,-1.9892805395012565,4.225435830562674e-06
74,background,-0.11079843201846812,-0.0952273629590147,-0.015571069059453421
74,inject_66,-0.9860923710546985,-0.9860877622308636,-4.608823834906239e-06
74,inject_78,-1.001124521680888,-1.0015428978583285,0.0004183761774405603
75,background,0.010983596818405314,0.0042003541342981,0.006783242684107214
75,inject_66,-0.2990954090625256,-0.2990943869369846,-1.0221255409836871e-06
75,inject_78,0.2168351286094437,0.2163627332871797,0.0004723953222640076
76,background,0.08816535390373238,0.0955513509729716,-0.007385997069239217
76,inject_66,0.272982588090948,0.2731084751393897,-0.0001258870484416863
76,inject_78,1.5146824753043258,1.5146826734676475,-1.9816332175182083e-07
77,background,0.15161275986734343,0.1429115472809035,0.008701212586439938
77,inject_66,0.6623034098275783,0.662301589837082,1.8199904963100977e-06
77,inject_78,2.5176890815820383,2.517685845721418,3.2358606203430895e-06
78,background,0.23185425454837996,0.230168680656879,0.0016855738915009522
78,inject_66,0.9662718357863211,0.9640850219074288,0.002186813878892302
78,inject_78,2.9390152884863356,2.9426178178397775,-0.0036025293534418523
