mass_MeV,dataset_set,observed_r,asimov_r,response_sd,z,eligible,nominal_local_p,conditional_local_gaussian,ungated_signed_gaussian,direct_local_k,direct_local_n,direct_local_p,direct_local_low95,direct_local_high95,direct_local_upper95,direct_global_k,direct_global_n,direct_global_p,direct_global_low95,direct_global_high95,direct_global_upper95,gp_global_k,gp_global_n,gp_global_p,gp_global_low95,gp_global_high95,gp_global_upper95,gp_raw_global_k,gp_raw_global_n,gp_raw_global_p,gp_raw_global_low95,gp_raw_global_high95,gp_raw_global_upper95,direct_raw_global_k,direct_raw_global_n,direct_raw_global_p,direct_raw_global_low95,direct_raw_global_high95,direct_raw_global_upper95
35,2015,-1.7135461529836604,0.7774650009803517,0.9715491425587424,-2.56395795626303,False,0.5,1.0,0.9948256960306453,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
36,2015,-0.6415887743974512,0.9043164775934841,0.9670995346735752,-1.5984965317067639,False,0.5,1.0,0.9450337416625849,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
37,2015,0.3166513617554132,0.6582346787387107,0.9634239202294831,-0.3545514179281888,True,0.37575407929542776,0.6385371613307318,0.6385371613307318,625,1000,0.625,0.5941615606189441,0.6551000778787017,0.6503845690659409,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
38,2015,1.604740157854616,0.05868364975532434,0.9642783094749676,1.603330172324515,True,0.05427550019332956,0.05443088923408668,0.05443088923408668,60,1000,0.06,0.046095035422484325,0.07656049040393474,0.07384914845022057,967,1000,0.967,0.9539660181829768,0.9771776166505404,0.9757514552729238,194815,200000,0.974075,0.9733691430085053,0.974767070666976,0.9746568954886328,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
39,2015+2016,1.6135048868724318,2.612173526435649,0.9622264983948403,-1.0378727266700396,True,0.05331743120495331,0.850335343786079,0.850335343786079,838,1000,0.838,0.813675345075231,0.8603148884154221,0.8569093521685762,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
40,2015+2016,1.2432391332114332,-0.6685852317629674,0.9675191697260165,1.9760067033253657,True,0.10688986304367837,0.024077008998384396,0.024077008998384396,23,1000,0.023,0.014634582325176759,0.03431233761285437,0.032428870441319126,838,1000,0.838,0.813675345075231,0.8603148884154221,0.8569093521685762,165297,200000,0.826485,0.8248181120635979,0.828142419652992,0.8278768302552757,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
41,2015+2016,0.2153358545875182,-4.2996501110924585,0.9705214856382969,4.652123659797744,True,0.4147527386664089,1.64266978164022e-06,1.64266978164022e-06,0,1000,0.0,0.0,0.003682083896865671,0.002991249545095295,0,1000,0.0,0.0,0.003682083896865671,0.002991249545095295,48,200000,0.00024,0.00017696219009022746,0.0003181927378733322,0.00030525937381050355,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
42,2015+2016,-0.435548625093287,-5.980184194283927,0.9667370305580458,5.735412417159625,False,0.5,1.0,4.863767488013392e-09,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
43,2015+2016,-1.100240015024094,-5.801114737096173,0.9586641061702056,4.903568092114908,False,0.5,1.0,4.705564919669752e-07,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
44,2015+2016,-1.3040193072767474,-3.977306487561402,0.9568053675370916,2.7939717637307484,False,0.5,1.0,0.002603251227850111,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
45,2015+2016,-0.4029607730607632,-1.9151798514564669,0.960588511511603,1.5742631316879305,False,0.5,1.0,0.057713314734567006,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
46,2015+2016,-0.8932968386858194,2.153685258256189,0.973326216404128,-3.130483948330117,False,0.5,1.0,0.9991274073172547,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
47,2015+2016,-0.1595838838578659,4.637351666798232,0.9779723481763676,-4.904980759017349,False,0.5,1.0,0.9999995328175096,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
48,2015+2016,0.3964924981959722,6.154517961605337,0.97696547814819,-5.89378600595339,True,0.34587087047749365,0.9999999981127704,0.9999999981127704,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
49,2015+2016,0.6996023208623032,6.5549158162135255,0.9727486888072728,-6.019348638270243,True,0.24208784638026026,0.9999999991243984,0.9999999991243984,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
50,2015+2016+2021,1.4678193101410568,6.086100421468634,0.9653022580682359,-4.784284997498802,True,0.07107665537343182,0.9999991420146787,0.9999991420146787,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
51,2015+2016+2021,1.221408819224686,3.9079405444433677,0.9681853392071758,-2.774811408958764,True,0.11096563484153427,0.9972383136678518,0.9972383136678518,998,1000,0.998,0.9927941610885425,0.9997576988831227,0.9996445238665224,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
52,2015+2016+2021,0.8936985675655945,1.16692340337198,0.9709899604813754,-0.281387910201391,True,0.1857415960049354,0.6107935550330853,0.6107935550330853,614,1000,0.614,0.5830266964145339,0.6442999972828456,0.6395492264476423,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
53,2015+2016+2021,0.4234632353962886,-1.3426648775952743,0.9712932923849846,1.8183262736787595,True,0.33597865831319146,0.03450713969215025,0.03450713969215025,30,1000,0.03,0.020330485683109627,0.042551402470029046,0.040472237280866234,916,1000,0.916,0.897057001008265,0.9324472580294167,0.9300042000455343,182133,200000,0.910665,0.9094065024644411,0.9119115802040606,0.9117121645892355,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
54,2015+2016+2021,0.1394787853569337,-3.7032118790960573,0.9703397862045212,3.9601495466692698,True,0.4445359094495577,3.7451420932735903e-05,3.7451420932735903e-05,0,1000,0.0,0.0,0.003682083896865671,0.002991249545095295,4,1000,0.004,0.0010909079877259714,0.010209664683929871,0.009129952563871467,876,200000,0.00438,0.004095290768432387,0.004679217544937262,0.0046307816144690464,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
55,2015+2016+2021,-0.5683086290002352,-5.625989682079866,0.9698067453020754,5.215143200003485,False,0.5,1.0,9.183764253683923e-08,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
56,2015+2016+2021,-0.3651531244495694,-5.756690464852594,0.9689852955434233,5.564106457755233,False,0.5,1.0,1.317495283824207e-08,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
57,2015+2016+2021,-0.7604204827546351,-6.298373618728128,0.9707318824675331,5.704925568012045,False,0.5,1.0,5.8196969642547435e-09,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
58,2015+2016+2021,-1.0793006382795192,-5.545973030434334,0.9697912630736969,4.6058080354301785,False,0.5,1.0,2.0543364321890234e-06,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
59,2015+2016+2021,-1.2825878749977144,-4.164612554434173,0.9686518878544219,2.9752945465477647,False,0.5,1.0,0.0014635367404942652,1000,1000,1.0,0.9963179161031344,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,200000,200000,1.0,0.9999815557728263,1.0,1.0,1000,1000,1.0,0.9963179161031344,1.0,1.0
