left_MeV,right_MeV,gp_combined_rho,direct_combined_rho
65,71,-0.6964817352395497,-0.7044793553976203
66,71,-0.5992624067577343,-0.5873836326229773
66,72,-0.6886874753834661,-0.6926965349169686
66,78,0.16243135488960075,0.11906916070455262
71,78,-0.6612118905878986,-0.6376660312505142
72,78,-0.6508255966230354,-0.6190620159228797
78,85,-0.6510267844430319,-0.6430279770382293
