fit_id,mass_MeV,extraction_r,scan_r,error,extraction_nominal_p,scan_nominal_p
2015_m051,51,3.1392368271805537,3.1392368271805537,0.0,0.000846942447149935,0.000846942447149935
2015_m021,21,2.5157388880992775,2.5157388880992775,0.0,0.005939157409582324,0.005939157409582324
2015_m019,19,-3.2106186896115254,-3.2106186896115254,0.0,0.5,0.5
2016_m090,90,3.424751369698562,3.424751369698562,0.0,0.0003076811440637299,0.0003076811440637299
2016_m117,117,3.2786144965272666,3.2786144965272666,0.0,0.0005215901799674634,0.0005215901799674634
2016_m102,102,-4.499121459355815,-4.499121459355815,0.0,0.5,0.5
2021_m078,78,2.8086449518656287,2.8086449518656287,0.0,0.0024875240153304193,0.0024875240153304193
2021_m065,65,2.396196475406168,2.396196475406168,0.0,0.008283103822833994,0.008283103822833994
2021_m071,71,-4.018800157046639,-4.018800157046639,0.0,0.5,0.5
combined_m066,66,2.7601586408223695,2.7601586408223695,0.0,0.0028886649746267417,0.0028886649746267417
combined_m021,21,2.5157388880992775,2.5157388880992775,0.0,0.005939157409582324,0.005939157409582324
combined_m092,92,2.4158559091818677,2.4158559091818677,0.0,0.007849136100718843,0.007849136100718843
combined_m072,72,-3.49033909388161,-3.49033909388161,0.0,0.5,0.5
combined_m076,76,0.16556864654922737,0.1655686465492273,8.326672684688674e-17,0.43424821155712423,0.43424821155712423
combined_m083,83,-0.6760956729013468,-0.6760956729013468,0.0,0.5,0.5
