dataset,mass_MeV,rank,sigma_MeV,low_MeV,high_MeV,n_bins,observed_original,observed_gp_fill,observed_poly_fill,reference_original,reference_gp_fill
2015,51,1,2.6219449739355,45.0,56.99999999999999,48,2869109.0,2851014.3655067915,2873183.8064950006,2824854.8646141514,2823071.4043083885
2015,21,2,1.0253724579645,18.75,23.25,18,2111754.0,2105448.2682713587,2087533.9004009063,2137774.060760738,2140057.384132545
2016,90,1,3.6982828999999993,81.74999999999999,98.25,66,11856913.0,11838581.773537653,11841953.768843248,11893816.286878444,11887752.007410496
2016,117,2,4.988710679689999,105.75,128.25,90,4596847.0,4593585.185075565,4598885.822096131,4587237.979527511,4585340.162219698
2021,78,1,2.2634635,72.875,82.875,16,18431682.0,18400723.607325654,18415392.095088117,18451673.395503137,18462744.36227282
2021,65,2,2.121696875,60.375,69.74999999999999,15,14542501.0,14540016.4012589,14508706.74485276,14543651.587899156,14522508.119627982
