dataset,remote_masses,observed_both_mean,observed_both_poly_mean,observed_both_wide_mean,observed_correlation,reference_both_mean,reference_both_poly_mean,reference_both_wide_mean,reference_correlation,observed_replicate_min,observed_replicate_max
2015,40,0.6727617333371463,1.226936768734446,0.7190911496566454,0.559307871675138,1.1015932834059805,3.625873672661894,0.8357498753450711,0.9164519806099272,0.572686699076954,0.7811029959588505
2016,74,0.7783788705812289,0.7826862831636128,0.6241757492156923,0.9117018720793838,0.9279087932926974,0.9778750813031802,0.6707583215632866,0.9982139919229585,0.7618050429783323,1.0960114793991544
2021,170,0.921365946151105,1.1073272455222638,0.8613558039295368,0.9252433761714116,0.8648020950444657,1.1616569772819434,0.3823291279128405,0.9278099428657844,0.9079495926552524,0.9542267999249588
