dataset,source,selection,lane,n_points,std,rms,peak_to_peak,retained_std,correlation,max_abs_change,rms_change,sign_transitions,substantial_persistence
2015,observed,full,observed_both_mean,72,0.6917601606985454,0.6919749768635883,3.2744183810534775,0.44260883673090096,0.35373879465500385,3.139214221232048,1.4687265943853622,13,False
2015,observed,full,observed_both_poly_mean,72,1.7426410536574128,1.743038451962454,7.225254392706523,1.1149938568592115,0.5506745687136023,5.877758060424922,1.5769497641989456,12,True
2015,observed,full,observed_both_rep00,72,0.8760754719362032,0.8765037233464401,4.568095468579222,0.5605392844979621,0.2586413537833914,3.0431086392808826,1.581857764432842,13,True
2015,observed,full,observed_both_rep01,72,1.016870526101079,1.0169927286463498,3.843897201866405,0.65062417039028,0.7940561975218223,2.6872768858024836,0.9765638470595525,15,True
2015,observed,full,observed_both_rep02,72,1.0674551959662295,1.067830201916972,4.473491439484453,0.6829897548188804,0.37261679274370507,3.6525864084493493,1.529434278257897,13,True
2015,observed,full,observed_both_rep03,72,1.0229010605962634,1.0229472079054798,3.8409032503774134,0.6544826866932191,-0.295668336862696,4.8398477217923785,2.1061131378860463,13,True
2015,observed,full,observed_both_rep04,72,1.0261582347612597,1.0261629827213068,4.512472416802007,0.6565667241242604,0.18911263147771612,4.37596927391407,1.700275080920768,14,True
2015,observed,full,observed_both_rep05,72,0.8818711744481457,0.8822444081625227,3.7574292026097122,0.5642475482757704,0.10237215944675523,4.307176230588882,1.7142381913880476,14,True
2015,observed,full,observed_both_rep06,72,0.92258677290415,0.9228162512131418,3.859346971144757,0.5902986056989338,0.5531960163321421,3.918668920704768,1.3035244510493977,14,True
2015,observed,full,observed_both_rep07,72,0.9060226288754981,0.9060422806822738,3.7059781029711587,0.5797003710267298,0.22212891503809407,3.9322017346197002,1.6239405768335575,14,True
2015,observed,full,observed_both_rep08,72,0.836584690639114,0.8367555123960269,3.486184598986523,0.5352719017191553,0.30538322151726527,3.6448813218266225,1.531284847170275,15,True
2015,observed,full,observed_both_rep09,72,0.7841533761601223,0.785223634312539,4.93942361192611,0.5017247788458399,0.5777046574466638,2.872889414832269,1.2812475267282022,13,True
2015,observed,full,observed_both_wide_mean,72,0.6968319191897523,0.6975482256281993,3.396627865621083,0.44585389947592274,0.41522846024588195,3.1379568993609297,1.422687919061196,15,False
2015,observed,full,observed_first_mean,72,0.7910928916650384,0.7918553811160891,4.935863021548089,0.5061648883803429,0.5732562528373907,3.0640747125603145,1.2849495294585729,15,True
2015,observed,full,observed_first_rep00,72,0.8711742327747118,0.8716741785143349,4.708678494654029,0.5574033251191841,0.4112740790662632,3.0183974998646512,1.4428992095151019,13,True
2015,observed,full,observed_first_rep01,72,1.136809635026964,1.1371862982035912,5.260688395874019,0.7273647988569728,0.8906488374092623,1.8045087017121848,0.7552604067954434,15,True
