dataset,mass_MeV,kind,original,first_mean,second_mean,both_mean,both_poly_mean,both_wide_mean
2015,51,selected peak,3.1392368271805537,0.0751621146202393,3.0626059711992646,2.2605948505625684e-05,1.9209588279641137,0.0012799278196241
2015,21,selected peak,2.5157388880992775,2.080750136578561,0.1696639106853004,-0.2629825462319957,-2.520773772921229,-0.2397570754822653
2015,19,illustrative deficit,-3.2106186896115254,-2.8551128849695284,-0.670727728979379,-0.3140937642079908,2.667139370813397,-0.3305861592249239
2016,90,selected peak,3.424751369698562,0.5774236132935927,2.8465773504954304,0.0003640989425371,0.9830426089166512,0.0007054057989047
2016,117,selected peak,3.2786144965272666,2.1701085630318104,1.0395695054779754,-0.067982065667159,0.727628126851046,-0.0371279924375499
2016,102,illustrative deficit,-4.499121459355815,-2.1957923620015403,-3.3028013369438662,-0.9981009288231972,-2.468323038337323,-0.5217740247195684
2021,78,selected peak,2.8086449518656287,0.2762237348290676,2.5321070818999947,0.0002776998682615,0.9868489077378966,-0.0069256589455947
2021,65,selected peak,2.396196475406168,0.97988290091715,1.1986555832246388,-0.2174409125803877,-1.764633029323537,-0.1331391027437332
2021,71,illustrative deficit,-4.018800157046639,-1.4784182047734888,-3.256212743296776,-0.7153809499452565,1.2453784525345817,-0.1097302029616336
