mass_MeV,signed_r,A_hat_window,sigma_A_window,raw_twice_delta_nll,null_feasible_fallback,diagonal_load_relative,lane
60,0.2785450880990831,1896.905782636997,6779.641196257147,0.07758736610412598,False,1e-06,background
61,0.3599571819802904,2522.350082025707,7012.312956541556,0.1295691728591919,False,1e-06,background
62,0.5565403898239292,3761.6163960211074,6754.790721908337,0.3097372055053711,False,1e-06,background
63,0.4629545529802602,3158.915107251459,6844.502058935816,0.2143269181251526,False,1e-06,background
64,0.5075351250994223,3528.0804295706557,6812.090112537962,0.2575919032096863,False,1e-06,background
65,0.1364556096317164,912.8774486139516,6959.561444268754,0.01862013339996338,False,1e-06,background
66,0.0,0.0,7126.914817562065,-0.005774080753326416,True,1e-06,background
67,-0.15250661898147372,-1152.2142630963176,6951.92897233276,0.0232582688331604,False,1e-06,background
68,-0.32380281908576425,-2224.548301887383,7049.1605648125515,0.10484826564788818,False,1e-06,background
69,-0.4973907337293457,-3507.7225811259864,6969.977185873767,0.2473975419998169,False,1e-06,background
70,-0.5996333810181994,-4083.6005930474703,6801.345230457359,0.35956019163131714,False,1e-06,background
71,-0.8369216473479408,-5737.897994733575,6851.509408101533,0.7004378437995911,False,1e-06,background
72,-0.6940739777297407,-4664.678574698141,6700.907361608278,0.4817386865615845,False,1e-06,background
73,-0.3875440018805022,-2705.3832144505036,6902.820437666402,0.1501903533935547,False,1e-06,background
74,-0.08466964420829999,-821.6397139598952,6916.56716789984,0.007168948650360107,False,1e-06,background
75,0.0,0.0,6889.301902676799,-0.007081389427185059,True,1e-06,background
76,0.15775754368272268,1150.0708601839808,6843.017211178677,0.024887442588806152,False,1e-06,background
77,0.2885917748598956,1954.277288091748,6869.4831329232165,0.08328521251678467,False,1e-06,background
78,0.3932177139871266,2615.693292890249,6682.165910405469,0.15462017059326172,False,1e-06,background
79,0.44127565325549845,2935.3033582588596,6650.466981670856,0.1947242021560669,False,1e-06,background
80,0.4099210518911774,2776.427431549172,6766.784896059751,0.16803526878356934,False,1e-06,background
60,-1.3317813582956142,-8908.714394896044,6786.978011490423,1.773641586303711,False,1e-06,injected
61,-1.414967410719891,-9932.625261342824,7019.808101217796,2.002132773399353,False,1e-06,injected
62,-0.7636632504183505,-5162.161298967804,6760.505387360312,0.5831815600395203,False,1e-06,injected
63,0.16459623439138568,1124.9136247413762,6848.606780325501,0.027091920375823975,False,1e-06,injected
64,1.467683303309133,10000.498896787176,6815.774568645843,2.1540942788124084,False,1e-06,injected
65,2.0377012510312786,14186.41545716354,6962.713972345866,4.152226388454437,False,1e-06,injected
66,2.2881068946311705,16273.991929658285,7129.87402993612,5.2354331612586975,False,1e-06,injected
67,1.7714000038318822,12319.217836506696,6955.045106546057,3.137857973575592,False,1e-06,injected
68,0.7093254508976382,5001.128011436315,7052.289437653468,0.5031425952911377,False,1e-06,injected
69,-0.6093193420032271,-4249.911968819538,6973.388200659521,0.3712700605392456,False,1e-06,injected
70,-1.698654835402404,-11560.304448212955,6804.98428705597,2.885428249835968,False,1e-06,injected
71,-2.4844671988023395,-17034.730751355113,6855.058076507073,6.172577261924744,False,1e-06,injected
72,-2.43877953177618,-16358.564305106458,6704.164493217305,5.947645604610443,False,1e-06,injected
73,-1.8411266608276378,-12603.96146095994,6905.7783569253215,3.389747381210327,False,1e-06,injected
74,-0.9974658267542051,-6903.417411069487,6918.375756390955,0.99493807554245,False,1e-06,injected
75,-0.26508186011658025,-1827.6973067476226,6890.029852798135,0.07026839256286621,False,1e-06,injected
76,0.35135839683473574,2403.5177871784217,6842.344074681942,0.12345272302627563,False,1e-06,injected
77,0.7946018633976405,5456.891889506967,6868.079493999994,0.6313921213150024,False,1e-06,injected
78,1.132274210402553,7522.798116332952,6680.31476480855,1.2820448875427246,False,1e-06,injected
79,1.2823420499462908,8528.606710317204,6648.3514795764,1.6444011330604553,False,1e-06,injected
80,1.2402427612982336,8393.363810324387,6764.560126613857,1.5382021069526672,False,1e-06,injected
