mass_MeV,signed_r,A_hat_window,sigma_A_window,raw_twice_delta_nll,null_feasible_fallback,diagonal_load_relative,lane,pair
60,-0.9720487727499142,-6610.8384768374835,6789.151417784248,0.9448788166046143,False,1e-06,background,0
61,-1.043733466468566,-7323.313361035216,7015.203043533753,1.0893795490264893,False,1e-06,background,0
62,-0.5522586676045623,-3734.580181767072,6755.4657740262155,0.30498963594436646,False,1e-06,background,0
63,0.07534932799163031,513.9291576871344,6844.120980965175,0.005677521228790283,False,1e-06,background,0
64,1.1475831051986616,7815.031780587471,6810.936783637403,1.3169469833374023,False,1e-06,background,0
65,1.3765914766723653,9492.196512021841,6959.139510531299,1.8950040936470032,False,1e-06,background,0
66,1.3426623267239686,9449.533239276834,7125.490507502486,1.8027421236038208,False,1e-06,background,0
67,0.9516725886762475,6513.719304012795,6947.188561742039,0.9056807160377502,False,1e-06,background,0
68,0.016648171016828438,115.79603920688932,7045.865098022741,0.0002771615982055664,False,1e-06,background,0
69,-0.5409359098573052,-3770.2433277206646,6966.775945911387,0.29261165857315063,False,1e-06,background,0
70,-0.5732594476080186,-4154.495724844638,6798.685167181145,0.3286263942718506,False,1e-06,background,0
71,-1.0418958252929065,-7171.79795617308,6852.902677425405,1.0855469107627869,False,1e-06,background,0
72,-0.941715363844054,-6318.801405499369,6702.354736839584,0.886827826499939,False,1e-06,background,0
73,-1.1348258969293044,-7871.081254451344,6905.273786942258,1.2878298163414001,False,1e-06,background,0
74,-1.184241316001899,-8117.992531635114,6916.9314460018395,1.4024274945259094,False,1e-06,background,0
75,-1.298869059211626,-8935.93633684859,6890.7542926249225,1.687060832977295,False,1e-06,background,0
76,-0.9305847070091204,-6348.059608816121,6845.228740857076,0.8659878969192505,False,1e-06,background,0
77,-0.11350858830631809,-780.2335733156438,6871.918538547705,0.012884199619293213,False,1e-06,background,0
78,0.79903757944882,5341.509496582836,6683.263621158355,0.6384610533714294,False,1e-06,background,0
79,1.1586584318784379,7813.4432128181625,6652.405973579941,1.3424893617630005,False,1e-06,background,0
80,1.300150537944762,8797.395812937339,6768.694412814112,1.6903914213180542,False,1e-06,background,0
60,-2.5216410711577435,-17263.566247019524,6796.47990974907,6.358673691749573,False,1e-06,injected,0
61,-2.7970970427958832,-19642.126116531617,7022.547554038078,7.823751866817474,False,1e-06,injected,0
62,-1.8706869905691659,-12636.474160839341,6761.098101599405,3.499469816684723,False,1e-06,injected,0
63,-0.23911340208986714,-1638.0806765626558,6848.21921288148,0.05717521905899048,False,1e-06,injected,0
64,2.066057676975349,14075.60062719921,6814.6117709020555,4.268594324588776,False,1e-06,injected,0
65,3.2419751660780167,22572.06024964965,6962.216195675201,10.510402977466583,False,1e-06,injected,0
66,3.5962109888272624,25663.812377389477,7128.555055546314,12.932733476161957,False,1e-06,injected,0
67,2.868795313092896,19933.264297078364,6950.253197117137,8.229986548423767,False,1e-06,injected,0
68,1.04814443912575,7381.837926219968,7048.96450492264,1.0986067652702332,False,1e-06,injected,0
69,-0.6256667871839231,-4365.70400789557,6970.086207456711,0.3914589285850525,False,1e-06,injected,0
70,-1.6916583536285197,-11503.623236050447,6802.293053350969,2.8617079854011536,False,1e-06,injected,0
71,-2.6752985943607865,-18356.437062138484,6856.452224470505,7.1572225689888,False,1e-06,injected,0
72,-2.6600345914247896,-17911.645846873922,6705.546483369224,7.0757840275764465,False,1e-06,injected,0
73,-2.5515358642570787,-17715.38991091454,6908.147305622118,6.510335266590118,False,1e-06,injected,0
74,-2.0494812105419884,-14204.054343015368,6918.751621448886,4.2003732323646545,False,1e-06,injected,0
75,-1.6125799691530827,-11112.450564341309,6891.478028040331,2.6004141569137573,False,1e-06,injected,0
76,-0.7493015852115795,-5127.546985804605,6844.597309916812,0.5614528656005859,False,1e-06,injected,0
77,0.38889624478936946,2671.715787947198,6870.549275412083,0.1512402892112732,False,1e-06,injected,0
78,1.5243022909493946,10186.587346172832,6681.429198568585,2.323497474193573,False,1e-06,injected,0
79,2.006312199397888,13342.380489123694,6650.319813817813,4.025288641452789,False,1e-06,injected,0
