mass_MeV,signed_r,A_hat_window,sigma_A_window,raw_twice_delta_nll,null_feasible_fallback,diagonal_load_relative
66,1.5546570396314752,12770.950267779559,8236.070726767859,2.416958510875702,False,1e-07
71,-2.1207488396032206,-17899.13231938484,8421.311380901814,4.497575640678406,False,1e-07
72,-1.1577544863191163,-9696.141090602569,8382.748595040086,1.340395450592041,False,1e-07
