mass_MeV,A90,Ahat,Ahat_bounded,sigma_A,signed_r,Z0,p0_fixed_mass,p_signed,cls,q_obs,q_asimov,cls_branch,max_score,max_iterations,boundary_fits,min_lambda,min_background,n_profiles,n_cls_evaluations,monotonicity_error,nll_null,nll_free,n_bins,nuisance_rank,zero_bins,ok,status,calibration,cov_load,cov_load_over_poisson,prior_relative_error,feature_rank,density_observed,K_counts_per_epsilon2,branching_factor,epsilon2_90,epsilon2_90_fixed_density
50,42433.013794586193,19292.765587484733,19292.765587484733,17033.244219780434,1.1326584371059221,1.1326584371059221,0.12867885903919346,0.12867885903919346,0.099999999999999839,1.8455968426127831,6.2098222025220995,interior,1.9299965448027478e-07,3,0,1019934.4703345023,1019072.4284055043,18,8,0,1.0129869515527603,0.37152938397914537,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,7.4148974434437436e-10,7.6480773804979175e-14,25,4326222530.882061,6661299140.596921,1,6.3700808054063394e-06,6.3700808054063394e-06
51,34318.153316724376,8063.0750713184843,8063.0750713184843,17581.788375351582,0.45860510441645125,0.45860510441645125,0.32325888521435842,0.32325888521435842,0.099999998710874338,2.2299366745805389,3.8105301828249796,interior,1.5739635639278049e-07,2,0,1410646.3423022828,1409668.5488274219,22,10,0,0.16840150543435409,0.063242184535942006,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,4.3348082354398572e-10,2.2271174763555241e-14,26,5058448691.9001436,7944518913.9594851,1,4.3197270581637374e-06,4.3197270581637374e-06
52,32052.438046054838,-73.993706900906815,0,19513.960471401548,-0.0037918341903775015,0,0.5,0.50151271935383102,0.10000000000234095,2.7103552554089734,2.6979167229128054,deficit,9.1180417660652324e-08,2,0,1634383.5266318261,1633740.0264228054,22,10,0,0.019522280735343563,0.019515091732079905,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,5.5995086532583528e-10,7.3798648620803293e-14,26,5824497721.5715809,9326998379.2468128,1,3.4365223132635712e-06,3.4365223132635712e-06
53,31358.257639816497,-2023.0424826863568,0,19802.918112945696,-0.10215874585753666,0,0.5,0.54068466379214086,0.10000000000014457,2.8310107311126158,2.5074027162096,deficit,8.7580290353272972e-08,2,0,2130595.9079357372,2129734.1028943239,22,10,0,0.023276598275340232,0.01805839359774785,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,3.3780160360525549e-10,5.371088037930954e-14,26,6625471786.6828518,10813661145.688242,1,2.8998742625035975e-06,2.8998742625035975e-06
54,31312.201600959157,-3726.3477889305464,0,20374.494509159831,-0.1828925635606333,0,0.5,0.5725588410486615,0.10000000000003466,2.923944527812349,2.3616784684976526,deficit,2.9126497214093661e-08,2,0,2681673.8698477237,2680525.7673712461,24,11,0,0.027024005067372295,0.010299160164482147,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.7688841932498526e-10,6.8034219651214427e-14,26,7430809268.3105898,12356911944.026228,1,2.5339827412217331e-06,2.5339827412217331e-06
55,30458.206944419435,-7216.0237706321541,0,21023.733411797883,-0.34323166584971548,0,0.5,0.63428790793884904,0.099999999505247655,3.0933458003825476,2.0986025577969958,deficit,2.2691246659434228e-08,2,0,2973339.0441800626,2972513.2336171656,20,9,0,0.10597634899973242,0.047072360778747047,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.9971489709310757e-10,3.9314340180516574e-14,26,8260829736.9448195,13991569642.562836,1,2.1768970689153074e-06,2.1768970689153074e-06
56,32686.692174771175,-3398.9328203311948,0,21098.01351060663,-0.16110185363340923,0,0.5,0.56399340983609503,0.099999999999997535,2.89937841395809,2.4001081397655266,deficit,1.9774821780060847e-08,2,0,3581565.1506518684,3580486.9225137089,22,10,0,0.023240714159678735,0.010263810537618531,14,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.9812394157018312e-10,6.7770489748335308e-14,26,9084865296.0722141,15667027193.361946,1,2.0863365954085017e-06,2.0863365954085017e-06
57,35322.359106852833,-1885.8349155506087,0,22165.186512836281,-0.085080900546056409,0,0.5,0.53390146280052908,0.10000000000031203,2.8106662380104042,2.5394254752710284,deficit,6.2432153224989406e-08,2,0,3895192.7826868878,3894406.3777752579,22,10,0,0.012867772003964965,0.0092483921851009947,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.3129565700972228e-10,6.9647507975167257e-14,26,9905624796.8132343,17387486566.300827,1,2.031481604437992e-06,2.031481604437992e-06
58,35963.835770870108,-1717.231524368364,0,22494.536355831067,-0.076339903880389165,0,0.5,0.53042566012668912,0.10000000000035454,2.800146126380203,2.5560009206904519,deficit,5.8565178262526274e-08,2,0,4535816.6627665395,4534773.5916235326,22,10,0,0.011492446637904705,0.0085785561756711766,15,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.9687814298993323e-10,6.6382081545329006e-14,26,10724657908.985699,19155412982.743111,1,1.8774763980953848e-06,1.8774763980953848e-06
59,38803.967196021622,832.8963427248658,832.8963427248658,23278.218282740439,0.03578008000299629,0.03578008000299629,0.4857288583751232,0.4857288583751232,0.10000000000099944,2.6607137043638098,2.7787351225766672,interior,8.8493476768647383e-08,2,0,4860765.8663040521,4860010.2787678447,22,10,0,0.0014164790309921307,0.0007763719684817233,15,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.8962800888643894e-10,8.9537522824141359e-14,26,11518039306.683477,20927176919.123516,1,1.8542380248413761e-06,1.8542380248413761e-06
