source,mass_MeV,resolution_MeV,strength_matched_filter_sigma,injected_count_amplitude,projected_absorbed_count_amplitude,poisson_metric_absorption_fraction,window_2p25sigma_absorption_fraction,objective_best,objective_spread,n_restarts,n_within_1e-9_objective,fit_success
one_pct,65.0,2.121696875,1.0,1015.5349343173874,326.8009598180984,0.3218017901449785,0.4102427996518502,-9.328687209021378,7.496607778989528e-09,6,3,True
one_pct,65.0,2.121696875,3.0,3046.604802952162,980.6426860155104,0.3218805028683953,0.41034121638039683,-9.3289173929904,6.286574441460857e-05,6,4,True
one_pct,65.0,2.121696875,5.0,5077.674671586937,1634.4816148049708,0.3218956944900416,0.4103591565719741,-9.329147605048874,8.482915703211802e-09,6,4,True
one_pct,90.0,2.4200875,1.0,1141.507674795932,237.85859374707792,0.2083723123364896,0.2717507383202425,-9.328711076536063,1.199870425239169e-09,6,5,True
one_pct,90.0,2.4200875,3.0,3424.523024387796,713.5583214986061,0.20836721389139132,0.2717440690093103,-9.328988948309727,1.4527294922572764e-09,6,5,True
one_pct,90.0,2.4200875,5.0,5707.53837397966,1189.4504239189257,0.20839989956818547,0.2717864405306391,-9.329266785258532,6.177143404606511e-05,6,4,True
one_pct,120.0,2.91985,1.0,958.1052602493987,166.16126557968326,0.17342694218840923,0.22778955372272858,-9.32864764108403,6.1365287795212e-05,6,3,True
one_pct,120.0,2.91985,3.0,2874.315780748196,498.5734218103143,0.17345812354707024,0.22782990043476176,-9.328798674957296,7.527978240773336e-09,6,3,True
one_pct,120.0,2.91985,5.0,4790.526301246993,830.9644543752615,0.1734599503522104,0.2278322402228926,-9.32894971799663,6.054674241262603e-05,6,3,True
one_pct,180.0,4.3831,1.0,541.6860457725406,101.34833527328661,0.18709792519898838,0.24590184740479168,-9.328547943836464,2.10815283452348e-07,6,4,True
one_pct,180.0,4.3831,3.0,1625.058137317622,304.059102306224,0.18710659964948373,0.24591470310478744,-9.328499627475859,4.861634650410451e-09,6,5,True
one_pct,180.0,4.3831,5.0,2708.430228862703,506.739242652086,0.1870970266289159,0.24590255910193187,-9.328451379263479,4.454350523985795e-07,6,3,True
one_pct,210.0,5.3465875,1.0,396.21270522990585,121.62480772683878,0.30696846951504225,0.3942006482912996,-9.328528388451579,6.270935417695966e-05,6,5,True
one_pct,210.0,5.3465875,3.0,1188.6381156897176,364.5291869681417,0.3066780226516802,0.3938186209755082,-9.328440991999157,6.501208108389278e-05,6,4,True
one_pct,210.0,5.3465875,5.0,1981.0635261495293,607.1103105374108,0.306456760484311,0.39352405961151576,-9.328353704378085,6.735223192499973e-05,6,5,True
ten_pct,65.0,2.121696875,1.0,3415.7947554648777,1099.7098430102408,0.32194845467539634,0.41043106808061225,-11.753215069303382,2.4332340586852297e-08,6,5,True
ten_pct,65.0,2.121696875,3.0,10247.384266394633,3298.2000280100515,0.3218577485013614,0.41031390887267466,-11.753283667682995,5.835811622212361e-05,6,3,True
ten_pct,65.0,2.121696875,5.0,17078.973777324387,5496.795867333114,0.3218457934885505,0.41029863221820007,-11.75335226853842,5.8606700097385556e-05,6,5,True
ten_pct,90.0,2.4200875,1.0,3836.0202908675124,799.2619803076595,0.20835707835291642,0.27173258885042934,-11.753222094886281,5.799721317423234e-05,6,3,True
ten_pct,90.0,2.4200875,3.0,11508.060872602537,2397.8640782244656,0.20836386814160038,0.27174011262178444,-11.753304740265595,3.055569663956703e-08,6,5,True
ten_pct,90.0,2.4200875,5.0,19180.10145433756,3996.780248412332,0.2083816010007843,0.2717629103335858,-11.753387382567292,2.8460513945560706e-08,6,5,True
ten_pct,120.0,2.91985,1.0,3218.6156419535932,557.9819779015919,0.17336086068447593,0.22770076870991865,-11.753203201828855,5.1601565687064976e-08,6,5,True
ten_pct,120.0,2.91985,3.0,9655.84692586078,1673.837314362124,0.17334961160984935,0.22768754433102956,-11.753248064016892,5.7807972540402375e-05,6,4,True
ten_pct,120.0,2.91985,5.0,16093.078209767966,2790.7081252956,0.17341046187184578,0.22776756836750445,-11.753292927025031,5.7689641289826454e-05,6,3,True
ten_pct,180.0,4.3831,1.0,1819.7480780669869,340.54144965990344,0.1871365898194221,0.2459488266925057,-11.753173563527426,5.804889858218587e-05,6,5,True
ten_pct,180.0,4.3831,3.0,5459.244234200961,1021.9502347766622,0.18719628412562483,0.24602387281586266,-11.753159153028829,8.298037812437542e-10,6,6,True
ten_pct,180.0,4.3831,5.0,9098.740390334935,1702.8894279313033,0.1871566123306677,0.24597418631908383,-11.753144748571097,9.162972283149884e-07,6,4,True
ten_pct,210.0,5.3465875,1.0,1330.3953210802372,408.6841272367997,0.3071899913966637,0.39450877797244777,-11.753167747999882,5.322179497113666e-08,6,5,True
ten_pct,210.0,5.3465875,3.0,3991.1859632407113,1226.0763900774725,0.30719600674330366,0.3945186003749758,-11.75314170917232,5.897059124038151e-05,6,4,True
ten_pct,210.0,5.3465875,5.0,6651.976605401186,2042.6518634263648,0.3070744208221957,0.3943603898785391,-11.753115680014607,3.552713678800501e-15,6,6,True
