support_low_MeV,source,shape_source,shape_refit,n_free_parameters,rebin_factor,bin_width_MeV,pearson_chi2ndf,poisson_deviance_ndf,max_abs_pearson_residual,ndf
30.0,one_pct,one_pct,True,6,1,0.1250000000000001,2.0487383056133344,1.8047799126375546,14.862378171345187,2154
30.0,one_pct,one_pct,True,6,5,0.6250000000000006,6.024377645166361,5.136129199100872,18.399834103375177,426
30.0,one_pct,one_pct,True,6,20,2.500000000000002,20.037697613759207,17.6268549644975,25.05643620649757,102
30.0,one_pct,one_pct,True,6,40,5.000000000000004,29.92381446577976,28.958405357858283,21.707756811504822,48
30.0,one_pct,one_pct,True,6,80,10.000000000000009,8.503592948186094,8.527621898479062,5.989454082407586,21
30.0,ten_pct,one_pct,False,1,1,0.1250000000000001,13.949479873553816,11.094669225742773,36.280774564059506,2159
30.0,ten_pct,one_pct,False,1,5,0.6250000000000006,65.13774625279655,51.32954839649491,71.43314652097447,431
30.0,ten_pct,one_pct,False,1,20,2.500000000000002,218.45165448717566,186.97695298278856,89.68623088495318,107
30.0,ten_pct,one_pct,False,1,40,5.000000000000004,308.9836946400022,295.41405567472776,66.86036714503486,53
30.0,ten_pct,one_pct,False,1,80,10.000000000000009,85.59873839333792,85.88705747770481,24.591839241296675,26
40.0,one_pct,one_pct,True,6,1,0.1250000000000001,1.1058486139806607,1.1032476930569266,4.348488549152497,2074
40.0,one_pct,one_pct,True,6,5,0.6250000000000006,1.6206289579928865,1.615127527047655,6.565026934494972,410
40.0,one_pct,one_pct,True,6,20,2.500000000000002,3.6972622247658617,3.694771572563326,5.133534997575782,98
40.0,one_pct,one_pct,True,6,40,5.000000000000004,5.243652511813411,5.244300601618954,6.795782937788154,46
40.0,one_pct,one_pct,True,6,80,10.000000000000009,7.787246235472774,7.789250696802583,4.936559134404127,20
40.0,ten_pct,one_pct,False,1,1,0.1250000000000001,2.7894533241276886,2.772898087972939,11.024610197681493,2079
40.0,ten_pct,one_pct,False,1,5,0.6250000000000006,9.769438209950703,9.694758856818538,20.392744924241004,415
40.0,ten_pct,one_pct,False,1,20,2.500000000000002,32.16779325939654,32.08032877297744,18.739169115875733,103
40.0,ten_pct,one_pct,False,1,40,5.000000000000004,48.87484394088594,48.85026097433872,24.29715365099658,51
40.0,ten_pct,one_pct,False,1,80,10.000000000000009,70.2397708663842,70.22355725609754,19.051040719717662,25
