mode_a,mode_b,one_pct_pearson_chi2ndf,one_pct_deviance_ndf,scaled_shape_ten_pct_pearson_chi2ndf,scaled_shape_ten_pct_deviance_ndf,independent_ten_pct_pearson_chi2ndf,independent_ten_pct_deviance_ndf,one_pct_best_objective,one_pct_n_within_1e9,ten_pct_best_objective,ten_pct_n_within_1e9,one_pct_a,one_pct_lambda,one_pct_power,one_pct_mode_a_coefficient,one_pct_mode_b_coefficient
2,6,1.1058485205451032,1.1032476930581785,2.7894553470439094,2.7729002999510133,2.679335347259548,2.6689206242591004,-9.328594435056345,2,-11.753201745868424,3,4.091823564252231,0.0008090057343932711,0.5253929743636983,-0.10924703991274998,0.011734356989956278
3,6,1.1153873490268185,1.1141873943667822,2.8361257018092516,2.8305684490427896,2.732816416286443,2.7309424829593256,-9.328593527792245,4,-11.753201290534047,4,3.519575339850938,0.002762104838905824,0.6281159201854031,-0.024939864677538292,0.008171181662338682
1,6,1.1358592116597617,1.1371666151188713,3.0771236464473817,3.0721571854363763,2.976837787964081,2.9753099455329446,-9.328591622052631,3,-11.753199496506765,2,4.0487442839106675,0.0005000000110741396,0.45744691269358384,-1.7129022671167855,0.0070820470537160864
2,4,1.146434843942926,1.1449560606374258,3.0823493434943208,3.077487618514945,2.9823036343326224,2.981169983144643,-9.328590976049231,3,-11.753199453485214,2,3.5484490159087505,0.0020628704658501467,0.5957939769632521,-0.08274057811712898,-0.019449591929395407
1,4,1.1522358358524933,1.153013095994264,3.1634496805139816,3.1606860200022657,3.064098825103845,3.0649172569948266,-9.328590307853753,3,-11.753198838653386,4,3.812671857800586,0.0007077537874082434,0.46614532756486443,-1.9999999952734027,-0.014772233752720416
3,4,1.1551771622779086,1.1546410329552448,3.1773561237121726,3.175306256990327,3.0780152940020553,3.079497610719254,-9.32859017284378,4,-11.753198731611507,4,3.3234235042945213,0.0036161697588126766,0.6551087649366713,-0.016393611232128097,-0.012169935995052939
5,6,1.1509537563651262,1.15303846945756,3.234597124121414,3.2377282320792067,3.1328170324210216,3.1393011931199855,-9.328590305749449,4,-11.753198292562637,3,3.3924038805164805,0.0031124992596881767,0.6377505021146057,0.006206971047639907,0.005784927318867748
2,3,1.1755722938258768,1.1753826928322326,3.402418157533601,3.4007342037005928,3.303516599782956,3.3052449530792773,-9.328588452672186,2,-11.753197074284111,3,3.1578466831868215,0.005881322363989671,0.7213118435026784,0.10704370458473479,-0.03638501452496613
4,5,1.175661881535205,1.1775064641181059,3.42967703100743,3.4320362306823804,3.3306004534652014,3.336592816006099,-9.328588276541103,3,-11.753196844143321,4,3.2934594162674293,0.0036135673897748303,0.6534274547207304,-0.008915323837074583,0.003828533567174152
6,7,1.1733368883967692,1.1772251922124108,3.458545499743645,3.463639195273619,3.359599422458715,3.3675958389235126,-9.328588299867874,4,-11.753196616534176,4,3.496319344903197,0.0026487283493355825,0.6215968142683203,0.004413745854710175,0.000805538636487991
4,6,1.172370349020793,1.1762601624132085,3.479651491967026,3.485472431149242,3.369535680750798,3.378143858743213,-9.328588379900854,2,-11.753196539095732,3,3.583286639582892,0.002322411521214423,0.6093640723613009,0.005854845914583033,0.006332022252040377
4,7,1.1836052272930855,1.1869526243586788,3.5096421642170923,3.513507892660275,3.4104445156875527,3.4176110088598275,-9.328587493141095,4,-11.753196249347079,4,3.355904213153365,0.0032773685420228334,0.642859541473404,-0.009233532371654245,0.001164047214360046
1,3,1.18546321397687,1.1847903039121659,3.5203071247171653,3.5151005953602006,3.422180792274591,3.420055908085069,-9.328587672469181,2,-11.753196231397805,2,3.3098896194690894,0.0041003560284644976,0.7240627817156939,1.999999998059696,-0.015508993042384355
3,5,1.1945739733280567,1.1930700091420214,3.620944601764644,3.610509079844379,3.5225239240861286,3.515326007071297,-9.328586985806986,4,-11.753195531970997,4,3.5578826408377906,0.002572586219427238,0.6206963776284102,-0.014319063956975502,-0.0027494532378190034
3,7,1.1933227753756415,1.1924831715934134,3.62119824422259,3.614820980898686,3.5230453210990045,3.519617270002468,-9.328587034475284,4,-11.75319550046663,4,3.4928263994988376,0.0027862923691825314,0.6278870441949923,-0.008977772327712186,-0.0010829741653368588
1,2,1.200550216927701,1.200861163861384,3.699835436977855,3.6950722420756037,3.6016585631049165,3.6002740922676044,-9.32858633966183,2,-11.753194908323394,3,3.422084764045027,0.003284660530143502,0.694332793078978,1.9999999638245436,-0.0441900665258618
2,7,1.2003060116687891,1.2005020216517854,3.7103400611659376,3.7057816764755604,3.6114664911692795,3.6102146136971665,-9.328586369446636,3,-11.75319483534491,3,3.557532402124262,0.002358963155367914,0.6104894657064772,-0.01872020841611462,-0.0015868532956099391
1,5,1.201183419917311,1.2018641751003247,3.7137644857255276,3.7116213309430215,3.61541173432222,3.6165726839752965,-9.328586256478934,3,-11.753194788667045,2,3.41215749235718,0.003158847953654656,0.6473750003816827,0.26598270285123077,0.0028447775902592704
5,7,1.201002977781179,1.2016849911616976,3.7146164933949883,3.7122877458925094,3.6168287413573594,3.617350037882119,-9.328586271339221,4,-11.753194782960092,4,3.453974165959627,0.002874148474174248,0.6300686694219253,0.002206371794552198,-0.0004812498603284366
2,5,1.201638021816667,1.2020548295440219,3.718389897174873,3.7151570589531437,3.6202941631418284,3.6202446726378947,-9.328586240667352,4,-11.753194761709088,3,3.4564788402265,0.0028689820880484235,0.6299410761789432,-7.815466279718732e-05,0.0025325477007064564
1,7,1.2015805543179803,1.2021043930654298,3.7278523202059892,3.723935414863818,3.628174459129374,3.627851138974888,-9.328586236556895,3,-11.753194705866106,2,3.6288895802185004,0.0018580717871289276,0.5686450459853789,-0.7602629978815921,-0.0016679171732532961
